timestamp,value
2025-08-01,312347.0
2025-07-01,284637.0
2025-06-01,330862.0
2025-05-01,343734.0
2025-04-01,291088.0
2025-03-01,341353.0
2025-02-01,276587.0
2025-01-01,270025.0
2024-12-01,292565.0
2024-11-01,275007.0
2024-10-01,301091.0
2024-09-01,305227.0
2024-08-01,296334.0
2024-07-01,274553.0
2024-06-01,293814.0
2024-05-01,292417.0
2024-04-01,283604.0
2024-03-01,310791.0
2024-02-01,276818.0
2024-01-01,260793.0
2023-12-01,302889.0
2023-11-01,289825.0
2023-10-01,287374.0
2023-09-01,310922.0
2023-08-01,299258.0
2023-07-01,268632.0
2023-06-01,325891.0
2023-05-01,293015.0
2023-04-01,278991.0
2023-03-01,321827.0
2023-02-01,266510.0
2023-01-01,264974.0
2022-12-01,296162.0
2022-11-01,269339.0
2022-10-01,285488.0
2022-09-01,298504.0
2022-08-01,291139.0
2022-07-01,261816.0
2022-06-01,305545.0
2022-05-01,277139.0
2022-04-01,273343.0
2022-03-01,307141.0
2022-02-01,263234.0
2022-01-01,255717.0
2021-12-01,283745.0
2021-11-01,259070.0
2021-10-01,261720.0
2021-09-01,274184.0
2021-08-01,267259.0
2021-07-01,242240.0
2021-06-01,276979.0
2021-05-01,248786.0
2021-04-01,249194.0
2021-03-01,280429.0
2021-02-01,238369.0
2021-01-01,225052.0
2020-12-01,249434.0
2020-11-01,226414.0
2020-10-01,239440.0
2020-09-01,243801.0
2020-08-01,226564.0
2020-07-01,211250.0
2020-06-01,218991.0
2020-05-01,180117.0
2020-04-01,161429.0
2020-03-01,225253.0
2020-02-01,231704.0
2020-01-01,217226.0
2019-12-01,226487.0
2019-11-01,209604.0
2019-10-01,232799.0
2019-09-01,235615.0
2019-08-01,234706.0
2019-07-01,215271.0
2019-06-01,237995.0
2019-05-01,226460.0
2019-04-01,227243.0
2019-03-01,261154.0
2019-02-01,217000.0
2019-01-01,215792.0
2018-12-01,247332.0
2018-11-01,231703.0
2018-10-01,244614.0
2018-09-01,253371.0
2018-08-01,253733.0
2018-07-01,217968.0
2018-06-01,263755.0
2018-05-01,243582.0
2018-04-01,234565.0
2018-03-01,269887.0
2018-02-01,221764.0
2018-01-01,205736.0
2017-12-01,246308.0
2017-11-01,227772.0
2017-10-01,229073.0
2017-09-01,238159.0
2017-08-01,226779.0
2017-07-01,198892.0
2017-06-01,260335.0
2017-05-01,221511.0
2017-04-01,211686.0
2017-03-01,250370.0
2017-02-01,207484.0
2017-01-01,192572.0
2016-12-01,229243
2016-11-01,213364
2016-10-01,231422
2016-09-01,230956
2016-08-01,221537
2016-07-01,197867
2016-06-01,230820
2016-05-01,217981
2016-04-01,221215
2016-03-01,243551
2016-02-01,211114
2016-01-01,199424
2015-12-01,230959
2015-11-01,216692
2015-10-01,228138
2015-09-01,231339
2015-08-01,218267
2015-07-01,216803
2015-06-01,252759
2015-05-01,211139
2015-04-01,220091
2015-03-01,249239
2015-02-01,206166
2015-01-01,200582
2014-12-01,240457
2014-11-01,216401
2014-10-01,238710
2014-09-01,249698
2014-08-01,231195
2014-07-01,286876
2014-06-01,257228
2014-05-01,231723
2014-04-01,231365
2014-03-01,251763
2014-02-01,221433
2014-01-01,203981
2013-12-01,250119
2013-11-01,233300
2013-10-01,236784
2013-09-01,248206
2013-08-01,224074
2013-07-01,208090
2013-06-01,260225
2013-05-01,238678
2013-04-01,221353
2013-03-01,232999
2013-02-01,225639
2013-01-01,204169
2012-12-01,239368
2012-11-01,209712
2012-10-01,222736
2012-09-01,223423
2012-08-01,204001
2012-07-01,206771
2012-06-01,233259
2012-05-01,220785
2012-04-01,210894
2012-03-01,240680
2012-02-01,224922
2012-01-01,204013
2011-12-01,237529
2011-11-01,206403
2011-10-01,206574
2011-09-01,221336
2011-08-01,216719
2011-07-01,189215
2011-06-01,216548
2011-05-01,205025
2011-04-01,194922
2011-03-01,233078
2011-02-01,187466
2011-01-01,184037
2010-12-01,209011
2010-11-01,186603
2010-10-01,192327
2010-09-01,213131
2010-08-01,191888
2010-07-01,174685
2010-06-01,200080
2010-05-01,183535
2010-04-01,181528
2010-03-01,199993
2010-02-01,169065
2010-01-01,163488
2009-12-01,174485
2009-11-01,151230
2009-10-01,163196
2009-09-01,168746
2009-08-01,155455
2009-07-01,145376
2009-06-01,157122
2009-05-01,145714
2009-04-01,139893
2009-03-01,162107
2009-02-01,137245
2009-01-01,138218
2008-12-01,191734
2008-11-01,169856
2008-10-01,197291
2008-09-01,224233
2008-08-01,214872
2008-07-01,205540
2008-06-01,242479
2008-05-01,227995
2008-04-01,225075
2008-03-01,250906
2008-02-01,229870
2008-01-01,219946
2007-12-01,254048
2007-11-01,224134
2007-10-01,235158
2007-09-01,232386
2007-08-01,241388
2007-07-01,211263
2007-06-01,243703
2007-05-01,229326
2007-04-01,225558
2007-03-01,252090
2007-02-01,211359
2007-01-01,204185
2006-12-01,236933
2006-11-01,218853
2006-10-01,219885
2006-09-01,243185
2006-08-01,215695
2006-07-01,186090
2006-06-01,237564
2006-05-01,217869
2006-04-01,206157
2006-03-01,252659
2006-02-01,209478
2006-01-01,191920
2005-12-01,229512
2005-11-01,215562
2005-10-01,211650
2005-09-01,214582
2005-08-01,209010
2005-07-01,169437
2005-06-01,224203
2005-05-01,205691
2005-04-01,190899
2005-03-01,209708
2005-02-01,188951
2005-01-01,177594
2004-12-01,201172
2004-11-01,188131
2004-10-01,186918
2004-09-01,197167
2004-08-01,184662
2004-07-01,163925
2004-06-01,197458
2004-05-01,181865
2004-04-01,183752
2004-03-01,214611
2004-02-01,180111
2004-01-01,164926
2003-12-01,187904
2003-11-01,173368
2003-10-01,190591
2003-09-01,187270
2003-08-01,170612
2003-07-01,150336
2003-06-01,183990
2003-05-01,172361
2003-04-01,168168
2003-03-01,188854
2003-02-01,169363
2003-01-01,160196
2002-12-01,167098
2002-11-01,164310
2002-10-01,174042
2002-09-01,174195
2002-08-01,176987
2002-07-01,151584
2002-06-01,173578
2002-05-01,176314
2002-04-01,170163
2002-03-01,183541
2002-02-01,167694
2002-01-01,152537
2001-12-01,170130
2001-11-01,160265
2001-10-01,175302
2001-09-01,169765
2001-08-01,171491
2001-07-01,144702
2001-06-01,188450
2001-05-01,180620
2001-04-01,166962
2001-03-01,201321
2001-02-01,176646
2001-01-01,167108
2000-12-01,192978
2000-11-01,185475
2000-10-01,187704
2000-09-01,210685
2000-08-01,187688
2000-07-01,159903
2000-06-01,237143
2000-05-01,190188
2000-04-01,186872
2000-03-01,212974
2000-02-01,189153
2000-01-01,185813
1999-12-01,202677
1999-11-01,183986
1999-10-01,193889
1999-09-01,202427
1999-08-01,186590
1999-07-01,159656
1999-06-01,198372
1999-05-01,182326
1999-04-01,180224
1999-03-01,204755
1999-02-01,185255
1999-01-01,171934
1998-12-01,185472
1998-11-01,177925
1998-10-01,181357
1998-09-01,193961
1998-08-01,173662
1998-07-01,145785
1998-06-01,187991
1998-05-01,175154
1998-04-01,178239
1998-03-01,193649
1998-02-01,182332
1998-01-01,164391
1997-12-01,179906
1997-11-01,185230
1997-10-01,183393
1997-09-01,190959
1997-08-01,170465
1997-07-01,150782
1997-06-01,187205
1997-05-01,165694
1997-04-01,170687
1997-03-01,180530
1997-02-01,172311
1997-01-01,155358
1996-12-01,166228
1996-11-01,168650
1996-10-01,169459
1996-09-01,174797
1996-08-01,153637
1996-07-01,138374
1996-06-01,172897
1996-05-01,163769
1996-04-01,155093
1996-03-01,176264
1996-02-01,159185
1996-01-01,150440
1995-12-01,163769
1995-11-01,156881
1995-10-01,158469
1995-09-01,168324
1995-08-01,151465
1995-07-01,123259
1995-06-01,161688
1995-05-01,151770
1995-04-01,146225
1995-03-01,167745
1995-02-01,156606
1995-01-01,143440
1994-12-01,154895
1994-11-01,150202
1994-10-01,151572
1994-09-01,153625
1994-08-01,142852
1994-07-01,119501
1994-06-01,155070
1994-05-01,140366
1994-04-01,137847
1994-03-01,149256
1994-02-01,139057
1994-01-01,131392
1993-12-01,138273
1993-11-01,131460
1993-10-01,135483
1993-09-01,134114
1993-08-01,124150
1993-07-01,107698
1993-06-01,138459
1993-05-01,123210
1993-04-01,126589
1993-03-01,138668
1993-02-01,130164
1993-01-01,115794
1992-12-01,131937
1992-11-01,121759
1992-10-01,131334
1992-09-01,126277
1992-08-01,113623
1992-07-01,103025
1992-06-01,131268
1992-05-01,122274
1992-04-01,123268
1992-03-01,129309
1992-02-01,118429
