timestamp,value
2025-08-01,159410
2025-07-01,159210
2025-06-01,160256
2025-05-01,159930
2025-04-01,159227
2025-03-01,158402
2025-02-01,157944
2025-01-01,157095
2024-12-01,159923
2024-11-01,159882
2024-10-01,159352
2024-09-01,158527
2024-08-01,158070
2024-07-01,157771
2024-06-01,158722
2024-05-01,158256
2024-04-01,157438
2024-03-01,156612
2024-02-01,156007
2024-01-01,154942
2023-12-01,157828
2023-11-01,157950
2023-10-01,157531
2023-09-01,156563
2023-08-01,156107
2023-07-01,155779
2023-06-01,156701
2023-05-01,156038
2023-04-01,155155
2023-03-01,154253
2023-02-01,153818
2023-01-01,152689
2022-12-01,155210
2022-11-01,155519
2022-10-01,154936
2022-09-01,153730
2022-08-01,153209
2022-07-01,152813
2022-06-01,153176
2022-05-01,152264
2022-04-01,151434
2022-03-01,150413
2022-02-01,149606
2022-01-01,147932
2021-12-01,150740
2021-11-01,150543
2021-10-01,149606
2021-09-01,147918
2021-08-01,147159
2021-07-01,146619
2021-06-01,146627
2021-05-01,145391
2021-04-01,144403
2021-03-01,143308
2021-02-01,142129
2021-01-01,140975
2020-12-01,143604
2020-11-01,144117
2020-10-01,143565
2020-09-01,141957
2020-08-01,140728
2020-07-01,139105
2020-06-01,138507
2020-05-01,133421
2020-04-01,130252
2020-03-01,149952
2020-02-01,150966
2020-01-01,150057
2019-12-01,152846
2019-11-01,153094
2019-10-01,152501
2019-09-01,151509
2019-08-01,151094
2019-07-01,150658
2019-06-01,151713
2019-05-01,151096
2019-04-01,150422
2019-03-01,149360
2019-02-01,148684
2019-01-01,147879
2018-12-01,150831
2018-11-01,151032
2018-10-01,150554
2018-09-01,149546
2018-08-01,149236
2018-07-01,148767
2018-06-01,149930
2018-05-01,149264
2018-04-01,148329
2018-03-01,147353
2018-02-01,146648
2018-01-01,145413
2017-12-01,148509
2017-11-01,148758
2017-10-01,148182
2017-09-01,147169
2017-08-01,146781
2017-07-01,146464
2017-06-01,147565
2017-05-01,146924
2017-04-01,146085
2017-03-01,145061
2017-02-01,144405
2017-01-01,143374
2016-12-01,146252
2016-11-01,146465
2016-10-01,146031
2016-09-01,145149
2016-08-01,144484
2016-07-01,144232
2016-06-01,145205
2016-05-01,144541
2016-04-01,143892
2016-03-01,142797
2016-02-01,141900
2016-01-01,141073
2015-12-01,144045
2015-11-01,144048
2015-10-01,143627
2015-09-01,142478
2015-08-01,141921
2015-07-01,141731
2015-06-01,142681
2015-05-01,142205
2015-04-01,141264
2015-03-01,140080
2015-02-01,139324
2015-01-01,138491
2014-12-01,141306
2014-11-01,141314
2014-10-01,140848
2014-09-01,139793
2014-08-01,139105
2014-07-01,138727
2014-06-01,139804
2014-05-01,139217
2014-04-01,138308
2014-03-01,137169
2014-02-01,136212
2014-01-01,135471
2013-12-01,138275
2013-11-01,138525
2013-10-01,138002
2013-09-01,137077
2013-08-01,136471
2013-07-01,136034
2013-06-01,137208
2013-05-01,136797
2013-04-01,135906
2013-03-01,134901
2013-02-01,134102
2013-01-01,133062
2012-12-01,135945
2012-11-01,136022
2012-10-01,135633
2012-09-01,134783
2012-08-01,134155
2012-07-01,133778
2012-06-01,134987
2012-05-01,134648
2012-04-01,133836
2012-03-01,132953
2012-02-01,132050
2012-01-01,131095
2011-12-01,133702
2011-11-01,133876
2011-10-01,133540
2011-09-01,132618
2011-08-01,131871
2011-07-01,131599
2011-06-01,132869
2011-05-01,132381
2011-04-01,131698
2011-03-01,130482
2011-02-01,129575
2011-01-01,128760
2010-12-01,131622
2010-11-01,131931
2010-10-01,131623
2010-09-01,130650
2010-08-01,130158
2010-07-01,130095
2010-06-01,131430
2010-05-01,131311
2010-04-01,130195
2010-03-01,129073
2010-02-01,128241
2010-01-01,127804
2009-12-01,130671
2009-11-01,131220
2009-10-01,131171
2009-09-01,130571
2009-08-01,130216
2009-07-01,130337
2009-06-01,131933
2009-05-01,132114
2009-04-01,131842
2009-03-01,131659
2009-02-01,131791
2009-01-01,132022
2008-12-01,135713
2008-11-01,136745
2008-10-01,137424
2008-09-01,137129
2008-08-01,137076
2008-07-01,137183
2008-06-01,138664
2008-05-01,138469
2008-04-01,137894
2008-03-01,137362
2008-02-01,136770
2008-01-01,136251
2007-12-01,139279
2007-11-01,139492
2007-10-01,139180
2007-09-01,138435
2007-08-01,137871
2007-07-01,137760
2007-06-01,139156
2007-05-01,138656
2007-04-01,137712
2007-03-01,136907
2007-02-01,136008
2007-01-01,135316
2006-12-01,138107
2006-11-01,138217
2006-10-01,137831
2006-09-01,137130
2006-08-01,136462
2006-07-01,136256
2006-06-01,137431
2006-05-01,136928
2006-04-01,136125
2006-03-01,135209
2006-02-01,134229
2006-01-01,133302
2005-12-01,135954
2005-11-01,136158
