symbol,name,reportDate,fiscalDateEnding,estimate,currency,timeOfTheDay
ONFO,ONFOLIO HOLDINGS INCORPORATED,2026-05-17,2026-03-31,,USD,post-market
OZFRY,OZFRY,2026-05-17,2026-03-31,,USD,
ADERY,ADERY,2026-05-18,2026-03-31,0,USD,
AGPU,AXE COMPUTE INCORPORATED,2026-05-18,2026-03-31,,USD,pre-market
AGYS,AGILYSYS INCORPORATED,2026-05-18,2026-03-31,0.37,USD,post-market
ALBBY,ALBBY,2026-05-18,2026-03-31,,USD,
ALBHF,ALBHF,2026-05-18,2026-03-31,,USD,
ALFDF,ALFDF,2026-05-18,2026-03-31,,USD,
ANNX,ANNEXON INC,2026-05-18,2026-03-31,-0.3255,USD,
APUS,APIMEDS PHARMACEUTICALS US INCORPORATED,2026-05-18,2026-03-31,,USD,
BAIDF,BAIDF,2026-05-18,2026-03-31,1.5,USD,
BDRSF,BDRSF,2026-05-18,2026-03-31,,USD,
BIDU,BAIDU INC,2026-05-18,2026-03-31,1.5,CNY,pre-market
BITF,BITF,2026-05-18,2026-03-31,-0.036,USD,
BKHYY,BKHYY,2026-05-18,2026-03-31,,USD,
BPCGY,BPCGY,2026-05-18,2026-03-31,0.2332,USD,
BRC,BRADY CORPORATION,2026-05-18,2026-04-30,,USD,pre-market
BTAI,BIOXCEL THERAPEUTICS INCORPORATED,2026-05-18,2026-03-31,-0.59,USD,
BYLOF,BYLOF,2026-05-18,2026-03-31,,USD,
CAZGF,CAZGF,2026-05-18,2026-03-31,,USD,
CBAT,CBAK ENERGY TECHNOLOGY INCORPORATED,2026-05-18,2026-03-31,-0.05,USD,
CELC,CELCUITY INC,2026-05-18,2026-03-31,-1.08,USD,
CGEN,COMPUGEN LIMITED,2026-05-18,2026-03-31,-0.07,USD,pre-market
CISS,C3IS INCORPORATED,2026-05-18,2026-03-31,,USD,pre-market
CLPIF,CLPIF,2026-05-18,2026-03-31,,USD,
CLRO,CLEARONE INCORPORATED,2026-05-18,2026-03-31,,USD,
CMCL,CALEDONIA MINING CORPORATION PLC,2026-05-18,2026-03-31,0.74,USD,
CNTA,CENTESSA PHARMACEUTICALS PLC,2026-05-18,2026-03-31,-0.3838,USD,
CPBLF,CPBLF,2026-05-18,2026-03-31,,USD,
CRVO,CERVOMED INCORPORATED,2026-05-18,2026-03-31,-0.9,USD,
