date,shares_outstanding_diluted,shares_outstanding_basic
2025-06-30,7462000000,7430000000
2025-03-31,7461000000,7434000000
2024-12-31,7468000000,7435000000
2024-09-30,7470000000,7433000000
2024-06-30,7475000000,7431000000
2024-03-31,7472000000,7431000000
2023-12-31,7468000000,7432000000
2023-09-30,7462000000,7429000000
2023-06-30,7466000000,7434000000
2023-03-31,7464000000,7441000000
2022-12-31,7473000000,7451000000
2022-09-30,7485000000,7457000000
2022-06-30,7504000000,7472000000
2022-03-31,7534000000,7493000000
2021-12-31,7555000000,7505000000
2021-09-30,7567000000,7513000000
2021-06-30,7581000000,7526000000
2021-03-31,7597000000,7539000000
2020-12-31,7616000000,7555000000
2020-09-30,7637000000,7566000000
2020-06-30,7653000000,7583000000
2020-03-31,7675000000,7602000000
2019-12-31,7691000000,7621000000
2019-09-30,7710000000,7634000000
2019-06-30,7735000000,7655000000
2019-03-31,7744000000,7672000000
2018-12-31,7768000000,7692000000
2018-09-30,7766000000,7673000000
2018-06-30,7782000000,7682000000
2018-03-31,7794000000,7698000000
2017-12-31,7710000000,7710000000
2017-09-30,7799000000,7708000000
2017-06-30,7808000000,7716000000
2017-03-31,7813000000,7725000000
2016-12-31,7830000000,7755000000
2016-09-30,7876000000,7789000000
2016-06-30,7929000000,7844000000
2016-03-31,7985000000,7895000000
2015-12-31,8028000000,7964000000
2015-09-30,8066000000,7996000000
2015-06-30,8137000000,8063000000
2015-03-31,8237000000,8167000000
2014-12-31,8297000000,8228000000
2014-09-30,8351000000,8249000000
2014-06-30,8363000000,8245000000
2014-03-31,8367000000,8284000000
2013-12-31,8395000000,8326000000
2013-09-30,8434000000,8339000000
2013-06-30,8464000000,8345000000
2013-03-31,8429000000,8364000000
2012-12-31,8444000000,8393000000
2012-09-30,8494000000,8396000000
2012-06-30,8518000000,8390000000
2012-03-31,8498000000,8401000000
2011-12-31,8465000000,8402000000
2011-09-30,8490000000,8392000000
2011-06-30,8545000000,8427000000
2011-03-31,8510000000,8420000000
2010-12-31,8570000000,8497000000
2010-09-30,8695000000,8614000000
2010-06-30,8843000000,8714000000
2010-03-31,8876000000,8767000000
2009-12-31,8951000000,8856000000
2009-09-30,8983000000,8914000000
2009-06-30,8960000000,8900000000
2009-03-31,8904000000,8891000000
2008-12-31,8914000000,8903000000
2008-09-30,9183000000,9084000000
