time,ADX
2025-11-07,22.0070
2025-11-06,22.3838
2025-11-05,22.8025
2025-11-04,24.9057
2025-11-03,27.1781
2025-10-31,28.6821
2025-10-30,30.3532
2025-10-29,31.3583
2025-10-28,31.8434
2025-10-27,31.3912
2025-10-24,31.6368
2025-10-23,32.2758
2025-10-22,33.6222
2025-10-21,33.8027
2025-10-20,35.1082
2025-10-17,36.5587
2025-10-16,38.7670
2025-10-15,41.4561
2025-10-14,43.9392
2025-10-13,48.6707
2025-10-10,53.5274
2025-10-09,57.9271
2025-10-08,60.4665
2025-10-07,61.7952
2025-10-06,59.3142
2025-10-03,57.3278
2025-10-02,55.1207
2025-10-01,53.2106
2025-09-30,51.3505
2025-09-29,49.3596
2025-09-26,47.1506
2025-09-25,44.4160
2025-09-24,41.8785
2025-09-23,40.8435
2025-09-22,38.1933
2025-09-19,35.4135
2025-09-18,33.1638
2025-09-17,31.2722
2025-09-16,30.3806
2025-09-15,30.4588
2025-09-12,30.5455
2025-09-11,31.3024
2025-09-10,29.9701
2025-09-09,28.4898
2025-09-08,26.6404
2025-09-05,25.4711
2025-09-04,27.1987
2025-09-03,29.1183
2025-09-02,30.6737
2025-08-29,30.4174
2025-08-28,31.7611
2025-08-27,34.1850
2025-08-26,36.8782
2025-08-25,39.2325
2025-08-22,40.1639
2025-08-21,41.5072
2025-08-20,42.1883
2025-08-19,43.5147
2025-08-18,44.9578
2025-08-15,45.7379
2025-08-14,46.1471
2025-08-13,45.6936
2025-08-12,45.2941
2025-08-11,43.3201
2025-08-08,41.2916
2025-08-07,40.0228
2025-08-06,39.6490
2025-08-05,38.8795
2025-08-04,37.2622
2025-08-01,35.1182
2025-07-31,32.4657
2025-07-30,30.3465
2025-07-29,29.0577
2025-07-28,28.0123
2025-07-25,26.1123
2025-07-24,22.6601
2025-07-23,18.8243
2025-07-22,20.0107
2025-07-21,21.2935
2025-07-18,22.6742
2025-07-17,24.5327
2025-07-16,25.5111
2025-07-15,26.5982
2025-07-14,28.2304
2025-07-11,30.5210
2025-07-10,33.6538
2025-07-09,37.1348
2025-07-08,37.9769
2025-07-07,38.3230
2025-07-03,38.1264
2025-07-02,38.7834
2025-07-01,40.2305
2025-06-30,39.7886
2025-06-27,39.3753
2025-06-26,39.3448
2025-06-25,38.3233
2025-06-24,37.1884
2025-06-23,36.2732
2025-06-20,36.2630
2025-06-18,37.7142
2025-06-17,35.9957
2025-06-16,34.5441
2025-06-13,32.9932
2025-06-12,32.3469
2025-06-11,29.0047
2025-06-10,25.5117
2025-06-09,22.4382
2025-06-06,19.9744
2025-06-05,18.2036
2025-06-04,17.1518
2025-06-03,16.1655
2025-06-02,15.5727
2025-05-30,15.4765
2025-05-29,16.8976
2025-05-28,18.4766
2025-05-27,18.8268
2025-05-23,19.6324
2025-05-22,21.6496
2025-05-21,23.3712
2025-05-20,24.2272
2025-05-19,22.5825
2025-05-16,20.7894
2025-05-15,19.0547
2025-05-14,17.2437
2025-05-13,16.8680
2025-05-12,16.7132
2025-05-09,18.2629
2025-05-08,18.8774
2025-05-07,17.9439
2025-05-06,17.4262
2025-05-05,18.0327
2025-05-02,18.8181
2025-05-01,20.8899
2025-04-30,22.1583
2025-04-29,23.5676
2025-04-28,24.3750
2025-04-25,24.2165
2025-04-24,22.9598
2025-04-23,21.3753
2025-04-22,23.7424
2025-04-21,23.8452
2025-04-17,23.1429
2025-04-16,23.5341
2025-04-15,23.9688
2025-04-14,25.0738
2025-04-11,26.3017
2025-04-10,26.2687
2025-04-09,24.3380
2025-04-08,22.1927
2025-04-07,18.5938
2025-04-04,14.3152
2025-04-03,11.0564
2025-04-02,10.9097
2025-04-01,11.7793
2025-03-31,12.5788
2025-03-28,13.4672
2025-03-27,13.1911
2025-03-26,14.0116
2025-03-25,14.8792
2025-03-24,16.0231
2025-03-21,16.5134
2025-03-20,15.6020
2025-03-19,14.5893
2025-03-18,16.2018
2025-03-17,17.6161
2025-03-14,18.5817
2025-03-13,19.5767
2025-03-12,21.1432
2025-03-11,23.2416
2025-03-10,25.4610
2025-03-07,24.3231
2025-03-06,24.2486
2025-03-05,25.6303
2025-03-04,27.2597
2025-03-03,29.5274
2025-02-28,32.1048
2025-02-27,33.5040
2025-02-26,36.7474
2025-02-25,39.6679
2025-02-24,41.6688
2025-02-21,42.2445
2025-02-20,41.9276
2025-02-19,40.9176
2025-02-18,39.9379
2025-02-14,38.9216
2025-02-13,38.1512
2025-02-12,37.7830
2025-02-11,37.9316
2025-02-10,38.0968
2025-02-07,39.2052
2025-02-06,39.1096
2025-02-05,38.7336
2025-02-04,34.7058
2025-02-03,30.2626
2025-01-31,25.5391
2025-01-30,20.6391
2025-01-29,15.1948
2025-01-28,14.7726
2025-01-27,16.1706
2025-01-24,17.3400
2025-01-23,17.3666
2025-01-22,17.8021
2025-01-21,19.1729
2025-01-17,19.0140
2025-01-16,19.5824
2025-01-15,21.3916
2025-01-14,22.7324
2025-01-13,21.4528
2025-01-10,20.0906
2025-01-08,19.4639
2025-01-07,21.0018
2025-01-06,22.5176
2025-01-03,24.0754
2025-01-02,25.2380
2024-12-31,25.5512
2024-12-30,24.6207
2024-12-27,23.5868
2024-12-26,24.2542
2024-12-24,25.6630
2024-12-23,26.5106
2024-12-20,26.9282
2024-12-19,27.6634
2024-12-18,27.4684
2024-12-17,27.2518
2024-12-16,29.9683
2024-12-13,32.9866
2024-12-12,34.0886
2024-12-11,35.2263
2024-12-10,36.8643
2024-12-09,38.6843
2024-12-06,40.0810
2024-12-05,38.1049
2024-12-04,36.3129
2024-12-03,34.9889
2024-12-02,34.9258
2024-11-29,35.1134
2024-11-27,34.1296
2024-11-26,33.3675
2024-11-25,31.6828
2024-11-22,30.4411
2024-11-21,29.0615
2024-11-20,28.7320
2024-11-19,31.3956
2024-11-18,32.4638
2024-11-15,32.0845
2024-11-14,31.6631
2024-11-13,32.0901
2024-11-12,33.8152
2024-11-11,35.7320
2024-11-08,39.2148
2024-11-07,43.0845
2024-11-06,46.1916
2024-11-05,49.5401
2024-11-04,49.2028
2024-11-01,48.5012
2024-10-31,48.0783
2024-10-30,46.3547
2024-10-29,44.5614
2024-10-28,43.6243
2024-10-25,43.2698
2024-10-24,43.3206
2024-10-23,43.8649
2024-10-22,44.6762
2024-10-21,45.0782
2024-10-18,45.7958
2024-10-17,46.5932
2024-10-16,47.0100
2024-10-15,47.0447
2024-10-14,45.6065
2024-10-11,44.3131
2024-10-10,43.5993
2024-10-09,41.5641
2024-10-08,39.4953
2024-10-07,38.7571
2024-10-04,38.5642
2024-10-03,39.0000
2024-10-02,41.0884
2024-10-01,45.1088
2024-09-30,49.4972
2024-09-27,51.7013
2024-09-26,52.2793
2024-09-25,52.2596
2024-09-24,53.0586
2024-09-23,54.2202
2024-09-20,55.7412
2024-09-19,58.6712
2024-09-18,61.9269
2024-09-17,62.4591
2024-09-16,63.0504
2024-09-13,60.9579
2024-09-12,58.8611
2024-09-11,57.0702
2024-09-10,55.6067
2024-09-09,55.3240
2024-09-06,55.3410
2024-09-05,55.7817
2024-09-04,53.7501
2024-09-03,51.9310
2024-08-30,49.9098
2024-08-29,48.4814
2024-08-28,47.3095
2024-08-27,46.4931
2024-08-26,45.8591
2024-08-23,45.6532
2024-08-22,45.9107
2024-08-21,44.5805
2024-08-20,43.3264
2024-08-19,42.3696
2024-08-16,41.5818
2024-08-15,41.1918
2024-08-14,40.2974
2024-08-13,39.7354
2024-08-12,39.8286
2024-08-09,39.9322
2024-08-08,40.0141
2024-08-07,40.6042
2024-08-06,42.4403
2024-08-05,44.8982
2024-08-02,49.4104
2024-08-01,51.6484
2024-07-31,51.7282
2024-07-30,49.9742
2024-07-29,48.4422
2024-07-26,46.6439
2024-07-25,44.2084
2024-07-24,41.5023
2024-07-23,41.8551
2024-07-22,42.2472
2024-07-19,42.8842
2024-07-18,43.5919
2024-07-17,40.9833
2024-07-16,38.4817
2024-07-15,36.0813
2024-07-12,33.9441
2024-07-11,31.8132
2024-07-10,31.4904
2024-07-09,31.8608
2024-07-08,30.9702
2024-07-05,29.4782
2024-07-03,29.0783
2024-07-02,27.1818
2024-07-01,25.2972
2024-06-28,23.6655
2024-06-27,23.4802
2024-06-26,23.9017
2024-06-25,24.3701
2024-06-24,23.9745
2024-06-21,20.6738
2024-06-20,18.5632
2024-06-18,16.5924
2024-06-17,16.9015
2024-06-14,18.2236
2024-06-13,19.9335
2024-06-12,20.6920
2024-06-11,21.5348
2024-06-10,23.2519
2024-06-07,24.4257
2024-06-06,25.7299
2024-06-05,27.1976
2024-06-04,28.0451
2024-06-03,27.1655
2024-05-31,26.1881
2024-05-30,25.2828
2024-05-29,24.4928
2024-05-28,24.7903
2024-05-24,26.9445
2024-05-23,29.0946
2024-05-22,31.2664
2024-05-21,31.2065
2024-05-20,31.1519
2024-05-17,34.2080
2024-05-16,36.3004
2024-05-15,39.0644
2024-05-14,40.4956
2024-05-13,41.7925
2024-05-10,43.4276
2024-05-09,45.2444
2024-05-08,46.7217
2024-05-07,48.5431
2024-05-06,49.6634
2024-05-03,50.3353
2024-05-02,49.0829
2024-05-01,45.8133
2024-04-30,42.4207
2024-04-29,38.7946
2024-04-26,34.9094
2024-04-25,30.2596
2024-04-24,25.0932
2024-04-23,23.7139
2024-04-22,22.1814
2024-04-19,21.4797
2024-04-18,20.0102
2024-04-17,18.3775
2024-04-16,17.5747
2024-04-15,17.4423
2024-04-12,17.2952
2024-04-11,14.6330
2024-04-10,13.4475
2024-04-09,12.8458
2024-04-08,13.1134
2024-04-05,13.4767
2024-04-04,13.8803
2024-04-03,14.3288
2024-04-02,15.3638
2024-04-01,14.9360
2024-03-28,15.1595
2024-03-27,16.7228
2024-03-26,17.7827
2024-03-25,18.0016
2024-03-22,18.4246
2024-03-21,20.2177
2024-03-20,22.2100
2024-03-19,23.9489
2024-03-18,26.1480
2024-03-15,28.8115
2024-03-14,31.5370
2024-03-13,33.7020
2024-03-12,33.8917
2024-03-11,34.1024
2024-03-08,35.8974
2024-03-07,35.1841
2024-03-06,32.7604
2024-03-05,30.2236
2024-03-04,28.6805
2024-03-01,26.9804
2024-02-29,27.4692
2024-02-28,28.9191
2024-02-27,31.4902
2024-02-26,34.5036
2024-02-23,36.8325
2024-02-22,39.0566
2024-02-21,42.5195
2024-02-20,47.2215
2024-02-16,49.4320
2024-02-15,49.1308
2024-02-14,49.5197
2024-02-13,50.7997
2024-02-12,52.3244
2024-02-09,52.3766
2024-02-08,52.4347
2024-02-07,53.3522
2024-02-06,55.2054
2024-02-05,56.9085
2024-02-02,58.6291
2024-02-01,58.6144
2024-01-31,58.5980
2024-01-30,58.2548
2024-01-29,54.9490
2024-01-26,51.2759
2024-01-25,47.1109
2024-01-24,42.4831
2024-01-23,39.6711
2024-01-22,36.7915
2024-01-19,33.5919
2024-01-18,30.9296
2024-01-17,30.3574
2024-01-16,29.0069
2024-01-12,27.8659
2024-01-11,27.4569
2024-01-10,30.1258
2024-01-09,31.6829
2024-01-08,31.8816
2024-01-05,32.1023
2024-01-04,33.1005
2024-01-03,35.9129
2024-01-02,38.9221
2023-12-29,42.7021
2023-12-28,44.6204
2023-12-27,45.7178
2023-12-26,47.2195
2023-12-22,49.1706
2023-12-21,52.1306
2023-12-20,56.7609
2023-12-19,61.2514
2023-12-18,64.2928
2023-12-15,67.2663
2023-12-14,69.8610
2023-12-13,73.0946
2023-12-12,72.2353
2023-12-11,70.9054
2023-12-08,69.9951
2023-12-07,69.4736
2023-12-06,69.0986
2023-12-05,68.5941
2023-12-04,66.5127
2023-12-01,64.2001
2023-11-30,61.9779
2023-11-29,59.9498
2023-11-28,58.0068
2023-11-27,56.4983
2023-11-24,54.8222
2023-11-22,53.2627
2023-11-21,50.9858
2023-11-20,48.8299
2023-11-17,46.4343
2023-11-16,44.2098
2023-11-15,41.7955
2023-11-14,39.1591
2023-11-13,37.2093
2023-11-10,36.4061
2023-11-09,35.5137
2023-11-08,36.2236
2023-11-07,35.8612
2023-11-06,34.6656
2023-11-03,33.3711
2023-11-02,32.4029
2023-11-01,32.2240
2023-10-31,32.4520
2023-10-30,34.1333
2023-10-27,36.2331
2023-10-26,38.5662
2023-10-25,41.3783
2023-10-24,40.2215
2023-10-23,37.8951
2023-10-20,34.7052
2023-10-19,31.6993
2023-10-18,28.7520
2023-10-17,26.4243
2023-10-16,23.8379
2023-10-13,22.5529
2023-10-12,21.1250
2023-10-11,22.3190
2023-10-10,24.1282
2023-10-09,26.1384
2023-10-06,28.2007
2023-10-05,30.4922
2023-10-04,31.0378
2023-10-03,30.7425
2023-10-02,30.4230
2023-09-29,29.7661
2023-09-28,29.0362
2023-09-27,28.6099
2023-09-26,29.2300
2023-09-25,30.9433
2023-09-22,32.2599
2023-09-21,32.8687
2023-09-20,32.8045
2023-09-19,31.4585
2023-09-18,34.0262
2023-09-15,37.6085
2023-09-14,41.0915
2023-09-13,42.8936
2023-09-12,46.0823
2023-09-11,49.6254
2023-09-08,48.7915
2023-09-07,48.0434
2023-09-06,46.7719
2023-09-05,45.7173
2023-09-01,43.1998
2023-08-31,40.9694
2023-08-30,38.7523
2023-08-29,36.9076
2023-08-28,35.0124
2023-08-25,32.9066
2023-08-24,31.6035
2023-08-23,31.1873
2023-08-22,31.9943
2023-08-21,33.2428
2023-08-18,35.8893
2023-08-17,39.7807
2023-08-16,42.4660
2023-08-15,46.3689
2023-08-14,49.3940
2023-08-11,51.3962
2023-08-10,52.6585
2023-08-09,52.8647
2023-08-08,53.0938
2023-08-07,53.7019
2023-08-04,52.5603
2023-08-03,51.5018
2023-08-02,50.7950
2023-08-01,50.5646
2023-07-31,50.3087
2023-07-28,47.2140
2023-07-27,43.9629
2023-07-26,40.5190
2023-07-25,37.4617
2023-07-24,34.4411
2023-07-21,31.2317
2023-07-20,27.8220
2023-07-19,24.0334
2023-07-18,22.1366
2023-07-17,20.4730
2023-07-14,19.9925
2023-07-13,20.2921
2023-07-12,19.8716
2023-07-11,19.4044
2023-07-10,19.6774
2023-07-07,21.8143
2023-07-06,24.1154
2023-07-05,26.6722
2023-07-03,28.2592
2023-06-30,29.6754
2023-06-29,30.5793
2023-06-28,32.1158
2023-06-27,35.5678
2023-06-26,39.4034
2023-06-23,42.1002
2023-06-22,44.2168
2023-06-21,47.7073
