time,AROONOSC
2025-11-07,20.0000
2025-11-06,30.0000
2025-11-05,30.0000
2025-11-04,30.0000
2025-11-03,30.0000
2025-10-31,30.0000
2025-10-30,30.0000
2025-10-29,30.0000
2025-10-28,30.0000
2025-10-27,20.0000
2025-10-24,10.0000
2025-10-23,-90.0000
2025-10-22,-40.0000
2025-10-21,-50.0000
2025-10-20,-50.0000
2025-10-17,-50.0000
2025-10-16,-50.0000
2025-10-15,-50.0000
2025-10-14,-50.0000
2025-10-13,-40.0000
2025-10-10,-30.0000
2025-10-09,80.0000
2025-10-08,90.0000
2025-10-07,90.0000
2025-10-06,90.0000
2025-10-03,100.0000
2025-10-02,60.0000
2025-10-01,60.0000
2025-09-30,80.0000
2025-09-29,90.0000
2025-09-26,100.0000
2025-09-25,90.0000
2025-09-24,80.0000
2025-09-23,70.0000
2025-09-22,100.0000
2025-09-19,100.0000
2025-09-18,100.0000
2025-09-17,100.0000
2025-09-16,50.0000
2025-09-15,50.0000
2025-09-12,50.0000
2025-09-11,50.0000
2025-09-10,50.0000
2025-09-09,50.0000
2025-09-08,40.0000
2025-09-05,20.0000
2025-09-04,20.0000
2025-09-03,-30.0000
2025-09-02,-30.0000
2025-08-29,80.0000
2025-08-28,90.0000
2025-08-27,90.0000
2025-08-26,100.0000
2025-08-25,80.0000
2025-08-22,-20.0000
2025-08-21,-30.0000
2025-08-20,-30.0000
2025-08-19,-30.0000
2025-08-18,-30.0000
2025-08-15,-30.0000
2025-08-14,-80.0000
2025-08-13,-90.0000
2025-08-12,-100.0000
2025-08-11,-90.0000
2025-08-08,-80.0000
2025-08-07,-30.0000
2025-08-06,-70.0000
2025-08-05,-70.0000
2025-08-04,-70.0000
2025-08-01,-70.0000
2025-07-31,-60.0000
2025-07-30,-10.0000
2025-07-29,-10.0000
2025-07-28,-10.0000
2025-07-25,-10.0000
2025-07-24,-100.0000
2025-07-23,-50.0000
2025-07-22,-60.0000
2025-07-21,-60.0000
2025-07-18,-60.0000
2025-07-17,-60.0000
2025-07-16,-60.0000
2025-07-15,-50.0000
2025-07-14,-40.0000
2025-07-11,-20.0000
2025-07-10,-100.0000
2025-07-09,-50.0000
2025-07-08,20.0000
2025-07-07,30.0000
2025-07-03,30.0000
2025-07-02,30.0000
2025-07-01,30.0000
2025-06-30,70.0000
2025-06-27,70.0000
2025-06-26,90.0000
2025-06-25,100.0000
2025-06-24,100.0000
2025-06-23,90.0000
2025-06-20,90.0000
2025-06-18,100.0000
2025-06-17,100.0000
2025-06-16,100.0000
2025-06-13,90.0000
2025-06-12,100.0000
2025-06-11,90.0000
2025-06-10,80.0000
2025-06-09,100.0000
2025-06-06,90.0000
2025-06-05,80.0000
2025-06-04,-30.0000
2025-06-03,-30.0000
2025-06-02,-30.0000
2025-05-30,-30.0000
2025-05-29,-30.0000
2025-05-28,50.0000
2025-05-27,60.0000
2025-05-23,60.0000
2025-05-22,60.0000
2025-05-21,60.0000
2025-05-20,100.0000
2025-05-19,100.0000
2025-05-16,100.0000
2025-05-15,100.0000
2025-05-14,100.0000
2025-05-13,90.0000
2025-05-12,80.0000
2025-05-09,90.0000
2025-05-08,100.0000
2025-05-07,90.0000
2025-05-06,80.0000
2025-05-05,70.0000
2025-05-02,-10.0000
2025-05-01,-10.0000
2025-04-30,-10.0000
2025-04-29,-10.0000
2025-04-28,-10.0000
2025-04-25,80.0000
2025-04-24,90.0000
2025-04-23,90.0000
2025-04-22,70.0000
2025-04-21,70.0000
2025-04-17,-20.0000
2025-04-16,-30.0000
2025-04-15,-30.0000
2025-04-14,-30.0000
2025-04-11,-30.0000
2025-04-10,-30.0000
2025-04-09,-80.0000
2025-04-08,-80.0000
2025-04-07,-80.0000
2025-04-04,-70.0000
2025-04-03,40.0000
2025-04-02,40.0000
2025-04-01,40.0000
2025-03-31,-30.0000
2025-03-28,-30.0000
2025-03-27,-30.0000
2025-03-26,-30.0000
2025-03-25,-70.0000
2025-03-24,-80.0000
2025-03-21,-80.0000
2025-03-20,-80.0000
2025-03-19,-40.0000
2025-03-18,-40.0000
2025-03-17,-40.0000
2025-03-14,-40.0000
2025-03-13,-30.0000
2025-03-12,10.0000
2025-03-11,10.0000
2025-03-10,10.0000
2025-03-07,-100.0000
2025-03-06,-60.0000
2025-03-05,-60.0000
2025-03-04,-60.0000
2025-03-03,-60.0000
2025-02-28,-60.0000
2025-02-27,50.0000
2025-02-26,60.0000
2025-02-25,70.0000
2025-02-24,70.0000
2025-02-21,70.0000
2025-02-20,70.0000
2025-02-19,60.0000
2025-02-18,50.0000
2025-02-14,-30.0000
2025-02-13,40.0000
2025-02-12,50.0000
2025-02-11,60.0000
2025-02-10,70.0000
2025-02-07,70.0000
2025-02-06,70.0000
