time,DX
2025-11-07,18.6155
2025-11-06,18.6155
2025-11-05,3.8740
2025-11-04,4.4541
2025-11-03,13.6419
2025-10-31,13.6419
2025-10-30,21.3074
2025-10-29,26.9928
2025-10-28,35.9134
2025-10-27,29.1803
2025-10-24,25.8859
2025-10-23,20.1585
2025-10-22,31.9978
2025-10-21,22.0532
2025-10-20,22.0532
2025-10-17,16.6840
2025-10-16,14.5654
2025-10-15,19.1085
2025-10-14,1.3552
2025-10-13,4.9604
2025-10-10,13.9305
2025-10-09,35.0721
2025-10-08,48.5089
2025-10-07,84.1239
2025-10-06,77.1917
2025-10-03,77.1917
2025-10-02,72.3118
2025-10-01,69.9514
2025-09-30,69.2683
2025-09-29,69.2404
2025-09-26,71.7620
2025-09-25,67.2538
2025-09-24,51.1940
2025-09-23,64.6953
2025-09-22,63.2114
2025-09-19,55.6601
2025-09-18,50.1888
2025-09-17,39.2960
2025-09-16,29.6776
2025-09-15,29.6776
2025-09-12,23.7342
2025-09-11,43.2929
2025-09-10,43.2929
2025-09-09,45.1339
2025-09-08,37.1643
2025-09-05,9.9224
2025-09-04,9.9224
2025-09-03,15.1202
2025-09-02,32.9805
2025-08-29,18.3236
2025-08-28,9.9463
2025-08-27,9.9463
2025-08-26,15.6897
2025-08-25,30.8493
2025-08-22,28.0745
2025-08-21,35.3771
2025-08-20,30.2509
2025-08-19,30.5266
2025-08-18,37.9368
2025-08-15,42.0549
2025-08-14,50.2290
2025-08-13,49.2887
2025-08-12,63.0605
2025-08-11,61.5768
2025-08-08,52.7105
2025-08-07,43.3876
2025-08-06,46.5744
2025-08-05,53.4348
2025-08-04,56.5587
2025-08-01,58.9901
2025-07-31,51.5391
2025-07-30,41.9456
2025-07-29,38.4662
2025-07-28,45.1117
2025-07-25,57.1823
2025-07-24,57.1823
2025-07-23,8.1465
2025-07-22,8.4661
2025-07-21,8.8669
2025-07-18,5.9479
2025-07-17,15.7272
2025-07-16,15.7272
2025-07-15,11.9081
2025-07-14,7.6152
2025-07-11,2.3254
2025-07-10,2.3254
2025-07-09,29.5556
2025-07-08,34.8626
2025-07-07,40.0916
2025-07-03,32.2134
2025-07-02,25.7596
2025-07-01,44.2077
2025-06-30,43.5085
2025-06-27,39.6498
2025-06-26,48.5381
2025-06-25,48.5381
2025-06-24,45.4251
2025-06-23,36.3648
2025-06-20,23.2024
2025-06-18,53.1803
2025-06-17,49.0600
2025-06-16,48.5023
2025-06-13,38.8101
2025-06-12,62.4262
2025-06-11,60.4425
2025-06-10,53.1732
2025-06-09,44.6119
2025-06-06,35.9118
2025-06-05,27.6698
2025-06-04,26.0283
2025-06-03,21.5011
2025-06-02,16.4380
2025-05-30,2.6868
2025-05-29,2.6868
2025-05-28,15.3243
2025-05-27,11.5764
2025-05-23,1.4775
2025-05-22,6.1557
2025-05-21,15.6666
2025-05-20,39.0302
2025-05-19,38.7201
2025-05-16,36.4017
2025-05-15,35.3534
2025-05-14,20.6250
2025-05-13,18.2620
2025-05-12,2.7651
2025-05-09,12.7331
2025-05-08,27.2786
2025-05-07,22.6030
2025-05-06,11.9675
2025-05-05,10.9641
2025-05-02,0.1724
2025-05-01,9.4742
2025-04-30,9.4742
2025-04-29,16.3016
2025-04-28,25.8015
2025-04-25,35.5268
2025-04-24,37.2202
2025-04-23,0.0710
2025-04-22,22.8173
2025-04-21,30.1662
2025-04-17,19.6219
2025-04-16,19.6219
2025-04-15,14.0232
2025-04-14,14.0232
2025-04-11,26.5979
2025-04-10,43.6454
2025-04-09,43.6454
2025-04-08,54.5832
2025-04-07,57.1008
2025-04-04,43.6451
2025-04-03,12.3759
2025-04-02,3.0837
2025-04-01,4.5836
2025-03-31,4.5836
2025-03-28,15.9517
2025-03-27,5.8071
2025-03-26,6.2032
2025-03-25,4.5842
2025-03-24,11.6103
2025-03-21,24.7158
2025-03-20,24.7158
2025-03-19,0.0772
2025-03-18,3.4730
2025-03-17,8.9254
2025-03-14,9.6271
2025-03-13,5.4779
2025-03-12,2.2582
2025-03-11,3.2664
2025-03-10,35.7025
2025-03-07,24.9933
2025-03-06,11.8138
2025-03-05,10.9656
2025-03-04,6.8506
2025-03-03,6.3301
2025-02-28,19.5120
2025-02-27,4.3136
2025-02-26,10.4634
2025-02-25,21.6598
2025-02-24,36.4872
2025-02-21,45.0961
2025-02-20,51.0183
2025-02-19,49.7345
2025-02-18,49.0847
2025-02-14,45.8551
2025-02-13,41.4655
2025-02-12,36.4448
2025-02-11,36.4448
2025-02-10,28.1217
2025-02-07,40.0657
2025-02-06,42.4936
2025-02-05,74.9835
2025-02-04,74.6947
2025-02-03,72.7745
2025-01-31,69.6384
2025-01-30,69.6384
2025-01-29,18.9946
2025-01-28,2.1903
2025-01-27,5.6462
2025-01-24,17.1004
2025-01-23,13.4470
2025-01-22,5.4649
2025-01-21,20.6032
2025-01-17,13.8985
2025-01-16,3.2997
2025-01-15,9.3240
2025-01-14,34.2492
2025-01-13,33.7129
2025-01-10,25.7305
2025-01-08,5.6225
2025-01-07,7.3604
2025-01-06,8.4968
2025-01-03,13.6119
2025-01-02,22.4196
2024-12-31,33.9259
2024-12-30,33.9259
2024-12-27,17.5796
2024-12-26,11.5752
2024-12-24,18.0350
2024-12-23,22.7521
2024-12-20,20.3114
2024-12-19,29.4180
2024-12-18,29.4180
2024-12-17,2.8034
2024-12-16,2.8034
2024-12-13,23.0689
2024-12-12,23.8490
2024-12-11,20.4847
2024-12-10,20.4847
2024-12-09,26.1133
