time,MINUS_DI
2025-11-07,19.7264
2025-11-06,21.8730
2025-11-05,25.5394
2025-11-04,27.7223
2025-11-03,21.1678
2025-10-31,23.0166
2025-10-30,22.2755
2025-10-29,21.6578
2025-10-28,19.0632
2025-10-27,20.6484
2025-10-24,22.9451
2025-10-23,31.3899
2025-10-22,14.8815
2025-10-21,16.7797
2025-10-20,17.7462
2025-10-17,18.9483
2025-10-16,21.2447
2025-10-15,21.3623
2025-10-14,24.4202
2025-10-13,23.1164
2025-10-10,21.5359
2025-10-09,16.5779
2025-10-08,13.2831
2025-10-07,3.7250
2025-10-06,4.5032
2025-10-03,4.7858
2025-10-02,5.3301
2025-10-01,5.8520
2025-09-30,6.4928
2025-09-29,7.1765
2025-09-26,7.1849
2025-09-25,8.2826
2025-09-24,11.2343
2025-09-23,8.4966
2025-09-22,9.2290
2025-09-19,10.5046
2025-09-18,11.4603
2025-09-17,13.6949
2025-09-16,14.9235
2025-09-15,16.1039
2025-09-12,18.1195
2025-09-11,12.8818
2025-09-10,13.6725
2025-09-09,14.6014
2025-09-08,16.4276
2025-09-05,20.4648
2025-09-04,22.2002
2025-09-03,25.7265
2025-09-02,28.8286
2025-08-29,23.8503
2025-08-28,22.1293
2025-08-27,23.4694
2025-08-26,25.6676
2025-08-25,29.1064
2025-08-22,29.3919
2025-08-21,32.2918
2025-08-20,31.3197
2025-08-19,33.0238
2025-08-18,35.3258
2025-08-15,36.9041
2025-08-14,39.5621
2025-08-13,41.7107
2025-08-12,46.3169
2025-08-11,47.7165
2025-08-08,42.3438
2025-08-07,38.1631
2025-08-06,42.6044
2025-08-05,46.6226
2025-08-04,49.8150
2025-08-01,53.2380
2025-07-31,48.6561
2025-07-30,43.6150
2025-07-29,42.5904
2025-07-28,46.0345
2025-07-25,49.3320
2025-07-24,52.7811
2025-07-23,20.8306
2025-07-22,24.3389
2025-07-21,18.7472
2025-07-18,20.2682
2025-07-17,22.8368
2025-07-16,24.2046
2025-07-15,24.4534
2025-07-14,24.1358
2025-07-11,23.2043
2025-07-10,25.4186
2025-07-09,15.5395
2025-07-08,14.6838
2025-07-07,14.7451
2025-07-03,16.3085
2025-07-02,17.9551
2025-07-01,12.8418
2025-06-30,14.2070
2025-06-27,15.7373
2025-06-26,13.8228
2025-06-25,14.5710
2025-06-24,16.5241
2025-06-23,18.5126
2025-06-20,22.3348
2025-06-18,12.6936
2025-06-17,13.8294
2025-06-16,14.9811
2025-06-13,17.5007
2025-06-12,10.2972
2025-06-11,11.0457
2025-06-10,12.7622
2025-06-09,14.3967
2025-06-06,16.8296
2025-06-05,18.1838
2025-06-04,19.1959
2025-06-03,20.1202
2025-06-02,21.3688
2025-05-30,24.4670
2025-05-29,25.9825
2025-05-28,21.8929
2025-05-27,24.0958
2025-05-23,26.5458
2025-05-22,24.5619
2025-05-21,21.5019
2025-05-20,14.4916
2025-05-19,15.4281
2025-05-16,16.4909
2025-05-15,17.3923
2025-05-14,20.2110
2025-05-13,21.6326
2025-05-12,23.9818
2025-05-09,22.6462
2025-05-08,18.1925
2025-05-07,19.1141
2025-05-06,20.7448
2025-05-05,21.9652
2025-05-02,23.8738
2025-05-01,25.8528
2025-04-30,27.3502
2025-04-29,30.2469
2025-04-28,31.6730
2025-04-25,33.3536
2025-04-24,36.0084
2025-04-23,20.9324
2025-04-22,23.2157
2025-04-21,25.0892
2025-04-17,21.9915
2025-04-16,23.1222
2025-04-15,22.3571
2025-04-14,23.1361
2025-04-11,24.6263
2025-04-10,27.1455
2025-04-09,30.9001
2025-04-08,38.5276
2025-04-07,46.1825
2025-04-04,40.2676
2025-04-03,25.7223
2025-04-02,21.3803
2025-04-01,23.3123
2025-03-31,26.0269
2025-03-28,29.6929
2025-03-27,26.3653
2025-03-26,22.2504
2025-03-25,23.8876
2025-03-24,24.8139
2025-03-21,26.5100
2025-03-20,28.9199
2025-03-19,21.3566
2025-03-18,23.5843
2025-03-17,20.5532
2025-03-14,22.4490
2025-03-13,22.8468
2025-03-12,21.4281
2025-03-11,23.2957
2025-03-10,13.7489
2025-03-07,16.3504
2025-03-06,21.6333
2025-03-05,23.4147
2025-03-04,24.1168
2025-03-03,27.3589
2025-02-28,31.7475
2025-02-27,22.4069
2025-02-26,21.7048
2025-02-25,18.6214
2025-02-24,15.3499
2025-02-21,13.5743
2025-02-20,12.4960
2025-02-19,13.1881
2025-02-18,14.2174
2025-02-14,15.2550
2025-02-13,16.2985
2025-02-12,17.6084
2025-02-11,18.8336
2025-02-10,21.0889
2025-02-07,17.3554
2025-02-06,17.5675
2025-02-05,7.2615
2025-02-04,7.7581
2025-02-03,8.5877
2025-01-31,9.9628
2025-01-30,10.9478
2025-01-29,20.3708
2025-01-28,23.5242
2025-01-27,26.0538
2025-01-24,18.7193
2025-01-23,20.2259
2025-01-22,21.7375
2025-01-21,17.6265
2025-01-17,19.7350
2025-01-16,21.3764
2025-01-15,24.3026
2025-01-14,26.7433
2025-01-13,28.7472
2025-01-10,27.1906
2025-01-08,21.0457
2025-01-07,17.9910
2025-01-06,19.9271
2025-01-03,21.8089
2025-01-02,23.9086
2024-12-31,26.9820
2024-12-30,28.7572
2024-12-27,22.9054
2024-12-26,22.0345
2024-12-24,23.5533
2024-12-23,25.1412
2024-12-20,25.2935
2024-12-19,28.7314
2024-12-18,32.7553
2024-12-17,20.8062
2024-12-16,22.1294
2024-12-13,16.1148
2024-12-12,17.1787
2024-12-11,18.6900
2024-12-10,20.3436
2024-12-09,20.8925
2024-12-06,12.2594
2024-12-05,13.6718
2024-12-04,14.8006
2024-12-03,16.7259
2024-12-02,17.7985
2024-11-29,14.8314
2024-11-27,16.0960
2024-11-26,14.9695
2024-11-25,16.2398
2024-11-22,17.7100
2024-11-21,20.5066
2024-11-20,25.0342
2024-11-19,28.7210
2024-11-18,32.1186
2024-11-15,35.2208
2024-11-14,33.6340
2024-11-13,30.1279
2024-11-12,32.1334
2024-11-11,27.9529
2024-11-08,29.3967
2024-11-07,32.4610
2024-11-06,34.6066
2024-11-05,40.9674
2024-11-04,43.6882
2024-11-01,42.3434
2024-10-31,45.5294
2024-10-30,48.7944
2024-10-29,43.0731
2024-10-28,39.7117
2024-10-25,39.0399
2024-10-24,38.7734
2024-10-23,12.5574
2024-10-22,12.4784
2024-10-21,13.4229
2024-10-18,14.3404
2024-10-17,14.0430
2024-10-16,13.9168
2024-10-15,10.3590
2024-10-14,11.8218
2024-10-11,12.8562
2024-10-10,10.0522
2024-10-09,11.2305
2024-10-08,13.5189
2024-10-07,14.4669
2024-10-04,15.5988
2024-10-03,17.1281
2024-10-02,18.8945
2024-10-01,21.0437
2024-09-30,14.8158
2024-09-27,10.6514
2024-09-26,9.9940
2024-09-25,10.7793
2024-09-24,11.2653
2024-09-23,12.1493
2024-09-20,13.1783
2024-09-19,14.5378
2024-09-18,8.8929
2024-09-17,9.6809
2024-09-16,4.1223
2024-09-13,4.4788
2024-09-12,5.0443
2024-09-11,5.6757
2024-09-10,6.9375
2024-09-09,7.5708
2024-09-06,8.5996
2024-09-05,4.6122
2024-09-04,5.4093
2024-09-03,6.1492
2024-08-30,7.1822
2024-08-29,8.1184
2024-08-28,8.9924
2024-08-27,9.8313
2024-08-26,10.7012
2024-08-23,11.6333
2024-08-22,8.6823
2024-08-21,9.3863
2024-08-20,10.4273
2024-08-19,11.2896
2024-08-16,11.9436
2024-08-15,11.2151
2024-08-14,11.8338
2024-08-13,12.5987
2024-08-12,13.2864
2024-08-09,14.0391
2024-08-08,15.2671
2024-08-07,17.5923
2024-08-06,18.9463
2024-08-05,21.5827
2024-08-02,15.3879
2024-08-01,10.1081
2024-07-31,6.9165
2024-07-30,7.7971
2024-07-29,8.3424
2024-07-26,8.0672
2024-07-25,8.9502
2024-07-24,12.8854
2024-07-23,13.7412
2024-07-22,14.8320
2024-07-19,15.8394
2024-07-18,7.8639
2024-07-17,9.0752
2024-07-16,9.9842
2024-07-15,11.3052
2024-07-12,12.2036
2024-07-11,14.9174
2024-07-10,16.5103
2024-07-09,14.5256
2024-07-08,14.0615
2024-07-05,15.4234
2024-07-03,12.1822
2024-07-02,13.4181
2024-07-01,14.9562
2024-06-28,16.8885
2024-06-27,18.7039
2024-06-26,20.0406
2024-06-25,18.1355
2024-06-24,11.2019
2024-06-21,13.8735
2024-06-20,15.8983
2024-06-18,18.4355
2024-06-17,20.2869
2024-06-14,22.1633
2024-06-13,19.6722
2024-06-12,20.6259
2024-06-11,24.3199
2024-06-10,19.2137
2024-06-07,20.7019
2024-06-06,23.5337
2024-06-05,25.0951
2024-06-04,27.0767
2024-06-03,29.7252
2024-05-31,32.4000
2024-05-30,34.8977
2024-05-29,30.9052
2024-05-28,25.2438
2024-05-24,21.3896
2024-05-23,22.0183
2024-05-22,16.7782
2024-05-21,18.3630
2024-05-20,22.7409
2024-05-17,24.6015
2024-05-16,24.5029
2024-05-15,26.4596
2024-05-14,27.5464
2024-05-13,28.2261
2024-05-10,29.5739
2024-05-09,31.4449
2024-05-08,32.7509
