time,MINUS_DM
2026-05-15,21.3340
2026-05-14,23.7045
2026-05-13,26.3383
2026-05-12,21.6204
2026-05-11,20.3226
2026-05-08,20.0474
2026-05-07,21.2532
2026-05-06,23.6147
2026-05-05,23.1832
2026-05-04,24.1432
2026-05-01,23.3679
2026-04-30,25.9643
2026-04-29,26.7315
2026-04-28,27.8928
2026-04-27,30.9919
2026-04-24,34.4355
2026-04-23,38.2617
2026-04-22,14.4086
2026-04-21,10.8751
2026-04-20,11.3168
2026-04-17,12.5742
2026-04-16,13.9714
2026-04-15,15.5238
2026-04-14,17.2486
2026-04-13,19.1651
2026-04-10,21.2946
2026-04-09,20.0759
2026-04-08,14.5415
2026-04-07,16.1572
2026-04-06,13.9375
2026-04-02,15.4861
2026-04-01,17.2068
2026-03-31,19.1187
2026-03-30,21.2430
2026-03-27,23.6033
2026-03-26,19.5528
2026-03-25,21.7253
2026-03-24,24.1392
2026-03-23,19.4201
2026-03-20,21.5779
2026-03-19,16.8281
2026-03-18,16.5911
2026-03-17,18.4346
2026-03-16,20.4829
2026-03-13,22.7587
2026-03-12,24.2617
2026-03-11,25.2368
2026-03-10,28.0409
2026-03-09,25.6184
2026-03-06,27.7600
2026-03-05,30.8445
2026-03-04,34.2716
2026-03-03,38.0796
2026-03-02,42.3107
2026-02-27,46.1460
2026-02-26,46.4367
2026-02-25,51.5963
2026-02-24,57.3292
2026-02-23,63.6992
2026-02-20,34.2897
2026-02-19,38.0996
2026-02-18,39.3118
2026-02-17,43.6798
2026-02-13,46.3381
2026-02-12,50.8471
2026-02-11,39.7972
2026-02-10,24.3984
2026-02-09,27.1093
2026-02-06,30.1215
2026-02-05,33.4683
2026-02-04,37.1870
2026-02-03,35.9561
2026-02-02,15.2101
2026-01-30,16.9001
2026-01-29,14.6763
2026-01-28,16.3070
2026-01-27,15.9146
2026-01-26,17.6829
2026-01-23,19.6477
2026-01-22,17.7292
2026-01-21,19.6991
2026-01-20,21.8878
2026-01-16,12.6731
2026-01-15,14.0812
2026-01-14,10.7545
2026-01-13,11.5437
2026-01-12,12.8263
2026-01-09,14.2515
2026-01-08,15.8350
2026-01-07,16.1194
2026-01-06,17.9104
2026-01-05,19.9005
2026-01-02,22.1117
2025-12-31,17.0343
2025-12-30,12.2043
2025-12-29,11.6412
2025-12-26,12.9346
2025-12-24,14.3718
2025-12-23,15.9687
2025-12-22,17.7430
2025-12-19,18.8590
2025-12-18,20.9545
2025-12-17,15.1892
2025-12-16,16.8769
2025-12-15,12.2488
2025-12-12,13.6097
2025-12-11,9.5618
2025-12-10,10.6242
2025-12-09,9.5030
2025-12-08,10.5589
2025-12-05,11.7321
2025-12-04,13.0357
2025-12-03,14.4841
2025-12-02,13.1708
2025-12-01,14.6342
2025-11-28,15.3829
2025-11-26,17.0921
2025-11-25,18.9912
2025-11-24,20.6079
2025-11-21,22.8976
2025-11-20,25.4418
2025-11-19,28.2687
2025-11-18,29.3808
2025-11-17,25.4182
2025-11-14,27.0580
2025-11-13,23.3857
2025-11-12,14.0824
2025-11-11,15.6471
2025-11-10,17.3857
2025-11-07,19.3174
2025-11-06,21.4638
2025-11-05,23.8487
2025-11-04,26.4986
2025-11-03,20.4659
2025-10-31,22.7399
2025-10-30,21.5689
2025-10-29,21.2386
2025-10-28,19.3554
2025-10-27,21.5060
2025-10-24,23.8955
2025-10-23,26.5506
2025-10-22,10.0986
2025-10-21,11.2207
2025-10-20,12.4674
2025-10-17,13.8527
2025-10-16,15.3919
2025-10-15,15.5750
2025-10-14,17.3056
2025-10-13,16.9454
2025-10-10,15.7087
2025-10-09,11.1059
2025-10-08,8.9007
2025-10-07,2.4594
2025-10-06,2.7327
2025-10-03,3.0363
2025-10-02,3.3737
2025-10-01,3.7486
2025-09-30,4.1651
2025-09-29,4.6279
2025-09-26,4.6512
2025-09-25,5.1680
2025-09-24,5.7423
2025-09-23,4.2370
2025-09-22,4.7077
2025-09-19,5.2308
2025-09-18,5.8120
2025-09-17,6.4578
2025-09-16,7.1753
2025-09-15,7.9726
2025-09-12,8.8584
2025-09-11,6.3196
