time,PLUS_DI
2025-11-07,28.7507
2025-11-06,31.8793
2025-11-05,27.5979
2025-11-04,25.3580
2025-11-03,27.8555
2025-10-31,30.2884
2025-10-30,34.3384
2025-10-29,37.6727
2025-10-28,40.4288
2025-10-27,37.6641
2025-10-24,38.9733
2025-10-23,20.8575
2025-10-22,28.8861
2025-10-21,26.2745
2025-10-20,27.7879
2025-10-17,26.5370
2025-10-16,28.4885
2025-10-15,31.4549
2025-10-14,23.7671
2025-10-13,25.5294
2025-10-10,28.5071
2025-10-09,34.4877
2025-10-08,38.3107
2025-10-07,43.2012
2025-10-06,34.9843
2025-10-03,37.1796
2025-10-02,33.1710
2025-10-01,33.0984
2025-09-30,35.7620
2025-09-29,39.4852
2025-09-26,43.7031
2025-09-25,42.3041
2025-09-24,34.8024
2025-09-23,39.6363
2025-09-22,40.9441
2025-09-19,36.8776
2025-09-18,34.5546
2025-09-17,31.4254
2025-09-16,27.5196
2025-09-15,29.6962
2025-09-12,29.3972
2025-09-11,32.5509
2025-09-10,34.5489
2025-09-09,38.6243
2025-09-08,35.8600
2025-09-05,24.9734
2025-09-04,27.0910
2025-09-03,18.9685
2025-09-02,14.5291
2025-08-29,16.4634
2025-08-28,18.1254
2025-08-27,19.2230
2025-08-26,18.7056
2025-08-25,15.3820
2025-08-22,16.5062
2025-08-21,15.4146
2025-08-20,16.7717
2025-08-19,17.5771
2025-08-18,15.8945
2025-08-15,15.0534
2025-08-14,13.1070
2025-08-13,14.1686
2025-08-12,10.4926
2025-08-11,11.3471
2025-08-08,13.1125
2025-08-07,15.0676
2025-08-06,15.5291
2025-08-05,14.1493
2025-08-04,13.8225
2025-08-01,13.7322
2025-07-31,15.5598
2025-07-30,17.8381
2025-07-29,18.9270
2025-07-28,17.4125
2025-07-25,13.4384
2025-07-24,14.3780
2025-07-23,24.5255
2025-07-22,20.5394
2025-07-21,22.3952
2025-07-18,22.8318
2025-07-17,16.6298
2025-07-16,17.6258
2025-07-15,19.2493
2025-07-14,20.7199
2025-07-11,22.1496
2025-07-10,24.2633
2025-07-09,28.5791
2025-07-08,30.4019
2025-07-07,34.4803
2025-07-03,31.8086
2025-07-02,30.4151
2025-07-01,33.1924
2025-06-30,36.0909
2025-06-27,36.4160
2025-06-26,39.8978
2025-06-25,42.0574
2025-06-24,44.0317
2025-06-23,39.6709
2025-06-20,35.8306
2025-06-18,41.5299
2025-06-17,40.4675
2025-06-16,43.2004
2025-06-13,39.7004
2025-06-12,44.5131
2025-06-11,44.8007
2025-06-10,41.7460
2025-06-09,37.5881
2025-06-06,35.6906
2025-06-05,32.0961
2025-06-04,32.7048
2025-06-03,31.1421
2025-06-02,29.7761
2025-05-30,25.8181
2025-05-29,27.4173
2025-05-28,29.8171
2025-05-27,30.4050
2025-05-23,25.7728
2025-05-22,27.7842
2025-05-21,29.4908
2025-05-20,33.0453
2025-05-19,34.9249
2025-05-16,35.3686
2025-05-15,36.4151
2025-05-14,30.7143
2025-05-13,31.2990
2025-05-12,25.3457
2025-05-09,29.2548
2025-05-08,31.8410
2025-05-07,30.2783
2025-05-06,26.3850
2025-05-05,27.3749
2025-05-02,23.9562
2025-05-01,21.3780
2025-04-30,22.6162
2025-04-29,21.7677
2025-04-28,18.6809
2025-04-25,15.8671
2025-04-24,16.4743
2025-04-23,20.9622
2025-04-22,14.5896
2025-04-21,13.4603
2025-04-17,14.7768
2025-04-16,15.5366
2025-04-15,16.8579
2025-04-14,17.4453
2025-04-11,14.2785
2025-04-10,10.6496
2025-04-09,12.1226
2025-04-08,11.3195
2025-04-07,12.6110
2025-04-04,15.7978
2025-04-03,20.0567
2025-04-02,22.7408
2025-04-01,21.2689
2025-03-31,23.7455
2025-03-28,21.5231
2025-03-27,23.4713
2025-03-26,25.1934
2025-03-25,21.7935
2025-03-24,19.6514
2025-03-21,16.0027
2025-03-20,17.4574
2025-03-19,21.3896
2025-03-18,22.0011
2025-03-17,24.5816
2025-03-14,18.5062
2025-03-13,20.4738
2025-03-12,22.4183
2025-03-11,24.8690
2025-03-10,29.0175
2025-03-07,27.2467
2025-03-06,17.0619
2025-03-05,18.7871
