time,PLUS_DM
2026-05-15,9.0563
2026-05-14,10.0626
2026-05-13,8.2362
2026-05-12,9.1513
2026-05-11,10.1681
2026-05-08,11.2979
2026-05-07,12.5532
2026-05-06,10.8376
2026-05-05,12.0418
2026-05-04,13.3798
2026-05-01,14.8664
2026-04-30,11.7202
2026-04-29,13.0224
2026-04-28,14.4693
2026-04-27,13.6119
2026-04-24,15.1243
2026-04-23,16.8048
2026-04-22,18.6719
2026-04-21,20.7466
2026-04-20,23.0518
2026-04-17,22.4696
2026-04-16,20.0799
2026-04-15,16.6195
2026-04-14,13.4778
2026-04-13,11.1507
2026-04-10,12.3897
2026-04-09,13.7663
2026-04-08,15.2959
2026-04-07,12.3187
2026-04-06,13.6875
2026-04-02,14.4477
2026-04-01,13.9038
2026-03-31,11.6855
2026-03-30,10.0719
2026-03-27,10.3417
2026-03-26,11.4908
2026-03-25,12.2335
2026-03-24,13.5928
2026-03-23,15.1031
2026-03-20,15.6010
2026-03-19,17.3344
2026-03-18,19.2605
2026-03-17,19.3158
2026-03-16,16.8405
2026-03-13,15.9762
2026-03-12,17.7513
2026-03-11,19.7237
2026-03-10,21.6119
2026-03-09,24.0132
2026-03-06,26.6814
2026-03-05,29.6460
2026-03-04,22.4284
2026-03-03,19.6702
2026-03-02,15.9988
2026-02-27,17.7765
2026-02-26,19.7516
2026-02-25,13.1886
2026-02-24,11.3932
2026-02-23,12.6591
2026-02-20,14.0657
2026-02-19,14.7902
2026-02-18,16.4336
2026-02-17,17.8073
2026-02-13,19.7859
2026-02-12,21.9843
2026-02-11,24.4270
2026-02-10,27.1412
2026-02-09,28.3981
2026-02-06,31.5535
2026-02-05,26.1982
2026-02-04,28.6704
2026-02-03,31.8560
2026-02-02,35.3956
2026-01-30,29.6151
2026-01-29,32.9057
2026-01-28,10.2963
2026-01-27,11.4404
2026-01-26,12.1467
2026-01-23,10.7766
2026-01-22,11.9740
2026-01-21,9.7292
2026-01-20,10.8103
2026-01-16,12.0114
2026-01-15,13.3460
2026-01-14,14.8289
2026-01-13,16.4765
2026-01-12,17.7809
2026-01-09,13.9112
2026-01-08,11.8049
2026-01-07,13.1166
2026-01-06,13.1812
2026-01-05,10.4235
2026-01-02,9.8050
2025-12-31,10.8944
2025-12-30,12.1049
2025-12-29,13.4499
2025-12-26,10.2834
2025-12-24,10.7680
2025-12-23,11.9425
2025-12-22,11.1310
2025-12-19,12.3677
2025-12-18,11.0989
2025-12-17,12.3321
2025-12-16,13.7024
2025-12-15,15.2249
2025-12-12,16.5734
2025-12-11,18.4148
2025-12-10,20.4609
2025-12-09,22.7344
2025-12-08,25.2604
2025-12-05,24.2118
2025-12-04,24.4674
2025-12-03,21.0007
2025-12-02,23.3341
2025-12-01,22.2557
2025-11-28,24.7285
2025-11-26,24.6467
2025-11-25,26.7272
2025-11-24,29.6969
2025-11-21,25.6488
2025-11-20,28.4986
2025-11-19,21.1369
2025-11-18,23.4854
2025-11-17,26.0949
2025-11-14,28.9943
2025-11-13,32.2159
2025-11-12,35.7955
2025-11-11,32.1069
2025-11-10,26.9338
2025-11-07,28.1546
2025-11-06,31.2829
2025-11-05,25.7710
2025-11-04,24.2387
2025-11-03,26.9319
2025-10-31,29.9243
2025-10-30,33.2492
2025-10-29,36.9436
2025-10-28,41.0484
2025-10-27,39.2284
2025-10-24,40.5876
2025-10-23,17.6420
2025-10-22,19.6022
2025-10-21,17.5699
2025-10-20,19.5222
2025-10-17,19.4007
2025-10-16,20.6401
2025-10-15,22.9334
2025-10-14,16.8428
2025-10-13,18.7142
2025-10-10,20.7936
2025-10-09,23.1040
2025-10-08,25.6711
2025-10-07,28.5234
2025-10-06,21.2296
2025-10-03,23.5885
2025-10-02,20.9956
2025-10-01,21.2015
2025-09-30,22.9410
2025-09-29,25.4627
2025-09-26,28.2919
2025-09-25,26.3961
2025-09-24,17.7887
2025-09-23,19.7652
2025-09-22,20.8857
2025-09-19,18.3634
2025-09-18,17.5241
2025-09-17,14.8185
2025-09-16,13.2316
2025-09-15,14.7018
2025-09-12,14.3720
2025-09-11,15.9688
2025-09-10,17.7432
2025-09-09,19.7146
2025-09-08,18.0766
2025-09-05,11.2282
2025-09-04,12.4757
2025-09-03,8.3754
2025-09-02,6.3610
2025-08-29,7.0678
2025-08-28,7.8531
2025-08-27,8.7256
2025-08-26,8.6262
2025-08-25,6.9505
2025-08-22,7.7228
2025-08-21,7.2938
2025-08-20,8.1042
2025-08-19,8.9501
2025-08-18,8.4066
2025-08-15,8.4681
2025-08-14,7.6420
2025-08-13,8.4911
2025-08-12,6.2920
2025-08-11,6.9911
2025-08-08,7.7678
2025-08-07,8.6309
2025-08-06,8.8533
2025-08-05,8.1905
2025-08-04,8.3206
2025-08-01,8.5942
2025-07-31,9.5491
2025-07-30,10.6101
2025-07-29,11.7890
2025-07-28,11.1492
2025-07-25,8.9216
2025-07-24,9.9129
2025-07-23,11.0143
2025-07-22,8.7718
2025-07-21,9.7464
2025-07-18,10.2119
2025-07-17,7.3349
2025-07-16,8.1499
2025-07-15,9.0554
2025-07-14,10.0616
2025-07-11,11.1795
2025-07-10,12.4217
2025-07-09,13.8019
2025-07-08,15.3354
2025-07-07,17.0393
2025-07-03,15.7913
2025-07-02,15.2386
2025-07-01,16.9317
2025-06-30,18.4901
2025-06-27,18.7139
2025-06-26,20.7932
2025-06-25,23.1036
2025-06-24,23.6990
2025-06-23,21.1761
2025-06-20,17.6145
2025-06-18,19.5717
2025-06-17,19.4497
2025-06-16,21.2968
2025-06-13,18.6152
2025-06-12,20.6835
2025-06-11,21.5627
2025-06-10,19.3222
2025-06-09,17.1362
2025-06-06,15.4655
2025-06-05,14.3025
2025-06-04,15.3392
2025-06-03,15.4836
2025-06-02,15.4882
2025-05-30,13.0321
2025-05-29,14.4801
2025-05-28,16.0890
2025-05-27,16.5626
2025-05-23,14.1595
2025-05-22,15.7328
2025-05-21,17.4809
2025-05-20,19.4232
2025-05-19,21.4243
2025-05-16,22.5536
2025-05-15,24.4638
2025-05-14,19.7292
2025-05-13,20.8706
2025-05-12,16.9393
2025-05-09,18.8214
2025-05-08,20.9127
2025-05-07,21.0305
2025-05-06,18.7620
2025-05-05,20.4271
2025-05-02,18.2744
2025-05-01,16.7326
2025-04-30,18.5918
2025-04-29,17.9783
2025-04-28,16.3714
2025-04-25,14.6719
2025-04-24,15.6781
2025-04-23,17.4201
2025-04-22,12.1465
2025-04-21,11.5217
2025-04-17,12.8019
2025-04-16,14.2243
2025-04-15,15.8048
2025-04-14,17.5609
2025-04-11,15.0037
2025-04-10,11.2800
2025-04-09,12.5334
2025-04-08,10.4290
2025-04-07,10.7700
2025-04-04,11.9667
2025-04-03,13.2963
2025-04-02,14.7737
2025-04-01,14.0803
2025-03-31,15.6448
2025-03-28,13.8108
2025-03-27,15.3454
2025-03-26,17.0504
2025-03-25,15.2650
2025-03-24,14.7231
2025-03-21,12.4693
2025-03-20,13.8547
2025-03-19,15.3941
2025-03-18,15.9318
2025-03-17,17.7020
2025-03-14,13.5571
2025-03-13,15.0635
2025-03-12,16.7372
2025-03-11,18.5969
2025-03-10,20.6632
2025-03-07,18.1279
2025-03-06,9.5329
2025-03-05,10.5921
2025-03-04,11.7690
2025-03-03,13.0767
2025-02-28,11.1079
2025-02-27,12.3421
2025-02-26,13.7134
2025-02-25,15.2371
2025-02-24,16.9301
2025-02-21,18.8113
2025-02-20,20.9014
2025-02-19,22.4383
2025-02-18,24.5064
2025-02-14,25.0505
2025-02-13,24.9717
2025-02-12,24.6475
2025-02-11,27.3861
2025-02-10,25.2643
2025-02-07,28.0714
2025-02-06,31.1905
2025-02-05,34.6561
2025-02-04,38.0044
2025-02-03,38.8176
2025-01-31,37.9735
2025-01-30,42.1928
2025-01-29,12.3257
2025-01-28,9.7405
2025-01-27,9.2516
2025-01-24,10.2796
2025-01-23,10.5983
2025-01-22,10.0230
2025-01-21,11.1367
2025-01-17,10.7762
2025-01-16,8.4731
2025-01-15,8.3416
2025-01-14,5.4729
2025-01-13,6.0810
2025-01-10,6.7567
2025-01-08,7.5075
2025-01-07,8.3416
2025-01-06,6.7450
2025-01-03,6.7569
2025-01-02,6.2571
2024-12-31,5.4125
2024-12-30,6.0139
2024-12-27,6.6821
2024-12-26,7.4246
2024-12-24,7.2284
2024-12-23,7.2784
2024-12-20,8.0871
2024-12-19,7.3988
2024-12-18,8.2209
2024-12-17,9.1344
2024-12-16,10.1493
2024-12-13,11.2770
2024-12-12,12.5300
2024-12-11,12.9709
2024-12-10,14.4122
2024-12-09,16.0135
2024-12-06,17.7928
2024-12-05,17.7817
2024-12-04,16.7861
2024-12-03,13.7026
2024-12-02,14.4448
2024-11-29,16.0498
2024-11-27,16.5826
2024-11-26,18.4251
2024-11-25,17.7362
2024-11-22,19.7068
2024-11-21,17.0119
2024-11-20,10.7042
2024-11-19,6.9449
2024-11-18,5.6698
2024-11-15,6.2997
2024-11-14,6.9997
2024-11-13,7.7775
2024-11-12,8.6416
2024-11-11,9.6018
2024-11-08,10.6687
2024-11-07,9.5422
2024-11-06,10.4011
2024-11-05,4.9662
2024-11-04,5.0779
2024-11-01,5.6422
2024-10-31,4.4557
2024-10-30,4.9508
2024-10-29,5.5009
2024-10-28,6.1121
2024-10-25,6.7912
2024-10-24,7.5458
2024-10-23,8.3842
2024-10-22,9.3158
2024-10-21,9.7677
2024-10-18,10.8530
2024-10-17,12.0589
2024-10-16,13.3987
2024-10-15,14.8875
2024-10-14,15.2161
2024-10-11,14.0648
2024-10-10,15.6276
2024-10-09,16.4308
2024-10-08,12.3127
2024-10-07,11.9046
2024-10-04,11.5413
2024-10-03,9.3772
2024-10-02,7.6302
2024-10-01,8.4780
2024-09-30,9.4200
2024-09-27,10.4667
2024-09-26,11.6296
2024-09-25,10.6419
2024-09-24,11.1244
2024-09-23,11.7560
2024-09-20,10.1249
2024-09-19,11.2499
2024-09-18,12.4999
2024-09-17,13.8887
2024-09-16,15.4319
2024-09-13,15.2272
2024-09-12,13.2712
2024-09-11,12.0629
2024-09-10,8.8540
2024-09-09,9.0106
2024-09-06,9.0044
2024-09-05,10.0049
2024-09-04,9.4305
2024-09-03,10.4783
2024-08-30,8.9385
2024-08-29,8.8182
2024-08-28,8.6103
2024-08-27,8.9307
2024-08-26,8.8043
2024-08-23,8.7592
2024-08-22,9.7325
2024-08-21,10.1882
2024-08-20,10.1325
2024-08-19,10.5320
2024-08-16,10.4562
2024-08-15,11.6180
2024-08-14,11.6788
2024-08-13,11.0889
2024-08-12,12.3210
2024-08-09,13.6900
2024-08-08,13.7075
2024-08-07,12.0662
2024-08-06,12.3872
2024-08-05,9.9317
2024-08-02,11.0352
2024-08-01,12.2613
2024-07-31,13.6237
2024-07-30,13.2663
2024-07-29,14.7404
2024-07-26,16.3782
2024-07-25,18.1980
2024-07-24,8.4578
2024-07-23,9.3976
2024-07-22,10.0107
2024-07-19,11.1231
2024-07-18,12.3589
2024-07-17,12.1237
2024-07-16,12.0621
2024-07-15,11.6152
2024-07-12,12.1279
2024-07-11,8.5135
2024-07-10,8.1769
2024-07-09,9.0854
2024-07-08,10.0949
2024-07-05,8.5884
2024-07-03,9.5427
2024-07-02,10.0826
2024-07-01,10.1253
2024-06-28,8.0966
2024-06-27,7.9870
2024-06-26,8.8744
2024-06-25,9.8605
2024-06-24,10.9561
2024-06-21,8.4941
2024-06-20,8.7231
2024-06-18,5.9814
2024-06-17,5.5631
2024-06-14,5.9185
2024-06-13,6.5761
2024-06-12,7.3067
2024-06-11,5.5220
2024-06-10,6.1355
2024-06-07,6.8173
2024-06-06,4.5629
2024-06-05,4.3865
2024-06-04,3.4127
2024-06-03,3.7919
2024-05-31,4.2132
2024-05-30,4.6813
2024-05-29,5.2015
2024-05-28,5.7794
2024-05-24,6.4216
2024-05-23,7.1351
2024-05-22,7.9279
2024-05-21,8.7877
2024-05-20,4.7076
2024-05-17,4.1268
2024-05-16,4.5854
2024-05-15,3.7492
2024-05-14,3.9345
2024-05-13,4.3717
2024-05-10,4.8574
2024-05-09,4.8505
2024-05-08,5.3894
2024-05-07,4.9787
2024-05-06,4.8866
2024-05-03,3.2855
2024-05-02,1.8499
2024-05-01,2.0555
2024-04-30,2.2839
2024-04-29,2.5376
2024-04-26,2.4553
2024-04-25,2.7281
2024-04-24,3.0312
2024-04-23,3.3680
2024-04-22,3.7423
2024-04-19,3.6221
2024-04-18,4.0245
2024-04-17,4.4717
2024-04-16,4.9685
2024-04-15,5.5206
2024-04-12,3.7296
2024-04-11,4.1440
2024-04-10,4.6045
2024-04-09,5.1161
2024-04-08,5.6845
2024-04-05,6.3161
2024-04-04,7.0179
2024-04-03,5.7889
2024-04-02,4.8189
2024-04-01,5.3543
2024-03-28,5.9493
2024-03-27,5.6008
2024-03-26,5.2239
2024-03-25,5.8044
2024-03-22,6.4493
2024-03-21,7.1659
2024-03-20,7.9621
2024-03-19,8.4305
2024-03-18,9.0029
2024-03-15,10.0032
2024-03-14,11.1147
2024-03-13,12.3497
2024-03-12,13.7219
2024-03-11,11.2914
2024-03-08,12.5460
2024-03-07,13.9401
2024-03-06,14.8645
2024-03-05,12.1551
2024-03-04,13.4619
2024-03-01,9.2145
2024-02-29,8.6454
2024-02-28,8.0662
2024-02-27,8.7126
2024-02-26,9.6807
2024-02-23,10.7563
2024-02-22,9.9687
2024-02-21,9.4943
2024-02-20,10.5492
2024-02-16,11.7214
2024-02-15,10.9734
2024-02-14,10.1318
2024-02-13,11.0182
2024-02-12,12.2424
2024-02-09,13.6027
2024-02-08,12.3768
2024-02-07,11.4912
2024-02-06,12.7680
2024-02-05,14.1867
2024-02-02,15.7630
2024-02-01,17.5144
2024-01-31,19.4604
2024-01-30,21.6227
2024-01-29,24.0252
2024-01-26,26.6947
2024-01-25,29.6608
2024-01-24,10.2218
