time,HT_DCPHASE
2025-11-07,177.4815
2025-11-06,166.1503
2025-11-05,151.2419
2025-11-04,138.2606
2025-11-03,127.7074
2025-10-31,121.3696
2025-10-30,144.8124
2025-10-29,203.8388
2025-10-28,224.7403
2025-10-27,220.5066
2025-10-24,217.1601
2025-10-23,213.5728
2025-10-22,208.6324
2025-10-21,206.8672
2025-10-20,206.4241
2025-10-17,205.3778
2025-10-16,203.4029
2025-10-15,199.3413
2025-10-14,194.4744
2025-10-13,190.1152
2025-10-10,186.1193
2025-10-09,183.0599
2025-10-08,181.1158
2025-10-07,179.7840
2025-10-06,178.2705
2025-10-03,175.8202
2025-10-02,174.1371
2025-10-01,171.8206
2025-09-30,169.3990
2025-09-29,167.8988
2025-09-26,167.8579
2025-09-25,168.7978
2025-09-24,168.5913
2025-09-23,167.3486
2025-09-22,165.3508
2025-09-19,155.6063
2025-09-18,143.2634
2025-09-17,134.8236
2025-09-16,125.0291
2025-09-15,113.5903
2025-09-12,102.0937
2025-09-11,103.5889
2025-09-10,98.2609
2025-09-09,86.0529
2025-09-08,74.4960
2025-09-05,64.6079
2025-09-04,56.9093
2025-09-03,51.0326
2025-09-02,45.1470
2025-08-29,37.6089
2025-08-28,29.7851
2025-08-27,22.9133
2025-08-26,18.9692
2025-08-25,17.0354
2025-08-22,16.8668
2025-08-21,16.9423
2025-08-20,15.0318
2025-08-19,12.8743
2025-08-18,11.0224
2025-08-15,9.4546
2025-08-14,8.0585
2025-08-13,5.0580
2025-08-12,2.4423
2025-08-11,0.1840
2025-08-08,-3.9469
2025-08-07,-8.0445
2025-08-06,-13.6389
2025-08-05,-18.4684
2025-08-04,-22.6984
2025-08-01,-29.3286
2025-07-31,-42.6957
2025-07-30,305.5229
2025-07-29,296.9539
2025-07-28,292.8888
2025-07-25,276.5578
2025-07-24,259.8629
2025-07-23,249.9393
2025-07-22,242.5643
2025-07-21,243.0548
2025-07-18,242.9614
2025-07-17,238.4402
2025-07-16,227.9185
2025-07-15,218.9149
2025-07-14,212.9597
2025-07-11,207.4075
2025-07-10,199.9713
2025-07-09,195.4620
2025-07-08,193.4803
2025-07-07,191.7018
2025-07-03,189.9770
2025-07-02,190.2303
2025-07-01,188.6471
2025-06-30,189.8789
2025-06-27,189.4400
2025-06-26,188.7247
2025-06-25,186.2574
2025-06-24,186.0827
2025-06-23,182.7979
2025-06-20,176.5145
2025-06-18,167.2313
2025-06-17,156.3979
2025-06-16,140.8007
2025-06-13,131.9945
2025-06-12,138.5776
2025-06-11,200.8756
2025-06-10,221.6725
2025-06-09,224.2021
2025-06-06,218.9740
2025-06-05,212.5165
2025-06-04,206.8911
2025-06-03,201.8065
2025-06-02,199.8542
2025-05-30,197.5203
2025-05-29,194.3258
2025-05-28,190.8799
2025-05-27,190.8887
2025-05-23,192.2130
2025-05-22,191.2136
2025-05-21,188.3593
2025-05-20,187.5310
2025-05-19,188.6873
2025-05-16,191.1358
2025-05-15,192.2065
2025-05-14,188.8145
2025-05-13,177.9441
2025-05-12,167.8181
2025-05-09,156.5141
2025-05-08,138.9947
2025-05-07,126.4556
2025-05-06,113.0909
2025-05-05,91.9019
2025-05-02,280.9527
2025-05-01,253.2815
2025-04-30,238.3869
2025-04-29,216.7844
2025-04-28,149.8396
2025-04-25,119.9643
2025-04-24,85.6309
2025-04-23,69.5534
2025-04-22,53.5403
2025-04-21,38.8571
2025-04-17,18.2809
2025-04-16,5.0575
2025-04-15,-4.2719
2025-04-14,-13.5604
2025-04-11,-24.3644
2025-04-10,-34.0377
2025-04-09,-43.8082
2025-04-08,308.6714
2025-04-07,-43.3170
2025-04-04,29.1772
2025-04-03,63.0457
2025-04-02,60.9863
2025-04-01,50.8694
2025-03-31,35.3183
2025-03-28,24.8466
2025-03-27,15.9232
2025-03-26,2.8914
2025-03-25,-8.2144
2025-03-24,-11.9189
2025-03-21,10.1879
2025-03-20,28.8813
2025-03-19,37.0154
2025-03-18,36.9414
2025-03-17,34.7336
2025-03-14,28.1314
2025-03-13,20.9058
2025-03-12,10.0075
2025-03-11,-7.3555
2025-03-10,-28.1593
2025-03-07,309.6568
2025-03-06,290.5014
2025-03-05,271.7431
2025-03-04,240.8721
2025-03-03,220.8190
2025-02-28,210.0315
2025-02-27,211.5870
2025-02-26,228.7876
2025-02-25,226.7432
2025-02-24,219.4858
2025-02-21,214.5371
2025-02-20,205.3689
2025-02-19,200.5120
2025-02-18,192.7550
2025-02-14,183.7563
2025-02-13,173.7879
2025-02-12,164.5598
2025-02-11,155.9600
2025-02-10,148.8567
2025-02-07,137.2981
2025-02-06,128.8122
2025-02-05,120.3845
2025-02-04,110.3920
2025-02-03,101.7907
2025-01-31,83.0696
2025-01-30,66.6979
2025-01-29,54.3474
2025-01-28,46.0510
2025-01-27,42.6226
2025-01-24,28.7393
2025-01-23,24.8749
2025-01-22,21.2877
2025-01-21,17.8559
2025-01-17,9.1493
2025-01-16,6.1004
2025-01-15,9.8131
2025-01-14,9.3474
2025-01-13,2.9608
2025-01-10,-4.9099
2025-01-08,-14.7144
2025-01-07,-36.0424
2025-01-06,309.1559
2025-01-03,294.2958
2025-01-02,273.2647
2024-12-31,262.2896
2024-12-30,258.1916
2024-12-27,260.5535
