time,PHASE,QUADRATURE
2025-11-07,-1.8127,-19.2572
2025-11-06,4.7103,-31.8284
2025-11-05,15.6449,-37.3220
2025-11-04,28.1642,-29.9688
2025-11-03,35.8347,4.5968
2025-10-31,23.6571,34.3167
2025-10-30,12.6990,22.8195
2025-10-29,11.3125,17.0921
2025-10-28,7.4363,9.9246
2025-10-27,9.5648,15.8213
2025-10-24,1.6790,29.3059
2025-10-23,-1.9774,25.6335
2025-10-22,-7.2279,33.9061
2025-10-21,-14.8019,22.4962
2025-10-20,-17.9107,-7.0809
2025-10-17,-11.8670,-29.6076
2025-10-16,-2.8827,-31.0246
2025-10-15,3.5181,-22.8419
2025-10-14,7.1086,-9.8824
2025-10-13,6.6592,-2.4332
2025-10-10,6.9059,-1.2887
2025-10-09,6.7544,-2.7450
2025-10-08,7.8651,-4.9245
2025-10-07,8.1436,-7.7373
2025-10-06,12.6514,-15.9499
2025-10-03,19.1797,-0.3863
2025-10-02,11.7185,14.2745
2025-10-01,8.5755,-5.3880
2025-09-30,15.0670,-6.3483
2025-09-29,13.9205,4.8903
2025-09-26,13.2405,7.6283
2025-09-25,10.3394,18.1835
2025-09-24,4.8898,16.6663
2025-09-23,2.1556,12.2908
2025-09-22,-2.0441,2.4600
2025-09-19,0.1991,-18.8247
2025-09-18,7.1672,-25.4631
2025-09-17,12.7710,-18.7575
2025-09-16,17.0034,-1.7230
2025-09-15,13.1430,19.2732
2025-09-12,7.7527,19.3043
2025-09-11,3.9446,16.9152
2025-09-10,-0.5476,9.1431
2025-09-09,-0.5218,-4.8911
2025-09-08,3.0458,-8.0709
2025-09-05,5.2838,-3.0005
2025-09-04,4.8707,6.4074
2025-09-03,0.7763,6.9272
2025-09-02,0.5137,0.2646
2025-08-29,0.7111,-1.9021
2025-08-28,1.9317,-7.8590
2025-08-27,4.6828,-2.1791
2025-08-26,3.1347,3.3672
2025-08-25,3.4528,8.0670
2025-08-22,0.3688,15.6154
2025-08-21,-2.7187,17.6350
2025-08-20,-8.0578,20.3335
2025-08-19,-13.9437,7.0736
2025-08-18,-12.2403,-9.8130
2025-08-15,-7.0911,-13.9759
2025-08-14,-2.4303,-5.6868
2025-08-13,-3.4031,5.4976
2025-08-12,-6.5167,9.8133
2025-08-11,-10.6170,9.5060
2025-08-08,-12.8581,0.3368
2025-08-07,-9.0242,-2.3607
2025-08-06,-8.2160,13.0475
2025-08-05,-14.4965,24.1034
2025-08-04,-24.0018,25.3925
2025-08-01,-32.0598,-5.6179
2025-07-31,-21.3129,-46.8108
2025-07-30,-6.6753,-39.6701
2025-07-29,-2.7620,-24.1880
2025-07-28,3.4562,-10.7244
2025-07-25,1.1528,10.9030
2025-07-24,-2.9378,13.0277
2025-07-23,-5.0746,10.7268
2025-07-22,-6.5273,7.8021
2025-07-21,-8.5630,2.9973
2025-07-18,-8.5807,-7.7674
2025-07-17,-4.2563,-12.1481
2025-07-16,-1.5580,-7.6772
2025-07-15,-0.3116,-5.6371
2025-07-14,1.0971,1.2219
2025-07-11,-2.0605,6.5835
2025-07-10,-3.3863,-7.1474
2025-07-09,1.6586,-9.3831
2025-07-08,1.2155,-4.4455
2025-07-07,2.4657,-12.1488
2025-07-03,6.2381,-11.4631
2025-07-02,9.0705,-6.7956
2025-07-01,10.4558,5.2905
2025-06-30,5.1954,10.8511
2025-06-27,2.8362,3.6838
2025-06-26,3.3915,0.3594
2025-06-25,3.4807,-0.3799
2025-06-24,2.8479,-3.3319
2025-06-23,4.8744,-9.8654
2025-06-20,10.3406,-8.3713
2025-06-18,11.5418,-0.0478
2025-06-17,9.7816,4.0559
2025-06-16,7.6841,4.5259
2025-06-13,6.4550,2.3147
2025-06-12,6.5699,0.7252
2025-06-11,7.0488,1.5993
2025-06-10,6.7779,7.6767
2025-06-09,2.7638,12.7827
2025-06-06,-0.8731,8.7729
2025-06-05,-1.1400,3.0659
2025-06-04,-0.1050,7.6948
2025-06-03,-3.7126,16.0734
2025-06-02,-9.1338,6.2356
2025-05-30,-8.6487,-12.1320
2025-05-29,-2.5580,-25.0946
2025-05-28,5.0587,-21.3121
2025-05-27,8.1532,-12.2857
2025-05-23,11.0867,-3.2369
2025-05-22,9.1745,6.1573
2025-05-21,6.5108,4.7543
2025-05-20,5.8717,4.8997
2025-05-19,2.7416,2.9954
2025-05-16,3.3024,-3.7324
2025-05-15,6.4714,-3.6338
2025-05-14,6.7914,-0.9667
2025-05-13,7.0476,-1.2734
2025-05-12,7.7552,1.7461
2025-05-09,5.4390,3.1158
2025-05-08,5.5547,1.7353
2025-05-07,5.2747,7.1529
2025-05-06,0.7964,9.1305
2025-05-05,-2.5858,8.3054
2025-05-02,-7.1277,0.9250
2025-05-01,-2.5411,-10.4289
2025-04-30,3.2213,-2.9809
2025-04-29,-0.4828,1.3051
2025-04-28,-0.1139,-5.1595
2025-04-25,2.4480,-7.3038
2025-04-24,5.3401,-8.3873
2025-04-23,8.9994,-6.5835
2025-04-22,10.7105,5.5438
2025-04-21,5.5773,13.2276
2025-04-17,2.8388,20.1554
2025-04-16,-6.4551,30.1799
2025-04-15,-16.9513,17.4812
2025-04-14,-19.9155,-1.4138
2025-04-11,-15.3147,-17.8722
2025-04-10,-3.6612,-19.6233
2025-04-09,0.8192,-8.7922
2025-04-08,1.4394,-0.7309
2025-04-07,-1.2716,3.3439
2025-04-04,-2.5098,-2.8336
2025-04-03,1.0772,-5.2125
2025-04-02,2.6756,0.1537
2025-04-01,1.6348,4.0874
2025-03-31,-1.2927,7.8002
2025-03-28,-5.4730,0.7369
2025-03-27,-1.5936,-5.7415
2025-03-26,0.1264,-1.2291
2025-03-25,0.3222,-0.3345
2025-03-24,0.6192,7.4817
2025-03-21,-5.8948,8.3573
2025-03-20,-6.5835,-2.1412
2025-03-19,-4.9609,-6.0816
2025-03-18,-1.6726,-13.2413
2025-03-17,6.1805,-7.1851
2025-03-14,3.7363,8.2440
2025-03-13,-1.3997,5.5244
2025-03-12,-0.4669,4.6994
2025-03-11,-3.3913,8.2206
2025-03-10,-5.8385,4.9367
2025-03-07,-6.7923,2.5120
2025-03-06,-7.3584,-0.0922
2025-03-05,-6.9182,-4.4723
2025-03-04,-4.5367,-7.6481
2025-03-03,-2.1519,-8.7586
2025-02-28,0.7340,-11.0297
2025-02-27,4.8079,-9.8406
2025-02-26,6.8645,-6.2243
2025-02-25,8.5382,-3.2043
2025-02-24,9.1087,3.8763
2025-02-21,6.9095,11.0815
2025-02-20,3.1871,18.1132
2025-02-19,-4.2700,19.5823
2025-02-18,-10.2660,4.4572
2025-02-14,-9.0086,-17.7488
2025-02-13,-1.1472,-42.4277
2025-02-12,14.6112,-57.9554
2025-02-11,29.4966,-41.9099
2025-02-10,37.7924,-23.8596
2025-02-07,43.8777,10.2790
2025-02-06,32.6945,63.0466
2025-02-05,10.1469,57.4335
2025-02-04,5.3784,26.3036
2025-02-03,0.6806,13.0211
2025-01-31,2.4750,-3.9009
2025-01-30,3.2166,-4.4967
2025-01-29,4.4793,-9.7963
2025-01-28,7.8612,-3.8124
2025-01-27,7.4308,10.7989
2025-01-24,3.6635,22.5843
2025-01-23,-2.2544,21.5606
2025-01-22,-6.3295,8.1163
2025-01-21,-6.0139,-7.4662
2025-01-17,-2.1003,-16.3237
2025-01-16,2.0467,-10.6786
2025-01-15,3.0800,-1.6346
2025-01-14,2.6968,5.7226
2025-01-13,-0.2215,11.2509
2025-01-10,-3.7640,7.9588
2025-01-08,-4.7767,-0.2856
2025-01-07,-3.4298,-7.0181
2025-01-06,-0.2693,-8.0928
2025-01-03,1.7701,0.5382
2025-01-02,-0.5823,11.5952
2024-12-31,-3.8493,10.3874
2024-12-30,-4.8843,12.0419
2024-12-27,-10.1828,7.1175
2024-12-26,-9.1594,-9.9652
2024-12-24,-3.7294,-9.8922
2024-12-23,-2.6942,-5.8448
2024-12-20,-1.0469,-1.4311
2024-12-19,-2.8446,1.6055
2024-12-18,-3.1021,-2.2497
2024-12-17,-2.7105,-8.2057
2024-12-16,2.0279,-13.1777
2024-12-13,6.4128,-6.0001
2024-12-12,6.0484,1.1179
2024-12-11,4.6986,4.6613
2024-12-10,1.8521,3.0482
2024-12-09,1.9797,-2.1591
2024-12-06,3.0402,-6.4158
2024-12-05,6.4838,-11.1238
2024-12-04,10.5537,-8.4677
2024-12-03,11.8128,-4.6944
2024-12-02,13.9471,0.4974
2024-11-29,12.2144,12.1498
2024-11-27,6.0198,15.9057
2024-11-26,1.5818,14.4779
2024-11-25,-3.3644,10.5754
2024-11-22,-4.9063,0.0289
2024-11-21,-2.4870,-4.7966
2024-11-20,-1.4327,-5.8993
2024-11-19,0.6167,-9.5129
2024-11-18,3.7949,-8.5655
2024-11-15,5.7582,-5.2766
2024-11-14,7.4462,0.9307
2024-11-13,5.4789,11.3802
2024-11-12,0.4978,13.7395
2024-11-11,-1.8780,12.3347
2024-11-08,-4.8834,17.3998
2024-11-07,-10.3922,17.7184
2024-11-06,-13.4691,12.4157
2024-11-05,-15.4185,7.3004
2024-11-04,-17.4370,1.8328
2024-11-01,-18.0377,-11.7999
2024-10-31,-10.2440,-22.5473
2024-10-30,-2.5728,-13.3496
2024-10-29,-2.3294,-4.7575
2024-10-28,-1.7657,-2.7770
2024-10-25,-1.8493,-2.4910
2024-10-24,-0.6823,-3.8244
2024-10-23,-0.3877,-6.1234
2024-10-22,2.1875,-12.6771
2024-10-21,5.9077,-11.4279
2024-10-18,7.2410,-12.7946
2024-10-17,11.8469,-12.0999
2024-10-16,12.9416,2.3134
2024-10-15,10.5455,7.8912
2024-10-14,9.6384,12.0647
2024-10-11,6.1886,19.7042
2024-10-10,1.4576,18.1196
2024-10-09,-1.8970,7.2521
2024-10-08,-1.5308,-1.6788
2024-10-07,-0.5664,-6.4152
2024-10-04,2.0870,-9.6423
2024-10-03,4.5793,-6.0135
2024-10-02,5.0752,-2.7295
2024-10-01,6.0822,0.0872
2024-09-30,5.2302,6.3871
2024-09-27,1.7605,5.5179
2024-09-26,0.7873,-1.4157
2024-09-25,2.0950,-8.1029
2024-09-24,5.9861,-14.1972
2024-09-23,10.8105,-8.7272
2024-09-20,11.6120,-2.1935
2024-09-19,12.1018,5.6057
2024-09-18,8.4349,14.2452
2024-09-17,4.2273,13.6364
2024-09-16,1.0958,8.7627
2024-09-13,0.3606,-2.2986
2024-09-12,3.3342,-4.7480
2024-09-11,3.4886,-0.3134
2024-09-10,3.4293,0.2368
2024-09-09,3.0545,2.4886
2024-09-06,1.7781,1.8346
2024-09-05,1.9544,0.4189
2024-09-04,1.8579,1.0745
2024-09-03,1.2158,0.9723
2024-08-30,0.8320,-0.6995
2024-08-29,1.7824,-1.8814
2024-08-28,2.5396,-1.0842
2024-08-27,2.5585,-0.4240
2024-08-26,2.6383,-0.6257
2024-08-23,3.0457,-0.2386
2024-08-22,2.8111,0.0357
2024-08-21,2.6608,-0.8752
2024-08-20,2.9336,-2.2201
2024-08-19,4.6589,-3.6097
2024-08-16,6.7872,3.3643
2024-08-15,3.1149,11.3896
2024-08-14,-1.0619,12.2713
2024-08-13,-5.4163,8.3696
2024-08-12,-6.3500,-2.2939
2024-08-09,-3.3790,-7.7854
2024-08-08,-1.3017,-9.7356
2024-08-07,1.6420,-11.5729
2024-08-06,4.1536,-9.6336
2024-08-05,6.5818,-6.4963
2024-08-02,8.3906,2.9193
2024-08-01,4.9305,12.8447
2024-07-31,0.2275,9.3695
2024-07-30,-0.7289,3.1968
2024-07-29,-1.4386,-1.0106
2024-07-26,-0.2478,-7.5342
2024-07-25,3.6710,-10.5007
2024-07-24,6.9904,-4.2671
2024-07-23,6.3009,0.3645
2024-07-22,6.2165,2.4598
2024-07-19,4.7502,6.2036
2024-07-18,2.6100,4.9957
2024-07-17,1.5371,2.5808
2024-07-16,1.2494,-0.1454
2024-07-15,1.8695,-1.1338
2024-07-12,1.9020,-2.2207
2024-07-11,3.4247,-1.8785
2024-07-10,3.6352,2.6464
2024-07-09,1.7826,5.1457
2024-07-08,-0.4594,3.6832
2024-07-05,-1.3407,0.4581
2024-07-03,-0.7154,-3.2421
2024-07-02,1.5293,-4.0512
2024-07-01,2.5413,-1.9943
2024-06-28,3.0224,-0.5785
2024-06-27,2.9233,2.2451
2024-06-26,1.1211,3.0739
2024-06-25,0.3553,1.8735
2024-06-24,-0.2791,0.8647
2024-06-21,-0.2968,-0.9434
2024-06-20,0.2812,-2.5909
2024-06-18,1.7232,-3.5881
2024-06-17,3.2574,-1.6541
2024-06-14,3.0856,1.5652
2024-06-13,2.1223,3.3791
2024-06-12,0.7540,5.5393
2024-06-11,-1.5376,5.5909
2024-06-10,-2.5666,4.1556
2024-06-07,-3.8343,4.0114
2024-06-06,-5.2385,0.6669
2024-06-05,-4.4521,-4.3693
2024-06-04,-2.5017,-6.1476
2024-06-03,-0.9930,-7.1212
2024-05-31,1.5854,-8.3007
2024-05-30,4.3836,-3.6320
2024-05-29,3.6994,2.1309
2024-05-28,2.2345,2.3143
2024-05-24,1.9428,1.3907
2024-05-23,1.7533,1.7819
2024-05-22,0.9997,1.8637
2024-05-21,0.5487,0.2259
2024-05-20,0.7338,-0.4574
2024-05-17,0.4956,-3.0840
2024-05-16,2.4698,-5.5345
2024-05-15,4.1812,-2.2151
2024-05-14,4.4248,3.2800
2024-05-13,2.7167,11.2388
2024-05-10,-1.4208,15.5168
2024-05-09,-4.6054,16.3094
2024-05-08,-8.2643,17.9509
2024-05-07,-11.7917,11.2481
2024-05-06,-14.1107,6.4253
2024-05-03,-16.2085,-10.8531
2024-05-02,-8.3559,-25.1108
2024-05-01,-0.8144,-12.4871
2024-04-30,-1.3647,-3.3602
2024-04-29,-0.7639,-1.6040
2024-04-26,-1.3456,1.4072
2024-04-25,-1.3975,0.9004
2024-04-24,-1.2033,3.8553
2024-04-23,-3.3624,8.1679
2024-04-22,-6.2307,3.2231
2024-04-19,-5.4136,-2.8746
2024-04-18,-4.1973,-4.1432
2024-04-17,-2.5947,-5.7842
2024-04-16,-0.4374,-4.1161
2024-04-15,-0.1896,0.6153
2024-04-12,-1.5453,0.5742
2024-04-11,-0.9453,-1.9492
2024-04-10,-0.3213,-0.6824
2024-04-09,-0.5865,-1.2401
2024-04-08,0.5340,-0.8968
2024-04-05,0.5026,3.3790
2024-04-04,-1.4562,5.7356
2024-04-03,-3.6189,2.2667
2024-04-02,-3.1331,-2.2690
2024-04-01,-1.7082,-3.5332
2024-03-28,-0.1356,-2.3235
2024-03-27,0.1872,2.1940
2024-03-26,-1.9649,4.3619
2024-03-25,-3.5652,0.8435
2024-03-22,-2.9388,-3.0046
2024-03-21,-1.0096,-5.6820
2024-03-20,1.4182,-2.5188
2024-03-19,-0.0243,-0.1322
2024-03-18,0.0968,-5.1579
2024-03-15,3.3236,-7.4203
2024-03-14,5.6834,-4.4867
2024-03-13,6.2073,-1.3917
2024-03-12,6.5299,0.4201
2024-03-11,6.1470,4.7251
2024-03-08,2.7329,6.0957
2024-03-07,1.2753,2.3287
2024-03-06,1.5088,0.9447
2024-03-05,1.3761,1.4459
2024-03-04,1.2123,1.9728
2024-03-01,0.5418,5.2163
2024-02-29,-2.9601,4.9944
2024-02-28,-3.7676,-3.2146
2024-02-27,-0.1292,-6.4475
2024-02-26,1.7260,-1.5383
2024-02-23,0.3796,1.3414
2024-02-22,-0.6428,-2.2214
2024-02-21,1.4794,-5.7290
2024-02-20,3.9815,-2.6498
2024-02-16,3.8206,4.8449
2024-02-15,0.7759,8.6731
2024-02-14,-1.5696,6.3378
2024-02-13,-2.7591,3.7006
2024-02-12,-2.9758,-3.1520
2024-02-09,-0.7136,-3.3656
2024-02-08,-2.1830,-4.8702
2024-02-07,0.4481,-18.8964
2024-02-06,6.7645,-17.2073
2024-02-05,9.3668,-12.9194
2024-02-02,14.2338,-3.6737
2024-02-01,11.0832,10.7999
2024-01-31,5.8970,6.5559
2024-01-30,6.3487,2.3837
2024-01-29,5.5648,3.2525
2024-01-26,4.3959,2.5523
2024-01-25,3.2257,0.3203
2024-01-24,4.4543,-1.8992
2024-01-23,5.5035,0.9383
2024-01-22,4.2041,4.1269
2024-01-19,2.3937,5.1289
2024-01-18,0.8225,4.3613
2024-01-17,0.2141,4.3167
2024-01-16,-1.3261,5.3393
2024-01-12,-2.8022,2.9907
2024-01-11,-3.1800,0.8420
2024-01-10,-3.5855,-3.6924
2024-01-09,-1.2512,-8.6166
2024-01-08,1.2391,-7.5407
2024-01-05,2.7925,-4.6390
2024-01-04,3.6246,0.6901
2024-01-03,2.6075,7.6123
2024-01-02,0.0375,11.2384
2023-12-29,-2.6740,9.0954
2023-12-28,-3.6657,0.8419
2023-12-27,-2.3992,-2.7521
2023-12-26,-2.3505,-3.8313
2023-12-22,-1.5600,-9.9837
2023-12-21,0.9002,-12.9892
2023-12-20,3.7961,-10.2335
2023-12-19,5.1265,-0.9871
2023-12-18,3.9097,6.6660
2023-12-15,1.5105,5.9334
2023-12-14,0.5550,-3.0646
2023-12-13,2.8700,-10.6659
2023-12-12,5.3413,-7.6629
2023-12-11,6.3404,-1.9430
2023-12-08,5.9757,5.1303
2023-12-07,3.9100,7.8942
2023-12-06,2.3053,4.1770
2023-12-05,2.0878,1.0387
2023-12-04,2.2443,-1.3932
2023-12-01,3.0269,-1.2882
2023-11-30,2.7072,-0.9150
2023-11-29,3.1469,-3.4354
2023-11-28,3.9688,-3.0911
2023-11-27,4.3484,-2.5464
2023-11-24,5.2479,-0.5157
2023-11-22,4.7994,4.8396
2023-11-21,2.8181,5.2355
2023-11-20,2.1285,3.0098
2023-11-17,1.4257,2.9068
2023-11-16,0.3669,0.1841
2023-11-15,1.1978,-2.9306
2023-11-14,2.4656,-2.8806
2023-11-13,3.3229,-2.0502
2023-11-10,3.7858,-0.3474
2023-11-09,3.2488,0.4690
2023-11-08,3.1890,-0.6343
2023-11-07,3.5163,-0.2439
2023-11-06,3.5136,-1.1132
2023-11-03,5.0430,1.1671
2023-11-02,3.1098,6.0562
2023-11-01,0.2137,5.2176
2023-10-31,-1.0108,3.6973
2023-10-30,-2.3297,1.6139
2023-10-27,-1.9412,-0.9461
2023-10-26,-1.1172,-0.9823
2023-10-25,-0.6930,0.5370
2023-10-24,-1.5794,2.1377
2023-10-23,-2.9298,0.7354
2023-10-20,-2.5383,-3.2975
2023-10-19,-0.2663,-4.2164
2023-10-18,0.6483,-2.1096
2023-10-17,0.8641,-1.4283
2023-10-16,1.3313,-0.2754
2023-10-13,1.1767,1.2723
2023-10-12,0.6890,3.1608
2023-10-11,-0.7314,4.6159
2023-10-10,-1.9808,4.8298
2023-10-09,-3.4832,5.1346
2023-10-06,-4.8012,1.9043
2023-10-05,-4.3232,-0.5242
2023-10-04,-4.5910,-2.0078
2023-10-03,-3.4969,-6.3901
2023-10-02,-1.0724,-5.8773
2023-09-29,-0.0107,-4.9217
2023-09-28,2.1655,-2.9932
2023-09-27,2.0146,3.2536
2023-09-26,-0.4154,4.3872
2023-09-25,-1.2074,1.3734
2023-09-22,-0.8564,-0.0674
2023-09-21,-0.7108,0.5956
2023-09-20,-1.3896,-0.2891
2023-09-19,-0.6544,-2.0069
2023-09-18,-0.0023,-0.9339
2023-09-15,-0.1835,-1.0893
2023-09-14,0.4105,-1.8764
2023-09-13,1.0210,-1.6955
2023-09-12,1.5406,-1.1754
2023-09-11,1.5489,-0.9215
2023-09-08,1.8313,-1.9547
2023-09-07,2.6721,-2.2964
2023-09-06,3.3777,-2.1654
2023-09-05,4.1055,-0.2599
2023-09-01,3.4955,1.5954
2023-08-31,3.1644,2.3220
2023-08-30,2.3021,3.9916
2023-08-29,1.3963,3.7703
2023-08-28,0.9439,5.7738
2023-08-25,-1.0683,7.4880
2023-08-24,-2.5233,3.8625
2023-08-23,-2.5786,-0.3187
2023-08-22,-2.0718,-1.4657
2023-08-21,-1.8650,-3.1601
2023-08-18,-0.7545,-3.5476
2023-08-17,-0.7627,-2.7855
2023-08-16,0.2375,-5.8947
2023-08-15,2.1194,-2.9145
2023-08-14,1.5871,1.5518
2023-08-11,0.9003,0.1895
2023-08-10,1.1891,-0.4177
2023-08-09,1.0437,-1.4769
2023-08-08,1.9245,-3.1002
2023-08-07,2.9058,-2.2124
2023-08-04,3.3128,-0.7148
2023-08-03,3.1085,0.3120
2023-08-02,2.8096,-0.3187
2023-08-01,3.1880,-0.7015
2023-07-31,3.4267,-0.7568
