time,LEAD SINE,SINE
2025-11-07,-0.6754,0.0439
2025-11-06,-0.5173,0.2394
2025-11-05,-0.2797,0.4811
2025-11-04,-0.0569,0.6657
2025-11-03,0.1269,0.7911
2025-10-31,0.2357,0.8538
2025-10-30,-0.1704,0.5763
2025-10-29,-0.9326,-0.4042
2025-10-28,-1.0000,-0.7039
2025-10-27,-0.9969,-0.6495
2025-10-24,-0.9907,-0.6040
2025-10-23,-0.9802,-0.5530
2025-10-22,-0.9595,-0.4792
2025-10-21,-0.9503,-0.4519
2025-10-20,-0.9479,-0.4450
2025-10-17,-0.9419,-0.4286
2025-10-16,-0.9298,-0.3972
2025-10-15,-0.9014,-0.3312
2025-10-14,-0.8614,-0.2499
2025-10-13,-0.8203,-0.1756
2025-10-10,-0.7785,-0.1066
2025-10-09,-0.7438,-0.0534
2025-10-08,-0.7207,-0.0195
2025-10-07,-0.7044,0.0038
2025-10-06,-0.6854,0.0302
2025-10-03,-0.6537,0.0729
2025-10-02,-0.6312,0.1021
2025-10-01,-0.5993,0.1423
2025-09-30,-0.5650,0.1840
2025-09-29,-0.5432,0.2096
2025-09-26,-0.5426,0.2103
2025-09-25,-0.5563,0.1943
2025-09-24,-0.5533,0.1978
2025-09-23,-0.5351,0.2190
2025-09-22,-0.5053,0.2529
2025-09-19,-0.3519,0.4130
2025-09-18,-0.1437,0.5981
2025-09-17,0.0031,0.7093
2025-09-16,0.1731,0.8189
2025-09-15,0.3650,0.9164
2025-09-12,0.5433,0.9778
2025-09-11,0.5212,0.9720
2025-09-10,0.5982,0.9896
2025-09-09,0.7541,0.9976
2025-09-08,0.8704,0.9636
2025-09-05,0.9420,0.9034
2025-09-04,0.9785,0.8378
2025-09-03,0.9945,0.7775
2025-09-02,1.0000,0.7089
2025-08-29,0.9917,0.6103
2025-08-28,0.9649,0.4967
2025-08-27,0.9266,0.3893
2025-08-26,0.8986,0.3251
2025-08-25,0.8832,0.2930
2025-08-22,0.8819,0.2901
2025-08-21,0.8825,0.2914
2025-08-20,0.8663,0.2594
2025-08-19,0.8469,0.2228
2025-08-18,0.8293,0.1912
2025-08-15,0.8137,0.1643
2025-08-14,0.7992,0.1402
2025-08-13,0.7667,0.0882
2025-08-12,0.7366,0.0426
2025-08-11,0.7094,0.0032
2025-08-08,0.6568,-0.0688
2025-08-07,0.6012,-0.1399
2025-08-06,0.5204,-0.2358
2025-08-05,0.4467,-0.3168
