time,HT_TRENDLINE
2025-11-07,293.7769
2025-11-06,292.8721
2025-11-05,291.7325
2025-11-04,290.4778
2025-11-03,288.9398
2025-10-31,286.9585
2025-10-30,284.2916
2025-10-29,281.5813
2025-10-28,278.6380
2025-10-27,276.0278
2025-10-24,273.9866
2025-10-23,272.3861
2025-10-22,271.6251
2025-10-21,271.7687
2025-10-20,272.2361
2025-10-17,272.4576
2025-10-16,272.3918
2025-10-15,271.9467
2025-10-14,271.2663
2025-10-13,270.8157
2025-10-10,270.0294
2025-10-09,268.7560
2025-10-08,267.2954
2025-10-07,265.2522
2025-10-06,263.0404
2025-10-03,260.6876
2025-10-02,258.4182
2025-10-01,256.3807
2025-09-30,254.6143
2025-09-29,253.0897
2025-09-26,251.8407
2025-09-25,250.6712
2025-09-24,249.4590
2025-09-23,248.4316
2025-09-22,247.5371
2025-09-19,246.9042
2025-09-18,246.5014
2025-09-17,246.1849
2025-09-16,245.9406
2025-09-15,245.7117
2025-09-12,245.4649
2025-09-11,245.0940
2025-09-10,244.9777
2025-09-09,245.0841
2025-09-08,245.3780
2025-09-05,246.0867
2025-09-04,247.3675
2025-09-03,249.3304
2025-09-02,251.5256
2025-08-29,253.5320
2025-08-28,255.1742
2025-08-27,256.3379
2025-08-26,256.8406
2025-08-25,256.9002
2025-08-22,256.8346
2025-08-21,257.0483
2025-08-20,257.6540
2025-08-19,258.2880
2025-08-18,259.1106
2025-08-15,260.2121
2025-08-14,261.6903
2025-08-13,263.7517
2025-08-12,265.9805
2025-08-11,268.3876
2025-08-08,270.8286
2025-08-07,272.8532
2025-08-06,274.9152
2025-08-05,276.8216
2025-08-04,278.4475
2025-08-01,279.7195
2025-07-31,280.5984
2025-07-30,281.2570
2025-07-29,281.7720
2025-07-28,282.1389
2025-07-25,282.2325
2025-07-24,282.2191
2025-07-23,282.3357
2025-07-22,282.4478
2025-07-21,282.7611
2025-07-18,282.6323
2025-07-17,281.9438
2025-07-16,280.8648
2025-07-15,279.8463
2025-07-14,278.9281
2025-07-11,277.9782
2025-07-10,277.0577
2025-07-09,276.4418
