time,MACD,MACD_Hist,MACD_Signal
2025-11-07,9.5637,4.7360,4.8276
2025-11-06,8.1750,4.4402,3.7348
2025-11-05,7.2428,4.4347,2.8081
2025-11-04,6.3538,4.1660,2.1878
2025-11-03,4.9047,2.9234,1.9813
2025-10-31,3.7212,1.6140,2.1072
2025-10-30,2.4221,-0.1064,2.5285
2025-10-29,1.1367,-2.1033,3.2400
2025-10-28,-0.0713,-4.2827,4.2113
2025-10-27,-0.2721,-5.6785,5.4065
2025-10-24,-0.1646,-6.9542,6.7896
2025-10-23,1.6593,-6.6625,8.3218
2025-10-22,4.4960,-5.2268,9.7229
2025-10-21,6.0373,-4.8061,10.8434
2025-10-20,7.5130,-4.3340,11.8470
2025-10-17,8.8260,-3.8333,12.6592
2025-10-16,9.8785,-3.3890,13.2675
2025-10-15,10.6847,-2.9832,13.6679
2025-10-14,12.1758,-1.7157,13.8916
2025-10-13,13.6259,-0.2416,13.8675
2025-10-10,14.2685,0.6678,13.6007
2025-10-09,14.5810,1.3685,13.2125
2025-10-08,15.0697,2.3564,12.7133
2025-10-07,14.8232,2.6923,12.1309
2025-10-06,14.3002,2.7394,11.5608
2025-10-03,13.4818,2.5138,10.9680
2025-10-02,12.6979,2.3084,10.3895
2025-10-01,11.9590,2.1360,9.8230
2025-09-30,11.2249,1.9996,9.2252
2025-09-29,10.7746,2.1364,8.6381
2025-09-26,10.0888,2.0361,8.0527
2025-09-25,9.8274,2.3527,7.4747
2025-09-24,9.6929,2.8578,6.8351
2025-09-23,8.9648,2.8713,6.0935
2025-09-22,8.2753,2.9501,5.3252
2025-09-19,7.5998,3.0973,4.5025
2025-09-18,6.5787,2.9250,3.6537
2025-09-17,5.9409,3.1221,2.8188
2025-09-16,5.5055,3.5764,1.9291
2025-09-15,4.8869,3.9261,0.9607
2025-09-12,4.0712,4.1114,-0.0402
2025-09-11,3.0188,4.0679,-1.0491
2025-09-10,2.0498,4.1353,-2.0855
2025-09-09,0.8712,4.1256,-3.2543
2025-09-08,-0.0400,4.4286,-4.4686
2025-09-05,-0.9354,4.7586,-5.6939
2025-09-04,-2.0661,4.8409,-6.9071
2025-09-03,-3.2098,4.8668,-8.0766
2025-09-02,-4.1217,5.0878,-9.2094
2025-08-29,-5.0090,5.3348,-10.3438
2025-08-28,-6.3085,5.1563,-11.4648
2025-08-27,-8.4698,3.9887,-12.4585
2025-08-26,-10.0573,3.1601,-13.2174
2025-08-25,-11.0676,2.7263,-13.7940
2025-08-22,-11.8537,2.4326,-14.2863
2025-08-21,-12.5920,2.1289,-14.7209
2025-08-20,-13.4051,1.6959,-15.1010
2025-08-19,-14.3314,0.9168,-15.2481
2025-08-18,-15.0976,0.0782,-15.1758
2025-08-15,-15.2521,-0.3861,-14.8660
2025-08-14,-15.2993,-0.8749,-14.4243
2025-08-13,-15.2468,-1.3764,-13.8703
2025-08-12,-15.4986,-2.2818,-13.2168
2025-08-11,-15.7656,-3.3217,-12.4439
2025-08-08,-16.0128,-4.4816,-11.5311
2025-08-07,-14.7290,-4.2649,-10.4641
2025-08-06,-13.6808,-4.2993,-9.3815
2025-08-05,-12.3090,-4.0924,-8.2166
2025-08-04,-11.2770,-4.2891,-6.9879
2025-08-01,-10.3135,-4.5409,-5.7726
2025-07-31,-9.3651,-4.7438,-4.6213
2025-07-30,-8.5422,-5.0417,-3.5005
2025-07-29,-7.5510,-5.2258,-2.3252
2025-07-28,-6.4093,-5.2928,-1.1165
2025-07-25,-4.9858,-5.1078,0.1220
2025-07-24,-3.1967,-4.5518,1.3550
2025-07-23,-1.2505,-3.8230,2.5725
2025-07-22,-0.3391,-4.0549,3.7158
2025-07-21,0.0484,-4.7746,4.8230
2025-07-18,0.7217,-5.1925,5.9143
2025-07-17,2.0354,-4.9582,6.9935
2025-07-16,3.3276,-4.6194,7.9470
2025-07-15,4.7372,-4.0546,8.7918
2025-07-14,6.1111,-3.3938,9.5049
2025-07-11,7.7609,-2.3280,10.0889
2025-07-10,9.0393,-1.4297,10.4690
2025-07-09,9.6253,-1.0084,10.6337
2025-07-08,9.8698,-0.7573,10.6271
2025-07-07,10.4351,-0.0340,10.4692
2025-07-03,10.6165,0.4669,10.1496
2025-07-02,10.9309,1.1730,9.7579
