time,MACD,MACD_Hist,MACD_Signal
2025-11-07,8.6040,0.4457,8.1583
2025-11-06,8.4996,0.4527,8.0469
2025-11-05,8.5409,0.6072,7.9337
2025-11-04,9.0162,1.2343,7.7819
2025-11-03,9.6322,2.1589,7.4733
2025-10-31,9.4638,2.5302,6.9336
2025-10-30,8.7040,2.4029,6.3011
2025-10-29,8.1522,2.4519,5.7003
2025-10-28,6.7043,1.6169,5.0874
2025-10-27,4.7780,0.0949,4.6831
2025-10-24,2.7386,-1.9208,4.6594
2025-10-23,2.5424,-2.5972,5.1396
2025-10-22,4.1713,-1.6177,5.7889
2025-10-21,4.4546,-1.7387,6.1933
2025-10-20,4.6171,-2.0109,6.6280
2025-10-17,4.9671,-2.1637,7.1308
2025-10-16,5.8608,-1.8109,7.6717
2025-10-15,6.4112,-1.7132,8.1244
2025-10-14,7.2984,-1.2543,8.5527
2025-10-13,8.6159,-0.2503,8.8663
2025-10-10,9.7375,0.8086,8.9288
2025-10-09,10.0926,1.3659,8.7267
2025-10-08,10.3125,1.9273,8.3852
2025-10-07,10.0014,2.0980,7.9034
2025-10-06,9.3172,1.9383,7.3789
2025-10-03,9.0150,2.1207,6.8943
2025-10-02,8.6113,2.2471,6.3642
2025-10-01,8.1448,2.3424,5.8024
2025-09-30,8.0000,2.7833,5.2168
2025-09-29,7.6297,3.1087,4.5210
2025-09-26,6.5247,2.7810,3.7438
2025-09-25,5.5785,2.5300,3.0485
2025-09-24,5.0609,2.6448,2.4160
2025-09-23,4.3586,2.6038,1.7548
2025-09-22,3.3908,2.2869,1.1039
2025-09-19,2.7252,2.1930,0.5322
2025-09-18,1.8941,1.9102,-0.0161
2025-09-17,1.5378,2.0314,-0.4936
2025-09-16,1.1996,2.2011,-1.0015
2025-09-15,0.8763,2.4281,-1.5518
2025-09-12,0.6789,2.8377,-2.1588
2025-09-11,0.1189,2.9871,-2.8682
2025-09-10,-0.6599,2.9551,-3.6150
2025-09-09,-1.8570,2.4968,-4.3538
2025-09-08,-2.9985,1.9795,-4.9780
2025-09-05,-3.6493,1.8236,-5.4729
2025-09-04,-4.3861,1.5426,-5.9287
2025-09-03,-4.9767,1.3377,-6.3144
2025-09-02,-5.1082,1.5406,-6.6488
2025-08-29,-5.2914,1.7426,-7.0340
2025-08-28,-5.8891,1.5805,-7.4696
2025-08-27,-6.5868,1.2780,-7.8648
2025-08-26,-7.1208,1.0635,-8.1843
2025-08-25,-7.5104,0.9398,-8.4502
2025-08-22,-8.0557,0.6294,-8.6851
2025-08-21,-8.4488,0.3937,-8.8425
2025-08-20,-8.9772,-0.0364,-8.9409
2025-08-19,-9.5110,-0.5792,-8.9318
2025-08-18,-9.8391,-1.0521,-8.7870
2025-08-15,-10.0710,-1.5471,-8.5240
2025-08-14,-10.0209,-1.8837,-8.1372
2025-08-13,-9.8764,-2.2102,-7.6663
2025-08-12,-9.3396,-2.2259,-7.1137
2025-08-11,-8.5521,-1.9949,-6.5572
2025-08-08,-8.0040,-1.9455,-6.0585
2025-08-07,-7.8641,-2.2920,-5.5722
2025-08-06,-7.7941,-2.7949,-4.9992
2025-08-05,-7.4618,-3.1614,-4.3004
2025-08-04,-6.9767,-3.4666,-3.5101
2025-08-01,-6.1601,-3.5166,-2.6434
2025-07-31,-5.0640,-3.2997,-1.7643
2025-07-30,-4.4170,-3.4776,-0.9393
2025-07-29,-3.7321,-3.6622,-0.0699
2025-07-28,-3.0768,-3.9224,0.8456
2025-07-25,-1.7911,-3.6173,1.8262
2025-07-24,-0.0957,-2.8262,2.7305
2025-07-23,1.9452,-1.4919,3.4371
2025-07-22,2.1911,-1.6189,3.8100
