time,RSI
2025-11-07,72.7831
2025-10-31,72.7191
2025-10-24,62.0456
2025-10-17,61.2961
2025-10-10,68.6681
2025-10-03,67.6313
2025-09-26,58.4411
2025-09-19,50.1612
2025-09-12,46.0208
2025-09-05,39.5374
2025-08-29,40.4799
2025-08-22,38.0907
2025-08-15,39.3583
2025-08-08,42.7545
2025-08-01,47.5445
2025-07-25,66.3390
2025-07-18,64.6654
2025-07-11,73.9081
2025-07-03,73.3515
2025-06-27,69.9405
2025-06-20,69.0393
2025-06-13,64.4562
2025-06-06,59.5233
2025-05-30,61.8994
2025-05-23,65.2089
2025-05-16,59.5437
2025-05-09,54.1516
2025-05-02,47.6173
2025-04-25,50.7303
2025-04-17,51.7273
2025-04-11,38.6647
2025-04-04,53.6095
2025-03-28,57.4993
2025-03-21,59.1388
2025-03-14,70.6409
2025-03-07,67.4854
2025-02-28,74.6423
2025-02-21,75.0979
2025-02-14,70.9960
2025-02-07,70.9416
2025-01-31,54.4281
2025-01-24,57.1366
2025-01-17,51.6450
2025-01-10,56.3188
2025-01-03,54.5362
2024-12-27,56.4494
2024-12-20,63.4375
2024-12-13,70.6645
2024-12-06,65.5653
2024-11-29,63.2958
2024-11-22,52.1026
2024-11-15,57.6318
2024-11-08,52.2926
2024-11-01,60.2380
2024-10-25,82.9342
2024-10-18,87.3857
2024-10-11,84.8451
2024-10-04,83.0730
2024-09-27,82.0125
2024-09-20,81.1628
2024-09-13,73.8530
2024-09-06,73.8333
2024-08-30,69.8067
2024-08-23,68.1969
2024-08-16,66.2554
2024-08-09,59.0484
2024-08-02,73.6475
2024-07-26,64.7615
2024-07-19,64.7396
2024-07-12,56.2105
2024-07-05,51.7496
2024-06-28,54.3594
2024-06-21,44.1552
2024-06-14,45.3094
2024-06-07,39.9243
2024-05-31,45.1031
2024-05-24,42.6301
2024-05-17,40.1004
2024-05-10,35.5738
2024-05-03,36.4046
2024-04-26,56.1337
2024-04-19,62.4480
2024-04-12,70.8901
2024-04-05,72.7223
2024-03-28,73.3057
2024-03-22,76.3590
2024-03-15,83.7497
2024-03-08,79.9786
2024-03-01,78.6655
2024-02-23,83.3097
2024-02-16,82.5174
2024-02-09,81.5929
2024-02-02,85.4345
2024-01-26,78.6388
2024-01-19,73.2534
2024-01-12,65.2728
2024-01-05,77.3710
2023-12-29,76.8103
2023-12-22,76.8103
2023-12-15,77.9840
2023-12-08,76.2493
2023-12-01,71.8171
2023-11-24,69.4134
2023-11-17,65.0297
2023-11-10,62.3616
2023-11-03,56.0619
2023-10-27,44.3642
2023-10-20,49.1185
2023-10-13,55.1841
2023-10-06,51.1186
2023-09-29,66.9004
2023-09-22,65.7339
2023-09-15,73.9420
2023-09-08,73.2329
2023-09-01,70.4960
2023-08-25,65.4168
2023-08-18,69.8372
2023-08-11,70.5750
2023-08-04,69.3517
2023-07-28,64.3525
2023-07-21,55.4153
2023-07-14,52.7916
2023-07-07,56.0785
2023-06-30,49.1628
2023-06-23,65.1241
2023-06-16,64.5897
2023-06-09,60.1986
2023-06-02,53.8288
2023-05-26,49.6308
2023-05-19,38.6671
2023-05-12,36.1297
2023-05-05,40.3344
2023-04-28,38.3395
2023-04-21,42.7627
2023-04-14,45.3846
2023-04-06,47.3305
2023-03-31,37.8658
2023-03-24,32.6364
2023-03-17,33.6269
2023-03-10,39.3764
2023-03-03,41.9345
2023-02-24,45.8174
2023-02-17,48.9817
2023-02-10,45.9137
2023-02-03,43.4107
2023-01-27,53.9452
2023-01-20,63.8297
2023-01-13,60.8177
2023-01-06,56.6836
2022-12-30,57.8449
2022-12-23,55.8146
2022-12-16,70.7841
2022-12-09,71.0528
2022-12-02,71.1338
2022-11-25,70.8118
2022-11-18,67.0247
2022-11-11,59.7540
2022-11-04,62.0229
2022-10-28,54.1167
2022-10-21,39.7752
2022-10-14,35.7852
2022-10-07,36.1823
2022-09-30,38.4006
2022-09-23,43.0519
2022-09-16,47.8304
2022-09-09,44.1549
2022-09-02,46.7192
2022-08-26,57.1709
2022-08-19,51.1487
2022-08-12,49.0381
2022-08-05,45.8552
2022-07-29,42.6885
2022-07-22,58.2246
2022-07-15,59.0003
2022-07-08,58.3090
2022-07-01,61.6024
2022-06-24,55.2902
2022-06-17,53.1885
2022-06-10,66.2788
2022-06-03,61.7886
2022-05-27,51.1286
2022-05-20,57.0564
2022-05-13,59.3083
2022-05-06,55.6756
2022-04-29,63.3063
2022-04-22,47.9269
2022-04-14,50.2555
2022-04-08,54.3201
2022-04-01,55.2958
2022-03-25,52.8168
2022-03-18,46.0902
2022-03-11,48.8742
2022-03-04,42.2538
2022-02-25,44.6866
2022-02-18,57.1784
2022-02-11,63.2311
2022-02-04,59.1882
2022-01-28,50.2503
2022-01-21,59.8408
2022-01-14,63.1658
2022-01-07,62.6746
2021-12-31,58.3786
2021-12-23,51.1572
2021-12-17,47.9102
2021-12-10,39.9131
2021-12-03,38.3902
2021-11-26,33.2779
2021-11-19,37.0126
2021-11-12,40.2077
2021-11-05,31.8959
2021-10-29,34.1824
2021-10-22,59.8105
2021-10-15,58.9700
2021-10-08,57.7616
2021-10-01,49.3111
2021-09-24,40.1592
2021-09-17,48.9809
2021-09-10,51.8272
2021-09-03,51.5229
2021-08-27,51.7583
2021-08-20,59.0628
2021-08-13,57.5235
2021-08-06,53.9308
2021-07-30,53.8430
2021-07-23,46.2526
2021-07-16,54.3637
2021-07-09,52.1814
2021-07-02,66.0366
2021-06-25,62.3166
2021-06-18,80.3412
2021-06-11,77.5421
2021-06-04,74.9519
2021-05-28,75.1354
2021-05-21,74.5561
2021-05-14,78.1510
2021-05-07,75.3214
2021-04-30,74.1698
2021-04-23,64.7851
2021-04-16,68.3852
2021-04-09,66.7701
2021-04-01,72.4159
2021-03-26,63.5488
2021-03-19,62.4897
2021-03-12,54.7400
2021-03-05,49.5600
2021-02-26,45.6360
2021-02-19,48.6756
2021-02-12,50.2354
2021-02-05,45.2788
2021-01-29,43.1473
2021-01-22,63.8378
2021-01-15,61.7504
2021-01-08,58.3323
2020-12-31,57.1001
2020-12-24,55.3079
2020-12-18,57.9091
2020-12-11,60.1143
2020-12-04,57.1117
2020-11-27,47.1113
2020-11-20,48.4372
2020-11-13,47.7989
2020-11-06,36.3163
2020-10-30,38.2960
2020-10-23,57.7290
2020-10-16,60.5738
2020-10-09,49.6111
2020-10-02,46.9024
2020-09-25,46.7197
2020-09-18,49.9505
2020-09-11,49.6169
2020-09-04,54.6849
2020-08-28,52.6272
2020-08-21,54.8696
2020-08-14,55.1157
2020-08-07,51.0344
2020-07-31,52.6833
2020-07-24,54.0825
2020-07-17,47.5676
2020-07-10,49.0308
2020-07-02,45.6859
2020-06-26,49.3783
2020-06-19,46.6308
2020-06-12,59.6347
2020-06-05,52.7113
2020-05-29,49.2843
2020-05-22,47.8379
2020-05-15,49.5672
2020-05-08,47.2621
2020-05-01,51.0500
2020-04-24,45.7590
2020-04-17,47.5486
2020-04-09,37.5508
2020-04-03,35.3280
2020-03-27,20.0379
2020-03-20,21.1734
2020-03-13,31.7162
2020-03-06,40.3595
2020-02-28,61.3225
2020-02-21,70.9384
2020-02-14,79.2480
2020-02-07,68.6022
2020-01-31,57.7495
2020-01-24,56.1112
2020-01-17,50.2479
2020-01-10,44.3300
2020-01-03,48.8486
2019-12-27,50.3537
2019-12-20,48.2763
2019-12-13,44.3063
2019-12-06,46.5300
2019-11-29,46.5683
2019-11-22,46.2302
2019-11-15,51.2047
2019-11-08,46.6738
2019-11-01,46.2551
2019-10-25,40.2952
2019-10-18,56.4021
2019-10-11,56.3211
2019-10-04,59.2329
2019-09-27,55.6688
2019-09-20,58.1361
2019-09-13,55.5887
2019-09-06,47.1567
2019-08-30,40.4163
2019-08-23,45.7045
2019-08-16,46.8276
2019-08-09,59.8245
2019-08-02,74.5519
2019-07-26,73.6471
2019-07-19,65.1003
2019-07-12,62.3164
2019-07-05,60.0567
2019-06-28,59.4530
2019-06-21,53.4178
2019-06-14,51.7027
2019-06-07,36.5470
2019-05-31,45.4075
2019-05-24,48.3435
2019-05-17,47.8011
2019-05-10,54.8132
2019-05-03,56.6702
2019-04-26,57.2245
2019-04-18,68.3154
2019-04-12,66.7061
2019-04-05,64.9531
2019-03-29,62.0340
2019-03-22,63.5307
2019-03-15,59.1534
2019-03-08,66.6572
2019-03-01,66.6764
2019-02-22,64.6681
2019-02-15,61.2937
2019-02-08,59.4817
2019-02-01,58.6159
2019-01-25,47.9552
2019-01-18,44.2773
2019-01-11,40.1721
2019-01-04,34.1205
2018-12-28,28.7882
