time,FastD,FastK
2025-11-07,66.1787,53.3951
2025-11-06,57.2001,84.4650
2025-11-05,34.8766,60.6761
2025-11-04,25.5241,26.4594
2025-11-03,41.6998,17.4944
2025-10-31,62.5455,32.6185
2025-10-30,80.9549,74.9865
2025-10-29,89.0191,80.0314
2025-10-28,93.3512,87.8468
2025-10-27,91.9742,99.1790
2025-10-24,88.2440,93.0278
2025-10-23,79.2380,83.7158
2025-10-22,79.9053,87.9884
2025-10-21,73.1366,66.0099
2025-10-20,57.5299,85.7177
2025-10-17,44.2861,67.6822
2025-10-16,27.2721,19.1898
2025-10-15,24.1328,45.9864
2025-10-14,9.2571,16.6401
2025-10-13,12.9453,9.7718
2025-10-10,21.8690,1.3592
2025-10-09,43.3058,27.7049
2025-10-08,57.5332,36.5429
2025-10-07,66.6065,65.6695
2025-10-06,70.3242,70.3872
2025-10-03,75.7512,63.7628
2025-10-02,77.4822,76.8226
2025-10-01,71.2096,86.6682
2025-09-30,69.0306,68.9559
2025-09-29,74.8619,58.0046
2025-09-26,76.7534,80.1313
2025-09-25,81.2420,86.4497
2025-09-24,84.0083,63.6790
2025-09-23,92.5824,93.5972
2025-09-22,94.1180,94.7486
2025-09-19,88.5128,89.4016
2025-09-18,80.8982,98.2038
2025-09-17,63.6058,77.9329
2025-09-16,53.3173,66.5578
2025-09-15,56.4656,46.3267
2025-09-12,67.2820,47.0674
2025-09-11,82.4948,76.0026
2025-09-10,88.6245,78.7760
2025-09-09,93.4326,92.7059
2025-09-08,89.5176,94.3915
2025-09-05,83.3456,93.2004
2025-09-04,66.3298,80.9610
2025-09-03,60.0677,75.8755
2025-09-02,66.9351,42.1530
2025-08-29,81.1103,62.1746
2025-08-28,81.3438,96.4778
2025-08-27,54.3536,84.6785
2025-08-26,48.9239,62.8752
2025-08-25,42.3136,15.5070
2025-08-22,68.9628,68.3897
2025-08-21,72.3336,43.0442
2025-08-20,83.1716,95.4545
2025-08-19,73.0082,78.5021
2025-08-18,54.5952,75.5583
2025-08-15,40.6577,64.9642
2025-08-14,21.3667,23.2630
2025-08-13,16.4884,33.7459
2025-08-12,7.0223,7.0912
2025-08-11,20.8105,8.6282
2025-08-08,33.3958,5.3476
2025-08-07,41.9041,48.4558
2025-08-06,36.2689,46.3839
2025-08-05,28.1380,30.8725
2025-08-04,20.1300,31.5504
2025-08-01,28.7960,21.9912
2025-07-31,30.5796,6.8484
2025-07-30,38.1657,57.5483
2025-07-29,25.5590,27.3422
2025-07-28,23.7664,29.6066
2025-07-25,19.0507,19.7283
2025-07-24,21.3381,21.9643
2025-07-23,34.5425,15.4596
2025-07-22,56.8242,26.5903
2025-07-21,57.3522,61.5776
2025-07-18,44.3937,82.3045
2025-07-17,22.9997,28.1746
2025-07-16,18.5962,22.7021
2025-07-15,14.4617,18.1225
2025-07-14,21.4059,14.9640
2025-07-11,28.8175,10.2985
2025-07-10,38.8557,38.9552
2025-07-09,48.1866,37.1986
2025-07-08,56.3765,40.4133
2025-07-07,45.9512,66.9479
2025-07-03,35.3280,61.7683
2025-07-02,42.1365,9.1373
2025-07-01,58.9235,35.0785
2025-06-30,73.1273,82.1935
2025-06-27,70.0965,59.4984
2025-06-26,82.5276,77.6899
2025-06-25,88.8873,73.1013
2025-06-24,79.9835,96.7917
2025-06-23,69.9218,96.7690
2025-06-20,65.0073,46.3899
2025-06-18,75.4234,66.6065
2025-06-17,74.6484,82.0256
2025-06-16,76.5012,77.6382
2025-06-13,83.4947,64.2813
2025-06-12,92.1675,87.5841
2025-06-11,92.0514,98.6186
2025-06-10,89.1657,90.2997
2025-06-09,90.3178,87.2360
2025-06-06,89.7500,89.9614
2025-06-05,91.7311,93.7560
2025-06-04,89.3571,85.5327
2025-06-03,72.6812,95.9044
2025-06-02,51.2089,86.6343
2025-05-30,37.3749,35.5049
2025-05-29,43.9239,31.4875
2025-05-28,40.4456,45.1323
2025-05-27,26.7501,55.1520
2025-05-23,15.4264,21.0526
2025-05-22,35.7953,4.0457
2025-05-21,66.2933,21.1809
2025-05-20,90.8233,82.1593
2025-05-19,95.6727,95.5398
2025-05-16,91.4362,94.7707
2025-05-15,90.9690,96.7076
2025-05-14,88.4810,82.8302
2025-05-13,79.6080,93.3691
2025-05-12,76.5956,89.2437
2025-05-09,77.9621,56.2112
2025-05-08,90.3081,84.3318
2025-05-07,94.1941,93.3434
2025-05-06,96.0703,93.2492
2025-05-05,92.5208,95.9896
2025-05-02,92.6559,98.9721
2025-05-01,79.6785,82.6006
2025-04-30,67.8343,96.3949
2025-04-29,46.3719,60.0400
2025-04-28,32.9047,47.0681
2025-04-25,42.7079,32.0078
2025-04-24,57.6577,19.6382
2025-04-23,61.6871,76.4778
2025-04-22,60.0494,76.8571
2025-04-21,60.3547,31.7264
2025-04-17,81.7720,71.5647
2025-04-16,87.8553,77.7729
2025-04-15,92.2314,95.9784
2025-04-14,79.7891,89.8145
2025-04-11,69.0608,90.9012
2025-04-10,44.4450,58.6516
2025-04-09,34.7143,57.6295
2025-04-08,16.2764,17.0541
2025-04-07,15.0071,29.4594
2025-04-04,29.7831,2.3157
