time,FastD,FastK
2025-11-07,33.3911,17.3215
2025-11-06,49.4608,73.8136
2025-11-05,25.1079,40.9995
2025-11-04,9.2164,0.0000
2025-11-03,18.4328,0.0000
2025-10-31,36.8656,0.0000
2025-10-30,73.7312,68.4280
2025-10-29,79.0344,62.4742
2025-10-28,95.5946,96.4336
2025-10-27,94.7555,100.0000
2025-10-24,89.5111,100.0000
2025-10-23,79.0222,70.1340
2025-10-22,87.9103,100.0000
2025-10-21,75.8207,74.5462
2025-10-20,77.0952,100.0000
2025-10-17,54.1904,100.0000
2025-10-16,8.3807,0.0000
2025-10-15,16.7615,30.6835
2025-10-14,2.8395,0.0000
2025-10-13,5.6791,0.0000
2025-10-10,11.3581,0.0000
2025-10-09,22.7163,0.0000
2025-10-08,45.4325,0.0000
2025-10-07,90.8651,100.0000
2025-10-06,81.7301,100.0000
2025-10-03,63.4603,69.0558
2025-10-02,57.8647,55.7610
2025-10-01,59.9685,68.3198
2025-09-30,51.6172,44.9283
2025-09-29,58.3061,31.1395
2025-09-26,85.4727,100.0000
2025-09-25,70.9454,90.0331
2025-09-24,51.8577,5.5975
2025-09-23,98.1178,100.0000
2025-09-22,96.2357,100.0000
2025-09-19,92.4714,100.0000
2025-09-18,84.9428,100.0000
2025-09-17,69.8856,99.3449
2025-09-16,40.4263,45.1307
2025-09-15,35.7220,31.4978
2025-09-12,39.9461,2.1590
2025-09-11,77.7333,68.3742
2025-09-10,87.0924,76.1913
2025-09-09,97.9935,100.0000
2025-09-08,95.9871,100.0000
2025-09-05,91.9741,100.0000
2025-09-04,83.9483,100.0000
2025-09-03,67.8966,74.7609
2025-09-02,61.0323,40.0512
2025-08-29,82.0134,67.2053
2025-08-28,96.8214,100.0000
2025-08-27,93.6429,100.0000
2025-08-26,87.2857,100.0000
2025-08-25,74.5715,58.1792
2025-08-22,90.9637,100.0000
2025-08-21,81.9274,66.0455
2025-08-20,97.8093,100.0000
2025-08-19,95.6186,100.0000
2025-08-18,91.2373,98.2747
2025-08-15,84.1998,100.0000
2025-08-14,68.3996,81.1105
2025-08-13,55.6886,100.0000
2025-08-12,11.3773,0.0000
2025-08-11,22.7545,0.0000
2025-08-08,45.5091,18.5415
2025-08-07,72.4766,76.3307
2025-08-06,68.6225,100.0000
2025-08-05,37.2450,44.8051
2025-08-04,29.6849,51.9343
2025-08-01,7.4355,0.0000
2025-07-31,14.8710,7.2351
2025-07-30,22.5069,22.3023
2025-07-29,22.7115,29.5752
2025-07-28,15.8477,25.7220
2025-07-25,5.9734,0.0000
2025-07-24,11.9468,0.0000
