time,APO
2025-11-07,12.1420
2025-11-06,11.3256
2025-11-05,9.7921
2025-11-04,8.8120
2025-11-03,7.9908
2025-10-31,6.3795
2025-10-30,5.1567
2025-10-29,3.9666
2025-10-28,2.7676
2025-10-27,1.4563
2025-10-24,1.1804
2025-10-23,1.3135
2025-10-22,3.0496
2025-10-21,4.3622
2025-10-20,5.8816
2025-10-17,7.2994
2025-10-16,8.6670
2025-10-15,9.9171
2025-10-14,10.6702
2025-10-13,12.1217
2025-10-10,13.5769
2025-10-09,13.8978
2025-10-08,14.2626
2025-10-07,14.5997
2025-10-06,14.2483
2025-10-03,13.8937
2025-10-02,13.1271
2025-10-01,12.3895
2025-09-30,11.6787
2025-09-29,10.8265
2025-09-26,10.4812
2025-09-25,9.8015
2025-09-24,9.4853
2025-09-23,9.6119
2025-09-22,8.8869
2025-09-19,8.1887
2025-09-18,7.3431
2025-09-17,6.5474
2025-09-16,6.1244
2025-09-15,5.7285
2025-09-12,5.0786
2025-09-11,4.2892
2025-09-10,3.1344
2025-09-09,2.1571
2025-09-08,0.9293
2025-09-05,-0.0189
2025-09-04,-1.0053
2025-09-03,-2.1657
2025-09-02,-3.1960
2025-08-29,-4.1938
2025-08-28,-5.0644
2025-08-27,-7.2984
2025-08-26,-9.3631
2025-08-25,-10.9362
2025-08-22,-11.8960
2025-08-21,-12.6519
2025-08-20,-13.4173
2025-08-19,-14.2454
2025-08-18,-15.2179
2025-08-15,-15.8441
2025-08-14,-16.0407
2025-08-13,-16.0457
2025-08-12,-16.1281
2025-08-11,-16.3397
2025-08-08,-16.5355
2025-08-07,-15.0549
2025-08-06,-13.9907
2025-08-05,-12.9302
2025-08-04,-11.5079
2025-08-01,-10.5494
2025-07-31,-9.4783
2025-07-30,-8.5851
2025-07-29,-7.7424
2025-07-28,-6.6985
2025-07-25,-5.4580
2025-07-24,-3.8316
2025-07-23,-2.1706
2025-07-22,-1.1220
2025-07-21,-0.2580
2025-07-18,0.1071
2025-07-17,0.9161
2025-07-16,2.3527
2025-07-15,3.4950
2025-07-14,4.8639
2025-07-11,6.1634
2025-07-10,7.7100
2025-07-09,8.7536
2025-07-08,9.1818
2025-07-07,9.7971
2025-07-03,10.2486
2025-07-02,10.5072
2025-07-01,10.7525
2025-06-30,11.1648
2025-06-27,11.3627
2025-06-26,11.1177
2025-06-25,10.3733
2025-06-24,9.4651
2025-06-23,8.2719
2025-06-20,7.5116
2025-06-18,7.0614
2025-06-17,6.5908
2025-06-16,5.8984
2025-06-13,5.1060
2025-06-12,4.6766
2025-06-11,4.4860
2025-06-10,3.8907
2025-06-09,3.6468
2025-06-06,4.0187
2025-06-05,4.9549
2025-06-04,6.1937
2025-06-03,7.4781
2025-06-02,8.9125
2025-05-30,9.7885
2025-05-29,10.3311
2025-05-28,10.6584
2025-05-27,10.7227
2025-05-23,10.8234
2025-05-22,11.0749
2025-05-21,10.9078
2025-05-20,10.6965
2025-05-19,10.0516
2025-05-16,9.0825
2025-05-15,8.1460
2025-05-14,7.5550
2025-05-13,6.9131
2025-05-12,5.8642
2025-05-09,4.1729
2025-05-08,3.7632
2025-05-07,2.8189
2025-05-06,1.5878
2025-05-05,0.9345
2025-05-02,0.1750
2025-05-01,-0.4054
2025-04-30,-0.8432
2025-04-29,-1.6160
2025-04-28,-2.5948
2025-04-25,-2.9364
2025-04-24,-4.6261
2025-04-23,-5.5865
2025-04-22,-7.3504
2025-04-21,-7.4201
2025-04-17,-6.6524
2025-04-16,-6.1151
2025-04-15,-5.6795
2025-04-14,-6.0229
2025-04-11,-6.2880
2025-04-10,-5.5676
2025-04-09,-4.7219
2025-04-08,-4.3208
2025-04-07,-3.5496
2025-04-04,-3.1192
2025-04-03,-2.0567
2025-04-02,-2.2409
2025-04-01,-2.2899
2025-03-31,-2.8909
2025-03-28,-3.6124
2025-03-27,-3.9365
2025-03-26,-4.3984
2025-03-25,-4.3421
2025-03-24,-3.8170
2025-03-21,-4.2047
2025-03-20,-4.0429
2025-03-19,-3.6616
2025-03-18,-3.7197
2025-03-17,-3.4091
2025-03-14,-3.3416
2025-03-13,-3.2266
2025-03-12,-2.8855
2025-03-11,-2.2346
2025-03-10,-1.3961
2025-03-07,-0.7384
2025-03-06,0.7965
2025-03-05,2.9094
2025-03-04,4.8150
2025-03-03,6.4413
2025-02-28,7.8766
2025-02-27,9.2259
2025-02-26,10.0561
2025-02-25,10.8652
2025-02-24,11.7598
2025-02-21,13.3763
2025-02-20,15.1907
2025-02-19,16.5695
2025-02-18,17.4675
2025-02-14,18.5014
2025-02-13,17.1648
2025-02-12,15.7269
2025-02-11,14.3143
2025-02-10,13.1078
2025-02-07,12.2470
2025-02-06,11.0818
2025-02-05,9.8545
2025-02-04,8.1575
2025-02-03,6.2536
2025-01-31,4.3924
2025-01-30,2.5123
2025-01-29,0.4695
2025-01-28,0.0633
2025-01-27,-0.2640
2025-01-24,-0.4739
2025-01-23,-0.8747
2025-01-22,-1.3859
2025-01-21,-1.9156
2025-01-17,-2.5585
2025-01-16,-3.1256
2025-01-15,-3.6954
2025-01-14,-3.8533
2025-01-13,-3.9027
2025-01-10,-3.9700
2025-01-08,-3.9631
2025-01-07,-4.0621
2025-01-06,-4.4832
2025-01-03,-4.2009
2025-01-02,-3.7866
2024-12-31,-3.0123
2024-12-30,-2.0942
2024-12-27,-1.0752
2024-12-26,0.1270
2024-12-24,1.1774
2024-12-23,3.0224
2024-12-20,4.5569
2024-12-19,5.8529
2024-12-18,6.7600
2024-12-17,7.6615
2024-12-16,8.1722
2024-12-13,8.6281
2024-12-12,9.1779
2024-12-11,9.6693
2024-12-10,10.0435
2024-12-09,10.2287
2024-12-06,9.9098
2024-12-05,8.9502
2024-12-04,7.7521
2024-12-03,6.2635
2024-12-02,5.2331
2024-11-29,4.2921
2024-11-27,2.8083
2024-11-26,1.4491
2024-11-25,0.0367
2024-11-22,-1.2763
2024-11-21,-2.4830
2024-11-20,-4.1827
2024-11-19,-5.6142
2024-11-18,-6.7841
2024-11-15,-7.9081
2024-11-14,-9.0343
2024-11-13,-9.9363
2024-11-12,-10.5098
2024-11-11,-10.8820
2024-11-08,-10.9562
2024-11-07,-9.7510
2024-11-06,-8.4732
2024-11-05,-7.2178
2024-11-04,-5.7275
2024-11-01,-4.1186
2024-10-31,-2.6268
2024-10-30,-1.0435
2024-10-29,0.8153
2024-10-28,2.2883
2024-10-25,3.7385
2024-10-24,5.3580
2024-10-23,6.3158
2024-10-22,6.5559
2024-10-21,6.6138
2024-10-18,6.5164
2024-10-17,6.2760
2024-10-16,6.0395
2024-10-15,6.0796
2024-10-14,6.1981
2024-10-11,6.5305
2024-10-10,6.7027
2024-10-09,6.8074
2024-10-08,6.9241
2024-10-07,7.0299
2024-10-04,7.0133
2024-10-03,7.1470
2024-10-02,7.3481
2024-10-01,7.9532
2024-09-30,8.4531
2024-09-27,8.6252
2024-09-26,8.6217
2024-09-25,8.1790
2024-09-24,7.7359
2024-09-23,7.1136
2024-09-20,6.6554
2024-09-19,6.5034
2024-09-18,6.3380
2024-09-17,6.2522
2024-09-16,5.8664
2024-09-13,5.3317
2024-09-12,5.1375
2024-09-11,5.0214
2024-09-10,4.9573
2024-09-09,4.8659
2024-09-06,4.9339
2024-09-05,4.9360
2024-09-04,4.7928
2024-09-03,4.4894
2024-08-30,4.3139
2024-08-29,3.9607
2024-08-28,3.9358
2024-08-27,3.8047
2024-08-26,3.8196
2024-08-23,3.8597
2024-08-22,3.4421
2024-08-21,2.9479
2024-08-20,2.1797
2024-08-19,2.0382
2024-08-16,1.9987
2024-08-15,2.3673
2024-08-14,2.6576
2024-08-13,3.1064
2024-08-12,3.5902
2024-08-09,4.2185
2024-08-08,4.1323
2024-08-07,4.0163
2024-08-06,4.2372
2024-08-05,4.4654
2024-08-02,5.0807
2024-08-01,5.5860
2024-07-31,5.9092
2024-07-30,5.8005
2024-07-29,5.8298
2024-07-26,5.4221
2024-07-25,5.0908
2024-07-24,4.6792
2024-07-23,4.7158
2024-07-22,4.6221
2024-07-19,4.5075
2024-07-18,4.5459
2024-07-17,4.2832
2024-07-16,3.7651
2024-07-15,3.2164
2024-07-12,2.9067
2024-07-11,2.7160
2024-07-10,2.9339
2024-07-09,2.9092
2024-07-08,3.1058
2024-07-05,2.9289
2024-07-03,2.6410
2024-07-02,2.2968
2024-07-01,1.8856
2024-06-28,1.4479
2024-06-27,1.1371
2024-06-26,1.1338
2024-06-25,1.0897
2024-06-24,0.8709
2024-06-21,0.5083
2024-06-20,0.1632
2024-06-18,-0.2949
2024-06-17,-0.4661
2024-06-14,-0.6572
2024-06-13,-0.7936
2024-06-12,-0.6607
2024-06-11,-0.4323
2024-06-10,-0.1290
2024-06-07,0.4085
2024-06-06,0.9538
2024-06-05,1.2274
2024-06-04,1.4198
2024-06-03,1.6862
2024-05-31,1.8533
2024-05-30,1.3227
2024-05-29,0.9310
2024-05-28,0.4556
2024-05-24,-0.1916
2024-05-23,-0.7321
2024-05-22,-1.4438
2024-05-21,-2.2917
2024-05-20,-3.2688
2024-05-17,-4.2110
2024-05-16,-5.2686
2024-05-15,-6.1880
2024-05-14,-7.0989
2024-05-13,-8.0135
2024-05-10,-8.7702
2024-05-09,-8.2573
2024-05-08,-7.9668
2024-05-07,-7.7091
2024-05-06,-7.4467
2024-05-03,-7.2444
2024-05-02,-6.7824
2024-05-01,-6.1406
2024-04-30,-5.6972
2024-04-29,-5.3236
2024-04-26,-4.7530
2024-04-25,-4.2340
2024-04-24,-3.5084
2024-04-23,-3.3321
2024-04-22,-3.1054
2024-04-19,-3.0483
2024-04-18,-2.8621
2024-04-17,-2.8714
2024-04-16,-2.6530
2024-04-15,-2.5274
2024-04-12,-2.3292
2024-04-11,-2.3436
2024-04-10,-2.3358
2024-04-09,-2.2117
2024-04-08,-1.9651
2024-04-05,-1.4601
2024-04-04,-0.9852
2024-04-03,-0.5743
2024-04-02,-0.3123
2024-04-01,0.1655
2024-03-28,0.9180
2024-03-27,1.8735
2024-03-26,2.2176
2024-03-25,2.8416
2024-03-22,3.5283
2024-03-21,4.2181
2024-03-20,4.5231
2024-03-19,4.7378
2024-03-18,4.5859
2024-03-15,4.3254
2024-03-14,4.1957
2024-03-13,3.9429
2024-03-12,3.4908
2024-03-11,3.0327
2024-03-08,2.6732
2024-03-07,1.8923
2024-03-06,1.2303
2024-03-05,0.9451
2024-03-04,0.7688
2024-03-01,0.1731
2024-02-29,0.3959
2024-02-28,0.9498
2024-02-27,1.5467
2024-02-26,2.0537
2024-02-23,2.5815
2024-02-22,3.0429
2024-02-21,3.5377
2024-02-20,4.4545
2024-02-16,5.4311
2024-02-15,6.0064
2024-02-14,6.9882
2024-02-13,8.0153
2024-02-12,9.1308
2024-02-09,10.3164
2024-02-08,10.2217
2024-02-07,10.1615
2024-02-06,10.0361
2024-02-05,9.8110
2024-02-02,9.2304
2024-02-01,8.4984
2024-01-31,7.8275
2024-01-30,7.2522
2024-01-29,6.2380
2024-01-26,5.1265
2024-01-25,3.8696
2024-01-24,2.5870
2024-01-23,1.8239
2024-01-22,1.1684
2024-01-19,0.4605
2024-01-18,-0.0361
2024-01-17,-0.1178
2024-01-16,-0.0883
2024-01-12,-0.1212
2024-01-11,-0.1649
2024-01-10,-0.1279
2024-01-09,-0.1386
2024-01-08,-0.0857
2024-01-05,0.1194
2024-01-04,0.5292
2024-01-03,0.8296
2024-01-02,1.2300
2023-12-29,1.6288
2023-12-28,2.0708
2023-12-27,2.3938
2023-12-26,2.6601
2023-12-22,2.7936
2023-12-21,2.9948
2023-12-20,3.4200
2023-12-19,3.9374
2023-12-18,4.3139
