time,PPO
2025-11-07,4.1285
2025-11-06,3.8608
2025-11-05,3.3494
2025-11-04,3.0240
2025-11-03,2.7498
2025-10-31,2.2013
2025-10-30,1.7855
2025-10-29,1.3813
2025-10-28,0.9684
2025-10-27,0.5124
2025-10-24,0.4180
2025-10-23,0.4678
2025-10-22,1.0900
2025-10-21,1.5656
2025-10-20,2.1185
2025-10-17,2.6402
2025-10-16,3.1455
2025-10-15,3.6088
2025-10-14,3.8946
2025-10-13,4.4369
2025-10-10,4.9897
2025-10-09,5.1299
2025-10-08,5.2977
2025-10-07,5.4604
2025-10-06,5.3678
2025-10-03,5.2676
2025-10-02,5.0087
2025-10-01,4.7581
2025-09-30,4.5165
2025-09-29,4.2120
2025-09-26,4.1025
2025-09-25,3.8607
2025-09-24,3.7590
2025-09-23,3.8256
2025-09-22,3.5547
2025-09-19,3.2928
2025-09-18,2.9648
2025-09-17,2.6561
2025-09-16,2.4933
2025-09-15,2.3377
2025-09-12,2.0750
2025-09-11,1.7533
2025-09-10,1.2829
2025-09-09,0.8838
2025-09-08,0.3814
2025-09-05,-0.0078
2025-09-04,-0.4122
2025-09-03,-0.8862
2025-09-02,-1.3043
2025-08-29,-1.7071
2025-08-28,-2.0566
2025-08-27,-2.9479
2025-08-26,-3.7613
2025-08-25,-4.3662
2025-08-22,-4.7172
2025-08-21,-4.9881
2025-08-20,-5.2575
2025-08-19,-5.5500
2025-08-18,-5.8931
2025-08-15,-6.0973
2025-08-14,-6.1314
2025-08-13,-6.0877
2025-08-12,-6.0760
2025-08-11,-6.1065
2025-08-08,-6.1324
2025-08-07,-5.5489
2025-08-06,-5.1271
2025-08-05,-4.7104
2025-08-04,-4.1696
2025-08-01,-3.8013
2025-07-31,-3.3962
2025-07-30,-3.0591
2025-07-29,-2.7480
2025-07-28,-2.3715
2025-07-25,-1.9271
2025-07-24,-1.3486
2025-07-23,-0.7618
2025-07-22,-0.3940
2025-07-21,-0.0906
2025-07-18,0.0376
2025-07-17,0.3223
2025-07-16,0.8289
2025-07-15,1.2335
2025-07-14,1.7203
2025-07-11,2.1854
2025-07-10,2.7405
2025-07-09,3.1215
2025-07-08,3.2881
2025-07-07,3.5237
2025-07-03,3.7025
2025-07-02,3.8110
2025-07-01,3.9158
2025-06-30,4.0846
2025-06-27,4.1767
2025-06-26,4.0998
2025-06-25,3.8380
2025-06-24,3.5140
2025-06-23,3.0829
2025-06-20,2.8121
2025-06-18,2.6520
2025-06-17,2.4858
2025-06-16,2.2356
