time,ROC
2025-11-07,-0.3513
2025-11-06,9.6211
2025-11-05,6.6989
2025-11-04,6.6655
2025-11-03,7.4317
2025-10-31,9.2897
2025-10-30,12.3528
2025-10-29,9.7809
2025-10-28,13.1885
2025-10-27,12.9392
2025-10-24,10.6688
2025-10-23,-1.1206
2025-10-22,-0.6737
2025-10-21,-4.0222
2025-10-20,-1.9936
2025-10-17,-2.4586
2025-10-16,-3.7493
2025-10-15,-2.0036
2025-10-14,-2.1300
2025-10-13,-0.9221
2025-10-10,-2.2827
2025-10-09,2.4126
2025-10-08,8.1972
2025-10-07,7.9452
2025-10-06,6.6514
2025-10-03,8.2470
2025-10-02,8.1962
2025-10-01,10.5797
2025-09-30,9.5682
2025-09-29,9.1945
2025-09-26,12.1804
2025-09-25,9.5055
2025-09-24,4.1459
2025-09-23,5.0673
2025-09-22,5.9667
2025-09-19,7.1903
2025-09-18,7.2093
2025-09-17,6.1368
2025-09-16,6.6335
2025-09-15,5.2364
2025-09-12,3.1376
2025-09-11,4.9706
2025-09-10,5.8731
2025-09-09,8.2195
2025-09-08,5.7830
2025-09-05,3.8137
2025-09-04,1.9089
2025-09-03,1.1688
2025-09-02,0.8561
2025-08-29,1.5727
2025-08-28,3.6354
2025-08-27,1.9869
2025-08-26,3.3480
2025-08-25,1.3246
2025-08-22,-0.0743
2025-08-21,-3.6376
2025-08-20,-3.1901
2025-08-19,-3.0785
2025-08-18,-4.3137
2025-08-15,-3.4664
2025-08-14,-5.6867
2025-08-13,-7.1180
2025-08-12,-9.9127
2025-08-11,-9.6012
2025-08-08,-6.0719
2025-08-07,-3.9730
2025-08-06,-10.5422
2025-08-05,-11.0973
2025-08-04,-11.4959
2025-08-01,-12.5302
2025-07-31,-10.2305
2025-07-30,-7.6830
2025-07-29,-7.1772
2025-07-28,-7.2518
2025-07-25,-8.4171
2025-07-24,-9.3658
2025-07-23,-2.8021
2025-07-22,-2.9130
2025-07-21,-2.6533
2025-07-18,-2.0893
2025-07-17,-1.9642
2025-07-16,-3.1868
2025-07-15,-4.0980
2025-07-14,-2.0400
2025-07-11,-2.8568
2025-07-10,-1.2472
2025-07-09,-1.2424
2025-07-08,0.4288
2025-07-07,4.0930
2025-07-03,3.0931
2025-07-02,1.6252
2025-07-01,3.3247
2025-06-30,6.3343
2025-06-27,3.0851
2025-06-26,3.6978
2025-06-25,5.3649
2025-06-24,7.9793
2025-06-23,7.5538
2025-06-20,5.2874
2025-06-18,6.6624
2025-06-17,6.7308
2025-06-16,6.7942
2025-06-13,7.0100
2025-06-12,8.6358
2025-06-11,8.1771
2025-06-10,4.9424
2025-06-09,5.2005
2025-06-06,4.0639
2025-06-05,2.2962
2025-06-04,-0.5357
2025-06-03,-1.1959
2025-06-02,-1.0721
2025-05-30,-2.8574
2025-05-29,0.3374
2025-05-28,0.6381
2025-05-27,3.7605
2025-05-23,3.7841
2025-05-22,2.3498
2025-05-21,3.6542
2025-05-20,7.8796
2025-05-19,8.4435
2025-05-16,9.3701
2025-05-15,12.0245
2025-05-14,7.3353
2025-05-13,8.7486
2025-05-12,8.1471
2025-05-09,7.9472
2025-05-08,10.8185
2025-05-07,3.2141
2025-05-06,3.4122
2025-05-05,5.4864
2025-05-02,2.8223
2025-05-01,0.4569
2025-04-30,0.4653
2025-04-29,0.1380
2025-04-28,0.2888
2025-04-25,1.2459
2025-04-24,-2.5413
2025-04-23,11.0618
2025-04-22,6.6968
2025-04-21,3.8421
2025-04-17,-1.9221
2025-04-16,-4.5644
2025-04-15,-3.8508
2025-04-14,-3.8607
2025-04-11,-3.4918
2025-04-10,-6.7666
2025-04-09,-6.0038
2025-04-08,-11.5526
2025-04-07,-9.1246
2025-04-04,-6.7208
2025-04-03,0.0699
2025-04-02,-0.9156
2025-04-01,1.3727
2025-03-31,-1.7038
2025-03-28,-1.7516
2025-03-27,0.1668
2025-03-26,0.2844
2025-03-25,0.3816
2025-03-24,-3.2892
2025-03-21,-6.7561
2025-03-20,-2.1593
2025-03-19,0.3740
2025-03-18,-2.4723
2025-03-17,1.1112
2025-03-14,-1.6202
2025-03-13,-2.9341
2025-03-12,-2.4273
2025-03-11,-3.4142
2025-03-10,-1.8979
2025-03-07,0.0229
2025-03-06,-6.0626
2025-03-05,-4.9069
2025-03-04,-3.7481
2025-03-03,-4.2445
2025-02-28,-2.6043
2025-02-27,-1.0086
2025-02-26,0.4476
2025-02-25,3.4019
2025-02-24,4.4719
2025-02-21,3.8636
2025-02-20,1.2205
2025-02-19,0.6167
2025-02-18,1.5734
2025-02-14,2.8668
2025-02-13,1.0286
2025-02-12,12.6378
2025-02-11,13.6251
2025-02-10,11.9618
2025-02-07,12.2509
2025-02-06,12.1217
2025-02-05,17.9342
2025-02-04,17.9256
2025-02-03,15.9883
2025-01-31,14.8388
2025-01-30,17.3794
2025-01-29,4.9966
2025-01-28,3.7994
2025-01-27,1.9932
2025-01-24,0.7259
2025-01-23,0.9287
2025-01-22,0.2650
2025-01-21,0.7231
2025-01-17,2.2051
2025-01-16,1.2874
2025-01-15,-0.0999
2025-01-14,-2.2578
2025-01-13,-3.3305
2025-01-10,-2.0766
2025-01-08,0.5632
2025-01-07,0.2686
2025-01-06,-0.5582
2025-01-03,1.1264
2025-01-02,-3.9437
2024-12-31,-4.1425
2024-12-30,-4.5793
2024-12-27,-4.0816
2024-12-26,-2.2727
2024-12-24,-3.1547
2024-12-23,-3.5087
2024-12-20,-6.1670
2024-12-19,-4.6134
2024-12-18,-5.7047
2024-12-17,-0.0131
2024-12-16,0.8532
2024-12-13,1.4995
2024-12-12,2.3533
2024-12-11,0.5637
2024-12-10,2.4720
2024-12-09,3.1529
2024-12-06,7.0324
2024-12-05,9.3896
2024-12-04,11.0535
2024-12-03,10.0485
2024-12-02,10.9274
2024-11-29,8.8138
2024-11-27,7.5858
2024-11-26,8.5222
2024-11-25,6.7195
2024-11-22,5.1544
2024-11-21,4.9003
2024-11-20,1.2639
2024-11-19,2.0934
2024-11-18,1.6567
2024-11-15,-0.7858
2024-11-14,1.8988
2024-11-13,3.7533
2024-11-12,0.9980
2024-11-11,0.3100
2024-11-08,-0.4425
2024-11-07,-2.1521
2024-11-06,-8.2277
2024-11-05,-10.6265
2024-11-04,-10.9730
2024-11-01,-10.3144
2024-10-31,-11.2333
2024-10-30,-12.3122
2024-10-29,-9.6712
2024-10-28,-9.5001
2024-10-25,-7.9696
2024-10-24,-6.2784
2024-10-23,-0.6615
2024-10-22,1.5878
2024-10-21,2.0386
2024-10-18,2.7434
2024-10-17,4.5618
2024-10-16,6.3441
2024-10-15,6.2047
2024-10-14,6.4140
2024-10-11,5.6240
2024-10-10,4.2922
2024-10-09,5.9079
2024-10-08,3.4620
2024-10-07,3.0023
2024-10-04,3.8126
2024-10-03,4.1283
2024-10-02,2.2285
2024-10-01,2.4378
2024-09-30,1.8051
2024-09-27,2.8167
2024-09-26,5.5857
2024-09-25,5.4028
2024-09-24,7.6222
2024-09-23,8.3378
2024-09-20,8.4487
2024-09-19,5.5778
2024-09-18,5.3060
2024-09-17,6.3841
2024-09-16,7.4358
2024-09-13,7.9889
2024-09-12,6.6260
2024-09-11,5.6157
2024-09-10,3.7074
2024-09-09,3.7889
2024-09-06,2.4393
2024-09-05,2.7281
2024-09-04,4.1218
2024-09-03,3.3636
2024-08-30,4.3090
2024-08-29,2.5522
2024-08-28,3.1926
2024-08-27,4.0526
2024-08-26,4.4860
2024-08-23,2.4288
2024-08-22,2.6267
2024-08-21,6.4937
2024-08-20,5.8565
2024-08-19,7.1565
2024-08-16,3.3578
2024-08-15,3.1540
2024-08-14,0.9668
2024-08-13,0.8459
2024-08-12,-0.1917
2024-08-09,0.7145
2024-08-08,0.3282
2024-08-07,1.5107
2024-08-06,1.4666
2024-08-05,-0.4561
2024-08-02,3.2033
2024-08-01,2.3971
2024-07-31,2.5020
2024-07-30,2.8147
2024-07-29,4.7135
2024-07-26,4.8788
2024-07-25,7.6664
2024-07-24,3.4750
2024-07-23,4.3178
2024-07-22,3.6647
2024-07-19,4.1075
2024-07-18,5.4003
2024-07-17,5.7248
2024-07-16,6.1165
2024-07-15,5.7415
2024-07-12,7.0120
2024-07-11,3.7470
2024-07-10,3.0359
2024-07-09,0.8400
2024-07-08,3.0036
2024-07-05,1.2075
2024-07-03,3.0372
2024-07-02,4.6018
2024-07-01,3.4809
2024-06-28,2.2647
2024-06-27,1.0947
2024-06-26,1.5060
2024-06-25,1.3030
2024-06-24,2.9410
2024-06-21,2.5327
2024-06-20,3.9073
2024-06-18,2.8587
2024-06-17,2.5532
2024-06-14,1.4144
2024-06-13,2.1071
2024-06-12,1.1673
2024-06-11,-0.2004
2024-06-10,-0.2984
2024-06-07,-0.3867
2024-06-06,-3.1608
2024-06-05,-3.5107
2024-06-04,-2.4188
2024-06-03,-2.2185
2024-05-31,-1.2547
2024-05-30,-1.5631
2024-05-29,-0.1852
2024-05-28,1.2533
2024-05-24,2.2375
2024-05-23,2.6463
2024-05-22,3.2575
2024-05-21,4.0577
2024-05-20,1.7891
2024-05-17,3.0280
2024-05-16,3.6293
2024-05-15,3.3570
2024-05-14,1.7094
2024-05-13,1.0828
2024-05-10,1.0165
2024-05-09,-0.5743
2024-05-08,-7.7132
2024-05-07,-7.5800
2024-05-06,-7.3062
2024-05-03,-8.7399
2024-05-02,-9.2467
2024-05-01,-10.1966
2024-04-30,-9.5510
2024-04-29,-7.6248
2024-04-26,-8.3064
2024-04-25,-9.1393
2024-04-24,-1.0428
2024-04-23,-3.7610
2024-04-22,-4.1724
2024-04-19,-3.9970
2024-04-18,-3.4426
2024-04-17,-4.0859
2024-04-16,-2.7160
2024-04-15,-4.5198
2024-04-12,-4.5507
2024-04-11,-2.5681
2024-04-10,-1.3050
2024-04-09,0.2754
2024-04-08,-0.5345
2024-04-05,-1.4382
2024-04-04,-3.1037
2024-04-03,-1.2620
2024-04-02,-1.4659
2024-04-01,-0.6490
2024-03-28,-1.2769
2024-03-27,-2.9995
2024-03-26,-4.6921
2024-03-25,-1.5334
2024-03-22,-2.6078
2024-03-21,-2.3608
2024-03-20,-1.1215
2024-03-19,0.7241
2024-03-18,-0.7096
2024-03-15,1.5250
2024-03-14,4.5398
2024-03-13,6.1522
2024-03-12,6.9833
2024-03-11,4.1275
2024-03-08,5.5083
2024-03-07,6.6934
2024-03-06,9.1597
2024-03-05,4.6391
2024-03-04,2.8885
2024-03-01,0.7117
2024-02-29,0.7953
2024-02-28,0.8710
2024-02-27,-0.6930
2024-02-26,-1.1860
2024-02-23,0.7377
2024-02-22,1.1585
2024-02-21,-1.1406
2024-02-20,0.9114
2024-02-16,1.9051
2024-02-15,0.8842
2024-02-14,0.8510
2024-02-13,-1.3392
2024-02-12,0.3720
2024-02-09,0.3190
2024-02-08,-2.3158
2024-02-07,5.6402
2024-02-06,5.4444
2024-02-05,6.1274
2024-02-02,8.3450
2024-02-01,12.0235
2024-01-31,10.5853
2024-01-30,12.5240
2024-01-29,12.8709
2024-01-26,15.5772
2024-01-25,18.1108
2024-01-24,8.6519
2024-01-23,7.9434
2024-01-22,8.5888
2024-01-19,6.6020
2024-01-18,4.2099
2024-01-17,2.8359
2024-01-16,2.0850
2024-01-12,1.2519
2024-01-11,-0.7953
2024-01-10,-1.2132
2024-01-09,-1.2705
2024-01-08,0.2239
2024-01-05,-0.5561
2024-01-04,-0.4333
2024-01-03,-1.6222
2024-01-02,-0.4500
2023-12-29,0.3929
2023-12-28,0.0795
2023-12-27,-0.7589
2023-12-26,-0.1835
2023-12-22,0.1111
2023-12-21,0.3495
2023-12-20,-0.1435
2023-12-19,0.1053
2023-12-18,1.0180
2023-12-15,1.0464
2023-12-14,2.7434
2023-12-13,4.6097
2023-12-12,5.8208
2023-12-11,5.1038
2023-12-08,4.3691
2023-12-07,3.2811
2023-12-06,4.1388
2023-12-05,4.5611
2023-12-04,5.3699
2023-12-01,4.8935
2023-11-30,3.9193
2023-11-29,3.9891
2023-11-28,5.0979
2023-11-27,4.3954
2023-11-24,5.8382
2023-11-22,5.9828
2023-11-21,4.5841
2023-11-20,4.7845
2023-11-17,4.5443
2023-11-16,5.2941
2023-11-15,6.1262
2023-11-14,5.1666
2023-11-13,5.0107
2023-11-10,5.7446
