time,WILLR
2025-11-07,-55.5460
2025-11-06,-18.6591
2025-11-05,-22.5498
2025-11-04,-33.1614
2025-11-03,-26.2065
2025-10-31,-21.4026
2025-10-30,-16.6524
2025-10-29,-19.9686
2025-10-28,-12.1532
2025-10-27,-0.8210
2025-10-24,-6.9722
2025-10-23,-20.0763
2025-10-22,-16.1172
2025-10-21,-56.1121
2025-10-20,-61.0357
2025-10-17,-69.3528
2025-10-16,-87.9873
2025-10-15,-71.2127
2025-10-14,-87.3556
2025-10-13,-90.2282
2025-10-10,-98.6408
2025-10-09,-59.9205
2025-10-08,-38.7446
2025-10-07,-21.2566
2025-10-06,-14.9885
2025-10-03,-18.1186
2025-10-02,-8.4490
2025-10-01,-7.3636
2025-09-30,-20.8739
2025-09-29,-26.2776
2025-09-26,-13.0273
2025-09-25,-8.7722
2025-09-24,-28.8336
2025-09-23,-5.0606
2025-09-22,-4.7272
2025-09-19,-7.0504
2025-09-18,-1.1628
2025-09-17,-10.4028
2025-09-16,-14.7765
2025-09-15,-19.7233
2025-09-12,-32.2178
2025-09-11,-16.2874
2025-09-10,-16.8675
2025-09-09,-6.9166
2025-09-08,-5.6085
2025-09-05,-6.7996
2025-09-04,-19.0390
2025-09-03,-24.1245
2025-09-02,-57.8470
2025-08-29,-33.7893
2025-08-28,-2.5027
2025-08-27,-10.8317
2025-08-26,-25.1068
2025-08-25,-41.1822
2025-08-22,-15.4070
2025-08-21,-62.5310
2025-08-20,-53.7817
2025-08-19,-60.1688
2025-08-18,-69.3722
2025-08-15,-68.0143
2025-08-14,-81.1405
2025-08-13,-72.9866
2025-08-12,-94.7458
2025-08-11,-94.5335
2025-08-08,-97.2222
2025-08-07,-77.4640
2025-08-06,-66.9637
2025-08-05,-88.0857
2025-08-04,-85.0012
2025-08-01,-89.5456
2025-07-31,-97.4066
2025-07-30,-78.7433
2025-07-29,-72.6578
2025-07-28,-70.3934
2025-07-25,-80.2717
2025-07-24,-78.0357
2025-07-23,-76.3012
2025-07-22,-82.1824
2025-07-21,-69.2503
2025-07-18,-61.8806
2025-07-17,-86.4676
2025-07-16,-86.9759
2025-07-15,-86.7613
2025-07-14,-85.0360
2025-07-11,-89.7015
2025-07-10,-61.0448
2025-07-09,-65.0108
2025-07-08,-61.9870
2025-07-07,-23.1348
2025-07-03,-22.0992
2025-07-02,-44.8840
2025-07-01,-26.1603
2025-06-30,-7.2785
2025-06-27,-31.7757
2025-06-26,-20.8067
2025-06-25,-24.2280
2025-06-24,-2.5248
2025-06-23,-1.7490
2025-06-20,-29.4059
2025-06-18,-16.9647
2025-06-17,-8.6995
2025-06-16,-12.1807
2025-06-13,-22.6006
2025-06-12,-7.8197
2025-06-11,-0.9207
2025-06-10,-5.9420
2025-06-09,-8.3234
2025-06-06,-9.0403
2025-06-05,-5.5461
2025-06-04,-13.2025
2025-06-03,-30.2446
2025-06-02,-39.8814
2025-05-30,-75.7598
2025-05-29,-78.5026
2025-05-28,-67.0126
2025-05-27,-36.8902
2025-05-23,-43.2400
2025-05-22,-44.2956
2025-05-21,-34.1454
2025-05-20,-9.4600
2025-05-19,-2.9384
2025-05-16,-4.6975
2025-05-15,-2.7060
2025-05-14,-11.2817
2025-05-13,-3.6928
2025-05-12,-5.0484
2025-05-09,-23.0675
2025-05-08,-7.8808
2025-05-07,-3.6630
2025-05-06,-4.1554
2025-05-05,-2.4448
2025-05-02,-15.2209
2025-05-01,-38.8757
2025-04-30,-30.2009
2025-04-29,-39.9600
2025-04-28,-52.9319
2025-04-25,-67.9922
2025-04-24,-73.2430
2025-04-23,-11.2943
2025-04-22,-8.5296
2025-04-21,-24.5831
2025-04-17,-15.5900
2025-04-16,-33.3426
2025-04-15,-31.5748
2025-04-14,-35.8579
2025-04-11,-45.2076
2025-04-10,-60.6947
2025-04-09,-45.6516
2025-04-08,-83.6012
2025-04-07,-71.6725
2025-04-04,-97.8134
2025-04-03,-68.4576
2025-04-02,-25.3861
2025-04-01,-23.2803
2025-03-31,-33.1072
2025-03-28,-61.0709
2025-03-27,-48.3741
2025-03-26,-24.6467
2025-03-25,-27.1745
2025-03-24,-42.3598
2025-03-21,-77.2600
2025-03-20,-79.1419
2025-03-19,-57.1659
2025-03-18,-78.7243
2025-03-17,-54.4207
2025-03-14,-73.0723
2025-03-13,-88.2102
2025-03-12,-79.0871
2025-03-11,-82.2844
2025-03-10,-44.9038
2025-03-07,-12.3508
2025-03-06,-88.2449
2025-03-05,-74.0701
2025-03-04,-64.0431
2025-03-03,-80.3235
2025-02-28,-68.1941
2025-02-27,-98.5050
2025-02-26,-70.7728
2025-02-25,-50.5858
2025-02-24,-17.6729
2025-02-21,-19.8134
2025-02-20,-1.9210
2025-02-19,-0.2287
2025-02-18,-5.2354
2025-02-14,-15.6404
2025-02-13,-27.8758
2025-02-12,-43.8064
2025-02-11,-22.1806
2025-02-10,-33.6291
2025-02-07,-29.1630
2025-02-06,-26.7655
2025-02-05,-5.2746
2025-02-04,-1.7397
2025-02-03,-3.1502
2025-01-31,-14.5377
2025-01-30,-7.9469
2025-01-29,-6.9479
2025-01-28,-13.9408
2025-01-27,-25.8567
2025-01-24,-20.6386
2025-01-23,-10.9813
2025-01-22,-32.6324
2025-01-21,-24.8442
2025-01-17,-15.8747
2025-01-16,-33.4766
2025-01-15,-55.2103
2025-01-14,-74.0517
2025-01-13,-77.8447
2025-01-10,-70.2351
2025-01-08,-38.7554
2025-01-07,-30.1943
2025-01-06,-49.7258
2025-01-03,-49.9241
2025-01-02,-79.5365
2024-12-31,-82.6446
2024-12-30,-80.5819
2024-12-27,-79.9927
2024-12-26,-64.9351
2024-12-24,-68.3983
2024-12-23,-86.7688
2024-12-20,-82.7640
2024-12-19,-79.8654
2024-12-18,-99.2754
2024-12-17,-83.2398
2024-12-16,-79.0221
2024-12-13,-61.6329
2024-12-12,-51.2283
2024-12-11,-61.2069
2024-12-10,-50.5968
2024-12-09,-55.9880
2024-12-06,-1.9440
2024-12-05,-8.3295
2024-12-04,-1.0431
2024-12-03,-5.6268
2024-12-02,-11.8848
2024-11-29,-11.2210
2024-11-27,-9.0366
2024-11-26,-0.6022
2024-11-25,-4.6260
2024-11-22,-18.2879
2024-11-21,-1.2392
2024-11-20,-3.6353
2024-11-19,-43.4441
2024-11-18,-62.5511
2024-11-15,-90.6243
2024-11-14,-54.4008
2024-11-13,-31.1564
2024-11-12,-31.6149
2024-11-11,-23.7301
2024-11-08,-22.5929
2024-11-07,-32.7609
2024-11-06,-43.3464
2024-11-05,-86.3895
2024-11-04,-90.5800
2024-11-01,-84.1100
2024-10-31,-89.2390
