time,DEMA
2026-05-15,227.6904
2026-05-08,230.2745
2026-05-01,233.3235
2026-04-24,238.6336
2026-04-17,235.0023
2026-04-10,239.9016
2026-04-02,240.4247
2026-03-27,246.0596
2026-03-20,250.1451
2026-03-13,255.3748
2026-03-06,259.4137
2026-02-27,273.8387
2026-02-20,285.1815
2026-02-13,298.3814
2026-02-06,300.6224
2026-01-30,298.4591
2026-01-23,301.7721
2026-01-16,302.5153
2026-01-09,302.8176
2026-01-02,306.0702
2025-12-26,306.3353
2025-12-19,308.0407
2025-12-12,306.5595
2025-12-05,303.9899
2025-11-28,301.5973
2025-11-21,301.2822
2025-11-14,297.7040
2025-11-07,292.0127
2025-10-31,284.2581
2025-10-24,273.6550
2025-10-17,270.8074
2025-10-10,267.4517
2025-10-03,258.9470
2025-09-26,248.5849
2025-09-19,243.1501
2025-09-12,241.4466
2025-09-05,241.6448
2025-08-29,245.4333
2025-08-22,249.9246
2025-08-15,257.3576
2025-08-08,266.2011
2025-08-01,274.9199
2025-07-25,282.4466
2025-07-18,281.0127
2025-07-11,280.2759
2025-07-03,274.7611
2025-06-27,267.7170
2025-06-20,262.0013
2025-06-13,255.1005
2025-06-06,250.4964
2025-05-30,248.5973
2025-05-23,244.5329
2025-05-16,237.0232
2025-05-09,232.4913
2025-05-02,230.8996
2025-04-25,233.4583
2025-04-17,234.6472
2025-04-11,235.4867
2025-04-04,245.4139
2025-03-28,248.4945
2025-03-21,250.4663
2025-03-14,252.0349
2025-03-07,248.5534
2025-02-28,246.5242
2025-02-21,240.5891
2025-02-14,232.1624
2025-02-07,225.4000
2025-01-31,216.2241
2025-01-24,216.7446
2025-01-17,216.1766
2025-01-10,218.3759
2025-01-03,219.0431
2024-12-27,220.8679
2024-12-20,222.1927
2024-12-13,220.3975
2024-12-06,214.6842
2024-11-29,211.3428
2024-11-22,208.4959
2024-11-15,211.5472
2024-11-08,213.0482
2024-11-01,217.7375
2024-10-25,220.4468
2024-10-18,217.1006
2024-10-11,211.2769
2024-10-04,206.6260
2024-09-27,202.1032
2024-09-20,196.8899
2024-09-13,190.5528
2024-09-06,187.7636
2024-08-30,183.8550
2024-08-23,180.9599
2024-08-16,177.8526
2024-08-09,174.6623
2024-08-02,173.8038
2024-07-26,168.9321
2024-07-19,166.4508
2024-07-12,163.1017
2024-07-05,161.5432
2024-06-28,160.7247
2024-06-21,159.0173
2024-06-14,159.4144
2024-06-07,159.6879
2024-05-31,161.3984
2024-05-24,162.1244
2024-05-17,163.7717
2024-05-10,166.6719
2024-05-03,171.7165
2024-04-26,178.0995
2024-04-19,180.3177
2024-04-12,181.8675
2024-04-05,182.2577
2024-03-28,182.2776
2024-03-22,181.9869
2024-03-15,180.7672
