time,EMA
2026-05-15,241.2583
2026-05-08,244.0580
2026-05-01,247.1139
2026-04-24,251.3013
2026-04-17,250.8931
2026-04-10,255.1084
2026-04-02,257.0596
2026-03-27,261.7254
2026-03-20,265.5088
2026-03-13,269.8307
2026-03-06,273.4564
2026-02-27,282.2291
2026-02-20,288.8328
2026-02-13,295.8385
2026-02-06,296.6764
2026-01-30,295.1563
2026-01-23,296.4459
2026-01-16,296.2257
2026-01-09,295.6780
2026-01-02,296.5110
2025-12-26,295.5814
2025-12-19,295.2393
2025-12-12,293.0763
2025-12-05,290.2933
2025-11-28,287.5752
2025-11-21,285.8596
2025-11-14,282.3569
2025-11-07,277.8060
2025-10-31,272.3502
2025-10-24,265.7255
2025-10-17,263.4207
2025-10-10,260.9221
2025-10-03,255.9442
2025-09-26,250.4295
2025-09-19,247.9171
2025-09-12,247.5950
2025-09-05,248.3772
2025-08-29,251.0196
2025-08-22,253.8859
2025-08-15,258.0426
2025-08-08,262.5404
2025-08-01,266.4931
2025-07-25,269.3201
2025-07-18,267.1447
2025-07-11,265.2354
2025-07-03,260.8068
2025-06-27,255.7343
2025-06-20,251.5450
2025-06-13,246.9328
2025-06-06,243.7232
2025-05-30,242.0211
2025-05-23,239.2582
2025-05-16,234.9173
2025-05-09,232.4173
2025-05-02,231.6133
2025-04-25,232.9719
2025-04-17,233.5123
2025-04-11,233.8059
2025-04-04,238.5828
2025-03-28,239.3641
2025-03-21,239.3355
2025-03-14,238.8831
2025-03-07,235.6810
2025-02-28,233.2361
2025-02-21,228.7921
2025-02-14,223.2680
2025-02-07,218.8985
2025-01-31,213.5882
2025-01-24,213.5556
2025-01-17,212.9172
2025-01-10,213.6547
2025-01-03,213.4637
2024-12-27,213.7562
2024-12-20,213.6284
2024-12-13,211.7792
2024-12-06,207.9650
2024-11-29,205.5477
2024-11-22,203.4804
2024-11-15,204.4488
2024-11-08,204.4106
2024-11-01,205.7954
2024-10-25,205.8232
2024-10-18,202.5253
2024-10-11,197.9939
2024-10-04,194.1926
2024-09-27,190.5497
2024-09-20,186.6593
2024-09-13,182.3541
2024-09-06,180.0485
2024-08-30,177.2370
2024-08-23,175.0541
2024-08-16,172.8442
2024-08-09,170.6926
2024-08-02,169.8223
2024-07-26,166.9440
2024-07-19,165.4825
2024-07-12,163.7003
2024-07-05,162.9876
2024-06-28,162.7389
2024-06-21,162.1089
2024-06-14,162.6510
2024-06-07,163.1474
2024-05-31,164.3870
2024-05-24,165.0821
2024-05-17,166.2344
2024-05-10,167.9581
2024-05-03,170.6233
2024-04-26,173.6934
2024-04-19,174.3129
2024-04-12,174.4205
2024-04-05,173.7882
2024-03-28,172.8572
2024-03-22,171.6651
2024-03-15,169.9084
2024-03-08,167.0556
2024-03-01,165.0947
2024-02-23,163.1476
2024-02-16,160.3432
2024-02-09,157.2779
2024-02-02,153.9571
2024-01-26,149.4961
2024-01-19,147.0640
2024-01-12,145.5398
2024-01-05,145.1436
2023-12-29,143.8053
2023-12-22,142.2934
2023-12-15,140.4455
2023-12-08,138.0941
2023-12-01,135.7132
2023-11-24,133.8967
2023-11-17,132.1881
2023-11-10,130.9354
2023-11-03,129.8634
2023-10-27,129.5120
2023-10-20,130.4208
2023-10-13,130.9908
2023-10-06,131.0715
2023-09-29,131.6312
2023-09-22,130.9831
2023-09-15,130.3543
2023-09-08,129.0145
2023-09-01,127.5116
2023-08-25,126.1847
2023-08-18,125.3769
2023-08-11,124.0571
2023-08-04,122.3868
2023-07-28,120.5852
2023-07-21,119.2827
2023-07-14,118.9188
2023-07-07,118.7764
2023-06-30,118.2677
2023-06-23,118.4586
2023-06-16,117.2864
2023-06-09,115.9263
2023-06-02,114.8447
2023-05-26,114.2407
2023-05-19,113.9177
2023-05-12,114.4305
2023-05-05,115.2411
2023-04-28,115.7167
2023-04-21,116.4572
2023-04-14,116.8151
2023-04-06,116.9483
2023-03-31,116.8842
2023-03-24,117.7011
2023-03-17,119.1292
2023-03-10,120.7075
2023-03-03,121.7435
2023-02-24,122.6555
2023-02-17,123.2570
2023-02-10,123.5944
2023-02-03,124.3698
2023-01-27,125.6142
2023-01-20,125.7439
2023-01-13,124.9161
2023-01-06,124.3641
2022-12-30,124.2750
2022-12-23,124.0423
2022-12-16,124.0664
2022-12-09,122.5907
2022-12-02,120.7635
2022-11-25,118.5224
2022-11-18,115.8678
2022-11-11,113.5900
2022-11-04,112.3016
2022-10-28,110.4513
2022-10-21,109.5799
2022-10-14,110.2819
2022-10-07,111.5300
2022-09-30,112.9838
2022-09-23,114.3450
2022-09-16,115.1952
2022-09-09,115.4887
2022-09-02,116.3388
2022-08-26,116.9524
2022-08-19,116.2152
2022-08-12,116.2247
2022-08-05,116.5344
2022-07-29,117.3635
2022-07-22,118.8197
2022-07-15,118.3544
2022-07-08,117.6957
2022-07-01,117.0151
2022-06-24,115.7443
2022-06-17,115.4104
2022-06-10,115.3724
2022-06-03,113.5984
2022-05-27,112.3467
2022-05-20,112.4849
2022-05-13,111.9635
2022-05-06,111.0751
2022-04-29,110.5687
2022-04-22,109.0805
2022-04-14,109.3431
2022-04-08,109.4083
2022-04-01,109.0506
2022-03-25,108.5072
2022-03-18,108.1878
2022-03-11,108.6592
2022-03-04,108.8528
2022-02-25,109.8961
2022-02-18,110.7945
2022-02-11,110.3035
2022-02-04,109.0987
2022-01-28,108.2549
2022-01-21,108.3649
2022-01-14,107.5713
2022-01-07,106.3169
2021-12-31,104.8587
2021-12-23,103.7200
2021-12-17,103.2469
2021-12-10,103.0354
2021-12-03,103.5926
2021-11-26,104.4196
2021-11-19,105.9206
2021-11-12,107.0928
2021-11-05,108.0044
2021-10-29,109.9372
2021-10-22,111.8618
2021-10-15,111.3075
2021-10-08,110.7184
2021-10-01,110.1324
2021-09-24,110.2597
2021-09-17,111.1318
2021-09-10,111.4036
2021-09-03,111.5153
2021-08-27,111.6781
2021-08-20,111.8560
2021-08-13,111.4364
2021-08-06,111.1053
2021-07-30,111.1194
2021-07-23,111.1472
2021-07-16,112.0429
2021-07-09,112.2689
2021-07-02,112.7963
2021-06-25,112.2163
2021-06-18,112.0132
2021-06-11,110.6138
2021-06-04,109.4545
2021-05-28,108.4826
2021-05-21,107.2841
2021-05-14,105.9275
2021-05-07,104.0322
2021-04-30,102.3426
2021-04-23,100.5172
2021-04-16,99.8078
2021-04-09,98.6957
2021-04-01,97.5745
2021-03-26,95.8005
2021-03-19,94.9226
2021-03-12,93.9756
2021-03-05,93.6427
2021-02-26,93.6913
2021-02-19,94.0697
2021-02-12,94.2477
2021-02-05,94.3177
2021-01-29,94.8664
2021-01-22,95.7306
2021-01-15,94.9964
2021-01-08,94.3255
2020-12-31,93.8630
2020-12-24,93.4254
2020-12-18,93.0829
2020-12-11,92.4345
2020-12-04,91.4428
2020-11-27,90.6376
2020-11-20,90.7889
2020-11-13,90.8257
2020-11-06,90.9423
2020-10-30,92.2418
2020-10-23,93.5280
2020-10-16,93.0268
2020-10-09,92.2011
2020-10-02,92.2377
2020-09-25,92.4956
2020-09-18,92.8260
2020-09-11,92.9141
2020-09-04,93.0555
2020-08-28,92.7095
2020-08-21,92.5318
2020-08-14,92.0694
2020-08-07,91.4758
2020-07-31,91.3395
2020-07-24,90.9476
2020-07-17,90.2681
2020-07-10,90.4798
2020-07-02,90.4950
2020-06-26,91.0555
2020-06-19,91.0544
2020-06-12,91.5387
2020-06-05,89.9631
2020-05-29,89.3018
2020-05-22,89.0469
2020-05-15,88.9707
2020-05-08,88.5578
2020-05-01,88.4828
2020-04-24,87.6160
2020-04-17,87.6047
2020-04-09,87.1855
2020-04-03,88.5173
2020-03-27,90.5147
2020-03-20,95.1616
2020-03-13,100.2852
2020-03-06,102.9242
2020-02-28,104.4181
2020-02-21,103.8307
2020-02-14,102.4129
2020-02-07,100.1601
2020-01-31,99.0789
2020-01-24,98.6877
2020-01-17,98.3213
2020-01-10,98.2504
2020-01-03,98.4971
2019-12-27,98.5106
2019-12-20,98.4333
2019-12-13,98.4747
2019-12-06,98.7825
2019-11-29,98.9808
2019-11-22,99.2199
2019-11-15,99.5396
2019-11-08,99.4611
2019-11-01,99.7769
2019-10-25,100.2013
2019-10-18,101.2620
2019-10-11,101.0074
2019-10-04,100.7041
2019-09-27,100.0983
2019-09-20,99.7641
2019-09-13,99.1366
2019-09-06,98.6846
2019-08-30,99.0502
2019-08-23,100.1046
2019-08-16,100.7808
2019-08-09,101.4826
2019-08-02,101.1150
2019-07-26,99.6967
2019-07-19,98.1133
2019-07-12,97.3273
2019-07-05,96.6576
2019-06-28,96.0682
2019-06-21,95.4112
2019-06-14,95.2104
2019-06-07,95.1246
2019-05-31,96.1707
2019-05-24,96.6541
2019-05-17,97.0235
2019-05-10,97.5146
2019-05-03,97.5799
2019-04-26,97.5268
2019-04-18,97.4198
2019-04-12,96.5110
2019-04-05,95.6158
2019-03-29,94.7577
2019-03-22,94.0915
2019-03-15,93.1570
2019-03-08,92.6085
2019-03-01,91.3195
2019-02-22,89.7424
2019-02-15,88.1570
2019-02-08,86.7692
2019-02-01,85.3591
2019-01-25,83.7776
2019-01-18,83.3579
2019-01-11,83.2755
2019-01-04,83.6397
2018-12-28,84.7285
2018-12-21,86.5890
2018-12-14,87.4470
2018-12-07,88.3923
2018-11-30,88.6320
2018-11-23,90.0522
2018-11-16,91.2845
2018-11-09,92.5021
2018-11-02,95.3579
2018-10-26,98.3545
2018-10-19,100.4557
2018-10-12,101.3774
2018-10-05,101.2660
2018-09-28,100.6404
2018-09-21,99.9688
2018-09-14,99.5535
