time,KAMA
2025-11-07,286.6801
2025-10-31,278.7567
2025-10-24,267.6995
2025-10-17,264.7273
2025-10-10,262.9711
2025-10-03,260.0722
2025-09-26,259.9246
2025-09-19,259.7160
2025-09-12,260.5378
2025-09-05,262.8435
2025-08-29,266.6312
2025-08-22,269.9529
2025-08-15,272.1632
2025-08-08,272.9250
2025-08-01,273.3569
2025-07-25,273.5150
2025-07-18,271.8828
2025-07-11,270.2652
2025-07-03,261.6380
2025-06-27,253.7119
2025-06-20,247.9437
2025-06-13,239.4080
2025-06-06,238.0045
2025-05-30,237.6416
2025-05-23,237.1522
2025-05-16,236.8989
2025-05-09,236.8349
2025-05-02,236.7169
2025-04-25,237.2834
2025-04-17,237.3399
2025-04-11,237.3561
2025-04-04,237.4709
2025-03-28,237.3745
2025-03-21,236.7284
2025-03-14,236.0260
2025-03-07,231.3979
2025-02-28,228.4318
2025-02-21,224.4178
2025-02-14,221.8129
2025-02-07,219.8992
2025-01-31,217.4976
2025-01-24,217.4879
2025-01-17,217.3972
2025-01-10,217.5114
2025-01-03,217.4906
2024-12-27,217.5136
2024-12-20,217.4999
2024-12-13,217.3843
2024-12-06,216.6916
2024-11-29,216.5367
2024-11-22,216.4895
2024-11-15,216.6961
2024-11-08,216.9771
2024-11-01,217.4542
2024-10-25,218.1847
2024-10-18,214.4141
2024-10-11,204.2843
2024-10-04,200.2028
2024-09-27,195.8594
2024-09-20,191.2145
2024-09-13,185.3380
2024-09-06,182.5802
2024-08-30,179.6993
2024-08-23,177.4014
2024-08-16,175.4075
2024-08-09,173.4821
2024-08-02,173.1686
2024-07-26,169.6426
2024-07-19,168.2718
2024-07-12,166.4118
2024-07-05,165.9933
2024-06-28,165.9531
2024-06-21,165.8387
2024-06-14,166.3679
2024-06-07,166.8576
2024-05-31,168.5857
2024-05-24,169.6579
2024-05-17,172.0720
2024-05-10,173.5989
2024-05-03,175.8841
2024-04-26,178.5311
2024-04-19,178.6259
2024-04-12,178.6436
2024-04-05,178.5964
2024-03-28,178.1664
2024-03-22,177.4287
2024-03-15,175.7276
2024-03-08,172.7444
2024-03-01,171.1934
2024-02-23,169.8589
2024-02-16,167.2760
2024-02-09,164.3850
2024-02-02,160.9674
2024-01-26,154.2033
2024-01-19,151.0956
2024-01-12,149.4405
2024-01-05,149.2744
2023-12-29,145.8679
2023-12-22,142.6599
2023-12-15,139.9306
2023-12-08,135.8533
2023-12-01,134.3115
2023-11-24,133.4848
2023-11-17,133.2019
2023-11-10,133.1198
2023-11-03,133.0559
2023-10-27,133.0477
2023-10-20,133.2880
2023-10-13,133.3724
2023-10-06,133.3738
2023-09-29,133.4094
2023-09-22,132.5679
2023-09-15,131.6730
2023-09-08,129.4185
2023-09-01,126.3100
2023-08-25,125.5651
2023-08-18,125.2400
2023-08-11,124.3853
2023-08-04,123.0493
2023-07-28,121.6055
2023-07-21,120.5508
2023-07-14,120.2889
2023-07-07,120.2197
2023-06-30,119.9836
2023-06-23,119.9899
2023-06-16,119.4217
2023-06-09,119.0178
2023-06-02,118.6937
2023-05-26,118.6240
2023-05-19,118.6491
2023-05-12,118.8596
2023-05-05,119.3276
2023-04-28,119.6477
2023-04-21,120.2757
2023-04-14,120.4418
2023-04-06,120.4828
2023-03-31,120.5519
2023-03-24,121.8088
2023-03-17,123.7838
2023-03-10,125.0275
2023-03-03,125.6599
2023-02-24,125.9554
2023-02-17,126.2984
2023-02-10,126.4717
2023-02-03,126.9333
2023-01-27,127.7655
2023-01-20,127.7690
2023-01-13,127.3404
2023-01-06,127.2004
2022-12-30,127.2102
2022-12-23,127.1305
2022-12-16,127.2896
2022-12-09,124.0604
2022-12-02,120.4420
2022-11-25,117.7037
2022-11-18,115.8333
2022-11-11,114.4829
2022-11-04,114.2466
2022-10-28,114.2034
2022-10-21,114.1818
2022-10-14,114.5685
2022-10-07,115.0664
2022-09-30,115.3533
2022-09-23,115.9540
2022-09-16,116.1886
2022-09-09,116.1962
2022-09-02,116.4025
2022-08-26,116.4143
2022-08-19,116.2546
2022-08-12,116.1728
2022-08-05,116.1573
2022-07-29,116.1654
2022-07-22,116.2144
2022-07-15,116.0478
2022-07-08,115.7404
2022-07-01,115.6377
2022-06-24,114.9800
2022-06-17,114.8289
2022-06-10,114.7797
2022-06-03,113.9479
2022-05-27,113.5085
2022-05-20,113.4983
2022-05-13,113.3261
2022-05-06,112.8536
2022-04-29,112.7226
2022-04-22,112.5816
2022-04-14,112.7537
2022-04-08,112.7913
2022-04-01,112.7863
2022-03-25,112.7821
2022-03-18,112.7940
2022-03-11,112.9883
2022-03-04,113.0245
2022-02-25,113.0889
2022-02-18,113.1372
2022-02-11,112.9036
2022-02-04,111.8295
2022-01-28,111.1680
2022-01-21,111.2557
2022-01-14,110.9662
2022-01-07,110.1075
2021-12-31,109.5063
2021-12-23,109.4580
2021-12-17,109.5365
2021-12-10,109.7421
2021-12-03,110.1749
2021-11-26,110.4512
2021-11-19,111.3223
2021-11-12,111.8987
2021-11-05,112.2332
2021-10-29,113.4502
2021-10-22,114.6703
2021-10-15,114.6452
2021-10-08,114.6062
2021-10-01,114.5874
2021-09-24,114.6547
2021-09-17,114.9764
2021-09-10,114.9893
2021-09-03,115.0720
2021-08-27,115.1087
2021-08-20,115.2265
2021-08-13,115.2185
2021-08-06,115.2198
2021-07-30,115.2554
2021-07-23,115.2864
2021-07-16,115.6907
2021-07-09,115.7076
2021-07-02,115.7330
2021-06-25,115.4704
2021-06-18,115.4901
2021-06-11,113.5648
2021-06-04,112.7124
2021-05-28,111.9019
2021-05-21,110.8328
2021-05-14,109.4248
2021-05-07,106.5378
2021-04-30,103.7511
2021-04-23,101.2397
2021-04-16,100.5566
2021-04-09,99.0179
2021-04-01,97.3884
2021-03-26,96.9084
2021-03-19,96.8480
2021-03-12,96.7668
2021-03-05,96.7640
2021-02-26,96.7853
2021-02-19,96.9115
2021-02-12,96.9812
2021-02-05,96.9945
2021-01-29,97.0418
2021-01-22,97.0661
2021-01-15,96.1390
2021-01-08,94.9426
2020-12-31,94.3211
2020-12-24,94.3069
2020-12-18,94.2800
2020-12-11,94.2066
2020-12-04,94.0566
2020-11-27,93.9928
2020-11-20,94.0297
2020-11-13,94.0489
2020-11-06,94.1048
2020-10-30,94.7906
2020-10-23,95.3917
2020-10-16,95.3635
2020-10-09,95.1399
2020-10-02,95.1613
2020-09-25,95.2905
2020-09-18,95.3351
2020-09-11,95.3603
2020-09-04,95.4249
2020-08-28,95.3923
2020-08-21,95.3986
2020-08-14,95.3757
2020-08-07,95.3650
2020-07-31,95.3789
2020-07-24,95.3884
2020-07-17,95.3829
2020-07-10,95.4062
