time,T3
2026-05-15,241.4084
2026-05-08,245.3908
2026-05-01,249.6949
2026-04-24,254.3522
2026-04-17,259.4363
2026-04-10,265.3046
2026-04-02,271.4044
2026-03-27,277.8034
2026-03-20,284.0611
2026-03-13,290.0649
2026-03-06,295.4699
2026-02-27,299.8967
2026-02-20,302.6643
2026-02-13,304.0518
2026-02-06,304.3182
2026-01-30,304.2588
2026-01-23,303.9470
2026-01-16,303.0047
2026-01-09,301.5190
2026-01-02,299.3890
2025-12-26,296.4591
2025-12-19,292.9076
2025-12-12,288.7446
2025-12-05,284.2265
2025-11-28,279.4418
2025-11-21,274.4359
2025-11-14,269.3271
2025-11-07,264.5760
2025-10-31,260.5320
2025-10-24,257.4560
2025-10-17,255.4352
2025-10-10,254.1556
2025-10-03,253.9361
2025-09-26,255.1459
2025-09-19,257.6393
2025-09-12,260.8044
2025-09-05,264.1221
2025-08-29,267.1437
2025-08-22,269.3688
2025-08-15,270.4680
2025-08-08,270.0881
2025-08-01,268.1449
2025-07-25,264.8359
2025-07-18,260.6320
2025-07-11,256.2908
2025-07-03,252.0358
2025-06-27,248.3219
2025-06-20,245.2869
2025-06-13,242.9047
2025-06-06,241.2184
2025-05-30,240.0812
2025-05-23,239.4591
2025-05-16,239.5664
2025-05-09,240.4292
2025-05-02,241.5954
2025-04-25,242.6210
2025-04-17,243.1205
2025-04-11,242.9966
2025-04-04,241.9875
2025-03-28,239.6996
2025-03-21,236.6994
2025-03-14,233.2045
2025-03-07,229.5052
2025-02-28,226.0695
2025-02-21,223.0565
2025-02-14,220.8660
2025-02-07,219.6196
2025-01-31,219.1201
2025-01-24,219.1512
2025-01-17,218.9935
2025-01-10,218.6118
2025-01-03,217.8403
2024-12-27,216.7745
2024-12-20,215.4255
2024-12-13,213.9845
2024-12-06,212.7303
2024-11-29,211.7434
2024-11-22,210.6594
2024-11-15,209.1540
2024-11-08,206.7788
2024-11-01,203.5751
2024-10-25,199.5156
2024-10-18,195.0307
2024-10-11,190.6620
2024-10-04,186.5875
2024-09-27,182.7763
2024-09-20,179.2857
2024-09-13,176.1912
2024-09-06,173.4923
2024-08-30,171.0055
2024-08-23,168.8208
2024-08-16,166.9207
2024-08-09,165.3644
2024-08-02,164.1881
2024-07-26,163.3997
2024-07-19,163.2516
2024-07-12,163.6194
2024-07-05,164.5227
2024-06-28,165.8323
2024-06-21,167.5009
2024-06-14,169.4997
2024-06-07,171.6384
2024-05-31,173.8341
2024-05-24,175.9274
2024-05-17,177.8346
2024-05-10,179.3173
2024-05-03,180.1292
2024-04-26,180.0767
2024-04-19,179.1847
2024-04-12,177.7521
2024-04-05,175.8460
2024-03-28,173.5530
2024-03-22,170.9227
2024-03-15,168.0322
2024-03-08,165.0028
2024-03-01,161.9441
2024-02-23,158.7943
2024-02-16,155.6597
2024-02-09,152.7320
2024-02-02,150.1196
2024-01-26,147.9005
2024-01-19,146.0849
2024-01-12,144.3410
2024-01-05,142.5187
2023-12-29,140.5629
2023-12-22,138.6607
2023-12-15,136.9202
2023-12-08,135.4688
2023-12-01,134.4104
2023-11-24,133.7472
2023-11-17,133.4069
2023-11-10,133.3357
2023-11-03,133.4145
2023-10-27,133.5081
2023-10-20,133.4076
2023-10-13,132.9320
2023-10-06,132.1136
2023-09-29,130.9906
2023-09-22,129.5682
2023-09-15,128.0204
2023-09-08,126.3995
2023-09-01,124.8157
2023-08-25,123.2915
2023-08-18,121.8132
2023-08-11,120.3828
2023-08-04,119.1144
2023-07-28,118.0647
2023-07-21,117.2114
2023-07-14,116.4411
2023-07-07,115.6421
2023-06-30,114.8300
2023-06-23,114.0846
2023-06-16,113.4495
2023-06-09,113.1509
2023-06-02,113.2223
2023-05-26,113.6138
2023-05-19,114.2430
2023-05-12,115.0291
2023-05-05,115.8631
2023-04-28,116.7358
2023-04-21,117.6989
2023-04-14,118.7562
2023-04-06,119.9680
2023-03-31,121.3345
2023-03-24,122.7827
2023-03-17,124.1215
2023-03-10,125.2331
2023-03-03,126.0912
2023-02-24,126.7350
2023-02-17,127.1509
2023-02-10,127.3294
2023-02-03,127.2235
2023-01-27,126.7342
2023-01-20,125.8488
2023-01-13,124.7261
2023-01-06,123.4334
2022-12-30,121.8917
2022-12-23,120.0562
2022-12-16,117.9975
2022-12-09,115.8427
2022-12-02,113.8987
2022-11-25,112.3317
2022-11-18,111.2946
2022-11-11,110.8751
2022-11-04,111.0263
2022-10-28,111.6510
2022-10-21,112.7250
2022-10-14,113.9934
2022-10-07,115.1856
2022-09-30,116.1928
2022-09-23,116.9810
2022-09-16,117.5797
2022-09-09,118.0595
2022-09-02,118.4551
2022-08-26,118.7157
2022-08-19,118.9076
2022-08-12,119.1144
2022-08-05,119.1675
2022-07-29,118.9601
2022-07-22,118.4112
2022-07-15,117.5531
2022-07-08,116.6509
2022-07-01,115.7439
2022-06-24,114.8571
2022-06-17,114.0259
2022-06-10,113.1618
2022-06-03,112.3270
2022-05-27,111.7027
2022-05-20,111.1704
2022-05-13,110.6151
2022-05-06,110.1590
2022-04-29,109.8532
2022-04-22,109.6783
2022-04-14,109.6669
2022-04-08,109.6149
2022-04-01,109.5693
2022-03-25,109.5707
2022-03-18,109.5858
2022-03-11,109.5055
2022-03-04,109.1953
2022-02-25,108.6329
2022-02-18,107.7499
2022-02-11,106.6746
2022-02-04,105.6406
2022-01-28,104.7375
2022-01-21,103.9317
2022-01-14,103.2237
2022-01-07,102.8226
2021-12-31,102.8445
2021-12-23,103.3206
2021-12-17,104.1808
2021-12-10,105.3060
2021-12-03,106.5911
2021-11-26,107.8794
2021-11-19,109.0672
2021-11-12,110.0486
2021-11-05,110.8283
2021-10-29,111.3757
2021-10-22,111.6135
2021-10-15,111.6999
2021-10-08,111.9587
2021-10-01,112.3721
2021-09-24,112.8746
2021-09-17,113.3322
2021-09-10,113.6784
2021-09-03,113.9916
2021-08-27,114.2851
2021-08-20,114.5531
2021-08-13,114.8070
2021-08-06,115.0798
2021-07-30,115.2920
2021-07-23,115.3319
2021-07-16,115.1086
2021-07-09,114.5042
2021-07-02,113.5759
2021-06-25,112.3261
2021-06-18,110.8874
2021-06-11,109.2710
2021-06-04,107.6166
2021-05-28,105.8992
2021-05-21,104.1352
2021-05-14,102.4028
2021-05-07,100.7818
2021-04-30,99.3585
2021-04-23,98.1244
2021-04-16,97.0748
2021-04-09,96.1312
2021-04-01,95.3934
2021-03-26,94.9123
2021-03-19,94.7350
2021-03-12,94.7386
2021-03-05,94.8779
2021-02-26,95.0290
2021-02-19,95.1066
2021-02-12,95.0572
2021-02-05,94.8823
2021-01-29,94.5588
2021-01-22,94.0413
2021-01-15,93.3924
2021-01-08,92.8263
2020-12-31,92.3417
2020-12-24,91.9348
2020-12-18,91.6333
2020-12-11,91.4746
2020-12-04,91.5268
2020-11-27,91.8070
2020-11-20,92.2264
2020-11-13,92.6410
2020-11-06,93.0147
2020-10-30,93.2616
2020-10-23,93.2632
2020-10-16,93.1265
2020-10-09,93.0741
2020-10-02,93.0782
2020-09-25,92.9988
2020-09-18,92.7956
2020-09-11,92.4679
2020-09-04,92.0519
2020-08-28,91.5710
2020-08-21,91.0908
2020-08-14,90.6143
2020-08-07,90.1837
2020-07-31,89.7990
2020-07-24,89.4176
2020-07-17,89.0656
2020-07-10,88.7224
2020-07-02,88.2739
2020-06-26,87.7350
2020-06-19,87.0958
2020-06-12,86.4813
2020-06-05,85.9790
2020-05-29,85.8454
2020-05-22,85.9950
2020-05-15,86.4351
2020-05-08,87.2251
2020-05-01,88.4591
2020-04-24,90.1582
2020-04-17,92.3691
2020-04-09,94.9087
2020-04-03,97.5941
2020-03-27,99.9712
2020-03-20,101.6759
2020-03-13,102.3111
2020-03-06,101.9617
2020-02-28,101.0741
2020-02-21,99.9773
2020-02-14,99.0443
2020-02-07,98.4399
2020-01-31,98.2121
2020-01-24,98.1816
2020-01-17,98.2591
2020-01-10,98.4248
2020-01-03,98.6323
2019-12-27,98.8593
2019-12-20,99.1383
2019-12-13,99.4665
2019-12-06,99.8097
2019-11-29,100.1321
2019-11-22,100.4363
2019-11-15,100.7059
2019-11-08,100.9286
2019-11-01,101.1110
2019-10-25,101.1778
2019-10-18,101.1047
2019-10-11,100.8969
2019-10-04,100.7425
2019-09-27,100.6678
2019-09-20,100.6982
2019-09-13,100.7911
2019-09-06,100.9236
2019-08-30,100.9768
2019-08-23,100.7856
2019-08-16,100.2801
2019-08-09,99.5496
2019-08-02,98.7073
2019-07-26,97.9890
2019-07-19,97.5559
2019-07-12,97.4058
2019-07-05,97.4457
2019-06-28,97.6623
2019-06-21,98.0307
2019-06-14,98.5014
2019-06-07,98.9520
2019-05-31,99.2711
2019-05-24,99.3048
2019-05-17,99.0906
2019-05-10,98.6088
2019-05-03,97.8417
2019-04-26,96.8344
2019-04-18,95.6082
2019-04-12,94.2081
2019-04-05,92.7308
2019-03-29,91.1705
2019-03-22,89.5263
2019-03-15,87.8108
2019-03-08,86.0961
2019-03-01,84.4413
2019-02-22,83.0292
2019-02-15,81.9708
2019-02-08,81.3335
2019-02-01,81.1607
2019-01-25,81.4947
2019-01-18,82.3179
2019-01-11,83.4697
2019-01-04,84.8730
2018-12-28,86.4233
2018-12-21,88.0107
2018-12-14,89.6021
2018-12-07,91.3271
2018-11-30,93.1704
2018-11-23,95.1122
2018-11-16,96.9362
2018-11-09,98.5511
2018-11-02,99.7849
2018-10-26,100.3830
2018-10-19,100.3780
2018-10-12,99.9705
2018-10-05,99.3904
2018-09-28,98.8117
2018-09-21,98.3079
2018-09-14,97.8771
2018-09-07,97.4878
2018-08-31,97.1326
2018-08-24,96.8338
2018-08-17,96.6310
2018-08-10,96.5334
2018-08-03,96.5392
2018-07-27,96.6867
2018-07-20,96.9713
2018-07-13,97.4210
2018-07-06,98.0005
2018-06-29,98.6293
2018-06-22,99.2467
2018-06-15,99.9057
2018-06-08,100.6675
2018-06-01,101.5294
2018-05-25,102.3964
2018-05-18,103.2464
2018-05-11,104.0667
2018-05-04,104.7893
2018-04-27,105.3477
2018-04-20,105.7550
2018-04-13,106.0168
2018-04-06,106.2819
2018-03-29,106.4334
2018-03-23,106.4758
2018-03-16,106.4080
2018-03-09,106.3431
2018-03-02,106.2262
2018-02-23,105.9458
2018-02-16,105.4948
2018-02-09,104.8401
2018-02-02,103.9566
2018-01-26,103.0123
2018-01-19,102.1775
2018-01-12,101.4166
2018-01-05,100.7925
