time,TEMA
2025-11-07,305.3108
2025-10-31,296.8138
2025-10-24,283.5715
2025-10-17,281.1866
2025-10-10,278.0787
2025-10-03,267.0750
2025-09-26,252.3139
2025-09-19,243.5986
2025-09-12,239.5475
2025-09-05,237.7310
2025-08-29,240.8861
2025-08-22,245.0880
2025-08-15,253.8860
2025-08-08,265.4825
2025-08-01,277.9555
2025-07-25,289.9444
2025-07-18,289.7340
2025-07-11,290.9505
2025-07-03,285.4361
2025-06-27,277.4849
2025-06-20,271.1679
2025-06-13,262.7576
2025-06-06,257.2906
2025-05-30,255.6263
2025-05-23,250.6914
2025-05-16,240.1681
2025-05-09,233.1976
2025-05-02,229.9667
2025-04-25,232.6307
2025-04-17,233.3504
2025-04-11,233.5002
2025-04-04,247.4411
2025-03-28,252.3541
2025-03-21,256.2275
2025-03-14,260.1258
2025-03-07,257.0475
2025-02-28,256.2605
2025-02-21,249.8370
2025-02-14,239.3537
2025-02-07,230.6628
2025-01-31,217.6125
2025-01-24,218.1182
2025-01-17,217.0175
2025-01-10,220.0372
2025-01-03,221.0547
2024-12-27,224.0131
2024-12-20,226.6253
2024-12-13,224.9150
2024-12-06,217.2506
2024-11-29,212.5854
2024-11-22,208.2910
2024-11-15,212.6108
2024-11-08,215.0668
2024-11-01,222.7747
2024-10-25,228.4825
2024-10-18,225.8962
2024-10-11,219.7016
2024-10-04,215.0945
2024-09-27,210.6159
2024-09-20,205.0112
2024-09-13,197.4742
2024-09-06,194.8882
2024-08-30,190.5938
2024-08-23,187.6542
2024-08-16,184.3118
2024-08-09,180.7017
2024-08-02,180.4569
2024-07-26,174.2214
2024-07-19,171.1298
2024-07-12,166.4715
2024-07-05,164.0948
2024-06-28,162.5778
2024-06-21,159.4861
2024-06-14,159.1876
2024-06-07,158.5278
2024-05-31,159.8297
2024-05-24,159.5828
2024-05-17,160.5280
2024-05-10,163.2808
2024-05-03,169.3984
2024-04-26,178.0482
2024-04-19,181.1862
2024-04-12,183.6791
2024-04-05,184.7666
2024-03-28,185.5574
2024-03-22,186.1524
2024-03-15,185.6279
2024-03-08,182.1565
2024-03-01,181.1856
2024-02-23,180.5653
2024-02-16,177.7292
2024-02-09,174.0298
2024-02-02,169.2765
2024-01-26,160.4989
2024-01-19,156.4356
2024-01-12,154.5865
2024-01-05,156.0710
2023-12-29,155.2925
2023-12-22,154.1404
2023-12-15,152.0415
2023-12-08,148.2722
2023-12-01,143.8912
2023-11-24,140.5292
2023-11-17,136.9578
2023-11-10,134.1483
2023-11-03,131.3796
2023-10-27,130.2723
2023-10-20,132.8073
2023-10-13,134.8987
2023-10-06,136.0393
2023-09-29,139.0234
2023-09-22,139.1385
2023-09-15,139.5597
2023-09-08,138.1405
2023-09-01,136.1676
2023-08-25,134.5446
2023-08-18,134.3778
2023-08-11,132.8240
2023-08-04,130.0761
2023-07-28,126.5215
2023-07-21,123.8686
2023-07-14,123.6074
2023-07-07,124.0379
2023-06-30,123.5149
2023-06-23,125.0925
2023-06-16,122.9260
2023-06-09,119.8000
2023-06-02,116.8889
2023-05-26,114.7934
2023-05-19,113.0409
2023-05-12,113.3605
2023-05-05,114.5328
2023-04-28,114.8099
2023-04-21,115.8376
2023-04-14,115.8018
2023-04-06,114.9580
2023-03-31,113.2039
2023-03-24,113.6117
2023-03-17,115.8033
2023-03-10,118.7688
2023-03-03,120.5968
2023-02-24,122.3622
2023-02-17,123.5126
2023-02-10,124.0861
2023-02-03,126.1249
2023-01-27,130.0663
2023-01-20,131.5359
2023-01-13,130.5401
2023-01-06,130.3367
2022-12-30,131.6698
2022-12-23,133.0368
2022-12-16,135.7034
2022-12-09,134.6255
2022-12-02,132.5362
2022-11-25,129.0130
2022-11-18,123.7120
2022-11-11,118.6006
2022-11-04,115.5076
2022-10-28,110.0545
2022-10-21,106.3715
2022-10-14,106.5726
2022-10-07,108.3151
2022-09-30,110.8974
2022-09-23,113.6191
2022-09-16,115.2714
2022-09-09,115.5208
2022-09-02,117.4846
2022-08-26,119.1266
2022-08-19,117.0039
2022-08-12,116.7211
2022-08-05,117.2914
2022-07-29,119.5747
2022-07-22,124.2963
2022-07-15,124.2544
2022-07-08,123.7577
2022-07-01,123.2386
2022-06-24,120.9563
2022-06-17,121.1865
2022-06-10,122.4990
2022-06-03,118.9370
2022-05-27,116.3470
2022-05-20,117.5441
2022-05-13,117.0701
2022-05-06,115.4717
2022-04-29,114.7847
2022-04-22,111.0211
2022-04-14,111.8394
2022-04-08,112.2446
2022-04-01,111.4705
2022-03-25,109.9889
2022-03-18,108.8833
2022-03-11,109.9467
2022-03-04,110.3788
2022-02-25,113.5052
2022-02-18,116.8943
2022-02-11,116.8566
2022-02-04,114.7554
2022-01-28,113.4195
2022-01-21,114.7989
2022-01-14,113.8002
2022-01-07,111.2705
2021-12-31,107.6369
2021-12-23,104.2086
2021-12-17,102.0233
2021-12-10,100.0590
2021-12-03,99.8701
2021-11-26,100.2853
2021-11-19,102.6622
2021-11-12,104.3719
2021-11-05,105.5076
2021-10-29,109.8826
2021-10-22,115.0874
2021-10-15,113.8270
2021-10-08,112.2200
2021-10-01,110.2868
2021-09-24,110.1002
2021-09-17,112.1140
2021-09-10,112.7056
2021-09-03,112.9398
2021-08-27,113.3973
2021-08-20,114.0259
2021-08-13,113.0051
2021-08-06,112.0819
2021-07-30,112.0537
2021-07-23,112.0991
2021-07-16,114.8546
2021-07-09,116.2352
2021-07-02,118.9615
2021-06-25,119.0646
2021-06-18,120.5591
2021-06-11,118.9644
2021-06-04,118.0269
2021-05-28,117.7218
2021-05-21,116.9265
2021-05-14,115.7521
2021-05-07,112.9533
2021-04-30,110.4388
2021-04-23,107.1949
2021-04-16,106.8533
2021-04-09,105.3742
2021-04-01,103.7093
2021-03-26,99.8320
2021-03-19,97.9616
2021-03-12,95.5340
2021-03-05,94.4848
2021-02-26,94.3707
2021-02-19,95.2258
2021-02-12,95.6440
2021-02-05,95.8270
2021-01-29,97.5244
2021-01-22,100.5803
2021-01-15,99.4790
2021-01-08,98.4289
2020-12-31,97.8707
2020-12-24,97.3389
2020-12-18,97.0472
2020-12-11,95.8164
2020-12-04,93.3199
2020-11-27,90.8753
2020-11-20,90.8058
2020-11-13,90.3247
2020-11-06,89.9310
2020-10-30,93.0068
2020-10-23,96.6601
2020-10-16,95.6489
2020-10-09,93.4683
2020-10-02,93.4707
2020-09-25,94.1481
2020-09-18,95.1968
2020-09-11,95.7508
2020-09-04,96.6221
2020-08-28,96.2411
2020-08-21,96.3493
2020-08-14,95.6677
2020-08-07,94.4926
2020-07-31,94.5033
2020-07-24,93.7652
2020-07-17,92.0144
2020-07-10,92.6152
2020-07-02,92.7357
2020-06-26,94.5435
2020-06-19,95.0311
2020-06-12,97.1308
2020-06-05,93.4277
2020-05-29,91.7508
2020-05-22,90.9316
2020-05-15,90.4288
2020-05-08,88.7142
2020-05-01,87.5606
2020-04-24,83.5997
2020-04-17,81.2083
2020-04-09,76.7941
2020-04-03,76.4508
2020-03-27,77.6777
2020-03-20,86.8678
2020-03-13,99.1609
2020-03-06,106.3423
2020-02-28,111.5719
2020-02-21,111.6767
2020-02-14,109.4325
2020-02-07,104.3102
2020-01-31,101.7693
2020-01-24,100.8295
2020-01-17,99.7716
2020-01-10,99.3808
2020-01-03,99.8539
2019-12-27,99.6918
2019-12-20,99.1947
2019-12-13,98.9245
2019-12-06,99.3734
2019-11-29,99.5466
2019-11-22,99.8486
2019-11-15,100.4322
2019-11-08,99.9016
2019-11-01,100.4410
2019-10-25,101.4072
2019-10-18,104.5188
