time,TRIMA
2025-11-07,277.5420
2025-10-31,270.4515
2025-10-24,263.1927
2025-10-17,256.9138
2025-10-10,251.5657
2025-10-03,247.8432
2025-09-26,247.1027
2025-09-19,249.1872
2025-09-12,253.7815
2025-09-05,260.0887
2025-08-29,267.0796
2025-08-22,273.2524
2025-08-15,277.5457
2025-08-08,279.3149
2025-08-01,278.4852
2025-07-25,275.7990
2025-07-18,271.5187
2025-07-11,266.6091
2025-07-03,261.3084
2025-06-27,256.3426
2025-06-20,251.4644
2025-06-13,245.9728
2025-06-06,241.3357
2025-05-30,238.0342
2025-05-23,235.9794
2025-05-16,235.4530
2025-05-09,236.9971
2025-05-02,240.3077
2025-04-25,244.1318
2025-04-17,247.5338
2025-04-11,250.2116
2025-04-04,251.0541
2025-03-28,249.4797
2025-03-21,245.7926
2025-03-14,240.6598
2025-03-07,234.4335
2025-02-28,228.5839
2025-02-21,224.0405
2025-02-14,221.4038
2025-02-07,220.4098
2025-01-31,220.4725
2025-01-24,221.0595
2025-01-17,221.0378
2025-01-10,219.7839
2025-01-03,217.4260
2024-12-27,215.1184
2024-12-20,213.5270
2024-12-13,212.8078
2024-12-06,213.0984
2024-11-29,214.5145
2024-11-22,215.8812
2024-11-15,216.0254
2024-11-08,214.6011
2024-11-01,212.0222
2024-10-25,208.2391
2024-10-18,203.5767
2024-10-11,198.7959
2024-10-04,194.7031
2024-09-27,190.9111
2024-09-20,187.5276
2024-09-13,184.3967
2024-09-06,181.7073
2024-08-30,179.0492
2024-08-23,176.2578
2024-08-16,173.4817
2024-08-09,170.7790
2024-08-02,168.5099
2024-07-26,166.4047
2024-07-19,164.8430
2024-07-12,163.6005
2024-07-05,162.7765
2024-06-28,162.5970
2024-06-21,162.9874
2024-06-14,164.2084
2024-06-07,166.2175
2024-05-31,169.1047
2024-05-24,172.3121
2024-05-17,175.4947
2024-05-10,178.1572
2024-05-03,180.0418
2024-04-26,181.0955
2024-04-19,181.2377
2024-04-12,180.7283
2024-04-05,179.8533
2024-03-28,178.5699
2024-03-22,176.6847
2024-03-15,173.9723
2024-03-08,170.7295
2024-03-01,167.0487
2024-02-23,163.0968
2024-02-16,159.5021
2024-02-09,156.6996
2024-02-02,154.5605
2024-01-26,152.8299
2024-01-19,151.4605
2024-01-12,149.9065
2024-01-05,147.8614
2023-12-29,145.1388
2023-12-22,142.1971
2023-12-15,139.3175
2023-12-08,136.6272
2023-12-01,134.5607
2023-11-24,133.3687
2023-11-17,133.0932
2023-11-10,133.4588
2023-11-03,134.2362
2023-10-27,135.0978
2023-10-20,135.7692
2023-10-13,135.9924
2023-10-06,135.7465
2023-09-29,135.0870
2023-09-22,133.9578
2023-09-15,132.5900
2023-09-08,130.9502
2023-09-01,129.0294
2023-08-25,127.1958
2023-08-18,125.6857
2023-08-11,124.5196
2023-08-04,123.6337
2023-07-28,123.0465
2023-07-21,122.4919
2023-07-14,121.6007
2023-07-07,120.3640
2023-06-30,118.9095
2023-06-23,117.5451
2023-06-16,116.3954
2023-06-09,115.8764
2023-06-02,115.7898
2023-05-26,115.9267
2023-05-19,116.1436
2023-05-12,116.3836
2023-05-05,116.4809
2023-04-28,116.5878
2023-04-21,117.0465
2023-04-14,117.8172
2023-04-06,118.7761
2023-03-31,119.9917
2023-03-24,121.5169
2023-03-17,123.0055
2023-03-10,124.2970
2023-03-03,125.5367
2023-02-24,126.6466
2023-02-17,127.5476
2023-02-10,128.2412
2023-02-03,128.9492
2023-01-27,129.6737
2023-01-20,130.2499
2023-01-13,130.4789
2023-01-06,130.3201
2022-12-30,129.4859
2022-12-23,127.6286
2022-12-16,124.8682
2022-12-09,121.5446
2022-12-02,118.1379
2022-11-25,114.9461
2022-11-18,112.5669
2022-11-11,111.2418
2022-11-04,110.9368
2022-10-28,111.5762
2022-10-21,112.8750
