time,WMA
2025-11-07,287.0380
2025-10-31,280.0595
2025-10-24,271.8769
2025-10-17,267.8123
2025-10-10,263.4591
2025-10-03,256.9550
2025-09-26,250.8948
2025-09-19,248.6176
2025-09-12,249.2944
2025-09-05,251.6838
2025-08-29,256.1842
2025-08-22,261.0150
2025-08-15,266.8755
2025-08-08,272.5021
2025-08-01,277.0208
2025-07-25,279.9624
2025-07-18,277.6008
2025-07-11,275.1287
2025-07-03,269.8055
2025-06-27,263.7825
2025-06-20,258.6499
2025-06-13,252.8296
2025-06-06,248.5453
2025-05-30,245.8916
2025-05-23,242.4268
2025-05-16,238.0566
2025-05-09,236.0343
2025-05-02,236.2070
2025-04-25,238.8526
2025-04-17,240.7940
2025-04-11,242.6261
2025-04-04,248.1667
2025-03-28,249.1472
2025-03-21,248.7544
2025-03-14,247.5162
2025-03-07,243.3081
2025-02-28,239.7249
2025-02-21,234.3489
2025-02-14,228.4382
2025-02-07,224.0669
2025-01-31,219.2030
2025-01-24,219.4509
2025-01-17,218.9811
2025-01-10,219.5649
2025-01-03,219.0744
2024-12-27,219.1799
2024-12-20,219.0400
2024-12-13,217.3622
2024-12-06,214.0492
2024-11-29,212.4070
2024-11-22,211.3410
2024-11-15,213.0695
2024-11-08,213.5589
2024-11-01,215.0356
2024-10-25,214.7418
2024-10-18,210.9648
2024-10-11,205.8758
2024-10-04,201.6358
2024-09-27,197.5455
2024-09-20,193.2836
2024-09-13,188.6718
2024-09-06,185.9939
2024-08-30,182.8190
2024-08-23,180.1814
2024-08-16,177.4703
2024-08-09,174.7548
2024-08-02,173.2585
2024-07-26,169.8262
2024-07-19,167.8290
2024-07-12,165.5106
2024-07-05,164.2264
2024-06-28,163.5869
2024-06-21,162.8287
2024-06-14,163.4898
2024-06-07,164.3378
2024-05-31,166.0957
2024-05-24,167.5093
2024-05-17,169.5984
2024-05-10,172.2728
2024-05-03,175.7438
2024-04-26,179.4099
2024-04-19,180.5248
2024-04-12,181.0686
2024-04-05,180.9157
2024-03-28,180.3063
2024-03-22,179.2016
2024-03-15,177.2499
2024-03-08,174.1252
2024-03-01,171.8041
2024-02-23,169.4271
2024-02-16,166.2381
2024-02-09,162.8817
2024-02-02,159.3555
2024-01-26,154.8930
2024-01-19,152.5290
2024-01-12,151.0355
2024-01-05,150.4706
2023-12-29,148.7169
2023-12-22,146.6451
2023-12-15,144.2031
2023-12-08,141.2675
2023-12-01,138.4788
2023-11-24,136.4147
2023-11-17,134.6808
2023-11-10,133.6053
2023-11-03,132.8703
2023-10-27,132.9043
2023-10-20,134.1628
2023-10-13,135.0396
2023-10-06,135.4004
2023-09-29,136.1065
2023-09-22,135.4500
2023-09-15,134.6654
2023-09-08,133.1212
2023-09-01,131.3489
2023-08-25,129.8211
2023-08-18,128.8530
2023-08-11,127.4128
2023-08-04,125.6654
2023-07-28,123.8440
2023-07-21,122.4973
2023-07-14,121.9864
2023-07-07,121.6079
2023-06-30,120.7896
2023-06-23,120.6012
2023-06-16,119.1022
2023-06-09,117.5494
2023-06-02,116.3401
2023-05-26,115.6127
2023-05-19,115.1635
2023-05-12,115.5528
2023-05-05,116.2224
2023-04-28,116.5895
2023-04-21,117.2624
2023-04-14,117.5768
2023-04-06,117.6849
2023-03-31,117.7483
2023-03-24,118.8589
2023-03-17,120.6263
2023-03-10,122.4904
2023-03-03,123.7819
2023-02-24,124.8948
2023-02-17,125.7793
2023-02-10,126.5002
2023-02-03,127.7228
2023-01-27,129.4093
2023-01-20,129.9564
2023-01-13,129.4947
2023-01-06,129.2908
2022-12-30,129.3825
2022-12-23,129.0209
2022-12-16,128.5596
2022-12-09,126.3674
2022-12-02,123.7119
2022-11-25,120.6734
2022-11-18,117.3979
2022-11-11,114.6604
2022-11-04,113.0619
2022-10-28,111.2270
2022-10-21,110.5840
2022-10-14,111.5695
2022-10-07,113.0309
2022-09-30,114.5403
2022-09-23,115.9638
2022-09-16,116.9092
2022-09-09,117.3606
2022-09-02,118.4266
2022-08-26,119.2061
2022-08-19,118.6591
2022-08-12,119.0042
2022-08-05,119.6792
2022-07-29,120.7096
2022-07-22,122.1837
2022-07-15,121.6949
2022-07-08,120.9835
2022-07-01,120.3112
2022-06-24,118.9983
2022-06-17,118.5498
2022-06-10,118.3252
2022-06-03,116.4413
2022-05-27,115.1491
2022-05-20,115.1423
2022-05-13,114.4298
2022-05-06,113.2894
