time,MIDPOINT
2025-11-07,306.9700
2025-11-06,306.9700
2025-11-05,299.0450
2025-11-04,299.0450
2025-11-03,297.5700
2025-10-31,297.5700
2025-10-30,297.1850
2025-10-29,294.5300
2025-10-28,294.5300
2025-10-27,294.5300
2025-10-24,291.7150
2025-10-23,281.7400
2025-10-22,282.1000
2025-10-21,282.7150
2025-10-20,284.9200
2025-10-17,284.9200
2025-10-16,284.9200
2025-10-15,285.0100
2025-10-14,285.0100
2025-10-13,285.5450
2025-10-10,285.8450
2025-10-09,286.8350
2025-10-08,286.8350
2025-10-07,280.7000
2025-10-06,278.4750
2025-10-03,277.9500
2025-10-02,276.5600
2025-10-01,275.7450
2025-09-30,271.6950
2025-09-29,270.9150
2025-09-26,270.2750
2025-09-25,267.4400
2025-09-24,262.8400
2025-09-23,262.8400
2025-09-22,262.4050
2025-09-19,259.9200
2025-09-18,256.7650
2025-09-17,253.1450
2025-09-16,251.6050
2025-09-15,250.3050
2025-09-12,250.3050
2025-09-11,250.3050
2025-09-10,250.3050
2025-09-09,250.3050
2025-09-08,247.7600
2025-09-05,243.9800
2025-09-04,243.2900
2025-09-03,242.5650
2025-09-02,242.5650
2025-08-29,242.5650
2025-08-28,242.5650
2025-08-27,240.9750
2025-08-26,239.8700
2025-08-25,238.6600
2025-08-22,238.6600
2025-08-21,238.6600
2025-08-20,241.6036
2025-08-19,242.6563
2025-08-18,242.6563
2025-08-15,242.6563
2025-08-14,242.6563
2025-08-13,243.0883
2025-08-12,246.6188
2025-08-11,248.4514
2025-08-08,251.8337
2025-08-07,254.8627
2025-08-06,254.8627
2025-08-05,264.1979
2025-08-04,264.1979
2025-08-01,265.5386
2025-07-31,267.6540
2025-07-30,270.9164
2025-07-29,270.9164
2025-07-28,270.9164
2025-07-25,270.9164
2025-07-24,271.3086
2025-07-23,282.7145
2025-07-22,284.0602
2025-07-21,284.1992
2025-07-18,285.2172
2025-07-17,285.2172
2025-07-16,285.2172
2025-07-15,285.6045
2025-07-14,287.1935
2025-07-11,287.1935
2025-07-10,289.1003
2025-07-09,289.2095
2025-07-08,289.2095
2025-07-07,289.2095
2025-07-03,285.8925
2025-07-02,285.8925
2025-07-01,285.8925
2025-06-30,285.8925
2025-06-27,283.5388
2025-06-26,283.5388
2025-06-25,283.5388
2025-06-24,283.0522
2025-06-23,278.6974
2025-06-20,274.1390
2025-06-18,273.1409
2025-06-17,272.3961
2025-06-16,271.6314
2025-06-13,270.8319
2025-06-12,268.4286
2025-06-11,268.2449
2025-06-10,265.6231
2025-06-09,263.5574
2025-06-06,261.9336
2025-06-05,260.8065
2025-06-04,260.1411
2025-06-03,260.8512
2025-06-02,261.5761
2025-05-30,261.5761
2025-05-29,261.5761
2025-05-28,261.3030
2025-05-27,261.3030
2025-05-23,259.2522
2025-05-22,257.0227
2025-05-21,257.0227
2025-05-20,257.0227
2025-05-19,256.1546
2025-05-16,255.3353
2025-05-15,253.5347
2025-05-14,246.6125
2025-05-13,246.6125
2025-05-12,244.0462
2025-05-09,241.8314
2025-05-08,239.9818
2025-05-07,238.0829
2025-05-06,236.0162
2025-05-05,236.0162
2025-05-02,234.2258
2025-05-01,234.1913
2025-04-30,234.1913
2025-04-29,234.1913
2025-04-28,234.1913
2025-04-25,234.1913
2025-04-24,234.1913
2025-04-23,234.2998
2025-04-22,227.8384
2025-04-21,227.7398
2025-04-17,227.7398
2025-04-16,229.1159
2025-04-15,232.3170
2025-04-14,232.4945
2025-04-11,232.4945
2025-04-10,232.4945
2025-04-09,232.4945
2025-04-08,232.4945
2025-04-07,234.8374
2025-04-04,235.6759
2025-04-03,243.5725
2025-04-02,243.4887
2025-04-01,244.4505
2025-03-31,244.4505
2025-03-28,244.7859
2025-03-27,244.7859
2025-03-26,244.7859
2025-03-25,244.7859
2025-03-24,244.7859
2025-03-21,246.7243
2025-03-20,249.0129
2025-03-19,250.2361
2025-03-18,250.2361
2025-03-17,250.2361
2025-03-14,250.2361
2025-03-13,250.2361
2025-03-12,251.6615
2025-03-11,251.6615
2025-03-10,251.6615
2025-03-07,251.8243
2025-03-06,251.8243
2025-03-05,253.9797
2025-03-04,253.9797
2025-03-03,253.9797
2025-02-28,255.0895
2025-02-27,255.4791
2025-02-26,256.7517
2025-02-25,256.2042
2025-02-24,253.5259
2025-02-21,253.5259
2025-02-20,253.5259
2025-02-19,253.3188
2025-02-18,252.7022
2025-02-14,252.5198
2025-02-13,252.5198
2025-02-12,252.5198
2025-02-11,241.5890
2025-02-10,240.1338
2025-02-07,239.3842
2025-02-06,239.3842
2025-02-05,239.3842
2025-02-04,238.9580
2025-02-03,237.1305
2025-01-31,235.9252
2025-01-30,235.6312
2025-01-29,219.8206
2025-01-28,217.4345
2025-01-27,217.2630
2025-01-24,217.2630
2025-01-23,217.2630
2025-01-22,216.6506
2025-01-21,216.6506
2025-01-17,216.6506
2025-01-16,216.2439
2025-01-15,216.2439
2025-01-14,216.2439
2025-01-13,216.2439
2025-01-10,217.8510
2025-01-08,217.8902
2025-01-07,217.8902
2025-01-06,217.8902
2025-01-03,217.8902
2025-01-02,217.8902
2024-12-31,219.8891
2024-12-30,220.2321
2024-12-27,220.9621
2024-12-26,221.6677
2024-12-24,221.6677
2024-12-23,221.6677
2024-12-20,221.6677
2024-12-19,224.4996
2024-12-18,224.4996
2024-12-17,228.8111
2024-12-16,228.8258
2024-12-13,228.0370
2024-12-12,228.0370
2024-12-11,227.8067
2024-12-10,227.8067
2024-12-09,227.4197
2024-12-06,225.8714
2024-12-05,223.9802
2024-12-04,219.5413
2024-12-03,215.2101
2024-12-02,214.0685
2024-11-29,212.5497
2024-11-27,212.5497
2024-11-26,212.5497
2024-11-25,211.2268
2024-11-22,209.6786
2024-11-21,209.3993
2024-11-20,205.5777
2024-11-19,204.3238
2024-11-18,204.3238
2024-11-15,204.1811
2024-11-14,204.1811
2024-11-13,204.1811
2024-11-12,203.4908
2024-11-11,203.4908
2024-11-08,203.4908
2024-11-07,203.9526
2024-11-06,205.7609
2024-11-05,212.7413
2024-11-04,212.7413
2024-11-01,212.7413
2024-10-31,212.7413
2024-10-30,212.8045
2024-10-29,215.8767
2024-10-28,217.0822
2024-10-25,218.7106
2024-10-24,220.5189
2024-10-23,227.0132
2024-10-22,227.0132
2024-10-21,225.4917
2024-10-18,224.7625
2024-10-17,224.2181
2024-10-16,222.6237
2024-10-15,221.1703
2024-10-14,220.9856
2024-10-11,220.5189
2024-10-10,220.5189
2024-10-09,220.5189
2024-10-08,217.7579
2024-10-07,217.0287
2024-10-04,216.4843
2024-10-03,214.4329
2024-10-02,212.5809
2024-10-01,212.5809
2024-09-30,212.5809
2024-09-27,212.5809
2024-09-26,212.5809
2024-09-25,210.4032
2024-09-24,209.4407
2024-09-23,206.9908
2024-09-20,204.7596
2024-09-19,203.1409
2024-09-18,203.1409
2024-09-17,203.1409
2024-09-16,203.1409
2024-09-13,201.9888
2024-09-12,199.5486
2024-09-11,198.4986
2024-09-10,196.2771
2024-09-09,195.4556
2024-09-06,194.5418
2024-09-05,194.4737
2024-09-04,194.4737
2024-09-03,193.5112
2024-08-30,192.9133
2024-08-29,190.8814
2024-08-28,190.7988
2024-08-27,190.0891
2024-08-26,189.0780
2024-08-23,187.9697
2024-08-22,187.9697
2024-08-21,187.9697
2024-08-20,185.3081
2024-08-19,184.6762
2024-08-16,182.6152
2024-08-15,182.6152
2024-08-14,181.8229
2024-08-13,181.4000
2024-08-12,181.4000
2024-08-09,181.4000
2024-08-08,181.1542
2024-08-07,180.9277
2024-08-06,180.9277
2024-08-05,180.9277
2024-08-02,181.2699
2024-08-01,180.8988
2024-07-31,180.8988
2024-07-30,180.8217
2024-07-29,180.8217
2024-07-26,180.6434
2024-07-25,180.6193
2024-07-24,176.2582
2024-07-23,176.0317
2024-07-22,175.3763
2024-07-19,175.3763
2024-07-18,175.1546
2024-07-17,175.0149
2024-07-16,174.2246
2024-07-15,172.5090
2024-07-12,171.4488
2024-07-11,168.2587
2024-07-10,168.0322
2024-07-09,167.9358
2024-07-08,167.9358
2024-07-05,167.7720
2024-07-03,167.7720
2024-07-02,167.6274
2024-07-01,166.0612
2024-06-28,165.8781
2024-06-27,165.8348
2024-06-26,165.7769
2024-06-25,165.7769
2024-06-24,165.7769
2024-06-21,165.2517
2024-06-20,164.8661
2024-06-18,162.8470
2024-06-17,162.0085
2024-06-14,161.7531
2024-06-13,161.7531
2024-06-12,161.7531
2024-06-11,161.7531
2024-06-10,161.7531
2024-06-07,161.9989
2024-06-06,161.9989
2024-06-05,163.3482
2024-06-04,163.3482
2024-06-03,163.3482
2024-05-31,163.5168
2024-05-30,163.5168
2024-05-29,164.2011
2024-05-28,164.3505
2024-05-24,164.3505
2024-05-23,164.2493
2024-05-22,163.8252
2024-05-21,163.7192
2024-05-20,162.0085
2024-05-17,161.5796
2024-05-16,160.4868
2024-05-15,159.6580
2024-05-14,159.5101
2024-05-13,159.5101
2024-05-10,159.5101
2024-05-09,159.5101
2024-05-08,159.5101
2024-05-07,166.2849
2024-05-06,166.2849
2024-05-03,166.2849
2024-05-02,166.2849
2024-05-01,166.2849
2024-04-30,167.1294
2024-04-29,167.5731
2024-04-26,167.5731
2024-04-25,168.4224
2024-04-24,175.1686
2024-04-23,175.2354
2024-04-22,176.7955
2024-04-19,177.0389
2024-04-18,177.0389
2024-04-17,177.0389
2024-04-16,177.5541
2024-04-15,177.5541
2024-04-12,178.0408
2024-04-11,179.8013
2024-04-10,179.8681
2024-04-09,180.7746
2024-04-08,180.7746
2024-04-05,180.7746
2024-04-04,181.2231
2024-04-03,182.4731
2024-04-02,182.4731
2024-04-01,182.4731
2024-03-28,182.4731
2024-03-27,182.4731
2024-03-26,183.7803
2024-03-25,184.4340
2024-03-22,185.4120
2024-03-21,185.5218
2024-03-20,185.5218
2024-03-19,185.5218
2024-03-18,185.5218
2024-03-15,185.5218
2024-03-14,184.1525
2024-03-13,182.6401
2024-03-12,182.6401
2024-03-11,181.9721
2024-03-08,181.6191
2024-03-07,181.6191
2024-03-06,181.4378
2024-03-05,177.8452
2024-03-04,177.8452
2024-03-01,175.5264
2024-02-29,175.2593
2024-02-28,175.2593
2024-02-27,175.2593
2024-02-26,175.2593
2024-02-23,175.2593
2024-02-22,175.2593
2024-02-21,175.2593
2024-02-20,176.2484
2024-02-16,176.2484
2024-02-15,175.8811
2024-02-14,175.6282
2024-02-13,175.6282
2024-02-12,175.6282
2024-02-09,175.6282
2024-02-08,175.5583
2024-02-07,176.7688
2024-02-06,172.2862
2024-02-05,172.2862
2024-02-02,171.7661
2024-02-01,171.1277
2024-01-31,168.9337
