time,MIDPRICE
2025-11-07,307.6750
2025-11-06,300.7800
2025-11-05,291.4562
2025-11-04,291.4562
2025-11-03,291.4562
2025-10-31,291.4562
2025-10-30,291.4562
2025-10-29,291.4562
2025-10-28,291.4562
2025-10-27,288.5312
2025-10-24,287.1562
2025-10-23,276.9736
2025-10-22,281.4660
2025-10-21,283.3734
2025-10-20,286.7947
2025-10-17,286.7947
2025-10-16,286.7947
2025-10-15,286.7947
2025-10-14,286.7947
2025-10-13,287.8412
2025-10-10,289.2712
2025-10-09,290.3513
2025-10-08,286.0952
2025-10-07,284.1712
2025-10-06,280.3100
2025-10-03,279.6600
2025-10-02,276.2450
2025-10-01,272.8252
2025-09-30,272.8252
2025-09-29,271.6300
2025-09-26,271.4250
2025-09-25,268.3275
2025-09-24,263.0375
2025-09-23,262.8606
2025-09-22,262.3675
2025-09-19,257.4450
2025-09-18,255.3400
2025-09-17,251.9072
2025-09-16,250.0350
2025-09-15,249.4550
2025-09-12,249.4550
2025-09-11,249.4550
2025-09-10,249.4550
2025-09-09,249.4550
2025-09-08,247.7000
2025-09-05,243.7650
2025-09-04,243.7650
2025-09-03,242.1050
2025-09-02,242.1050
2025-08-29,242.3050
2025-08-28,241.3650
2025-08-27,240.7900
2025-08-26,240.3000
2025-08-25,238.5200
2025-08-22,238.5200
2025-08-21,241.4200
2025-08-20,243.3020
2025-08-19,243.3020
2025-08-18,243.3020
2025-08-15,243.3020
2025-08-14,243.3020
2025-08-13,245.7798
2025-08-12,246.7778
2025-08-11,249.3347
2025-08-08,252.8097
2025-08-07,253.9440
2025-08-06,253.9440
2025-08-05,265.0073
2025-08-04,265.0073
2025-08-01,265.0073
2025-07-31,268.2896
2025-07-30,268.5527
2025-07-29,268.5527
2025-07-28,268.5527
2025-07-25,268.5527
2025-07-24,268.5527
2025-07-23,282.4265
2025-07-22,283.7672
2025-07-21,285.7584
2025-07-18,285.7584
2025-07-17,285.7584
2025-07-16,285.7584
2025-07-15,286.1855
2025-07-14,286.6721
2025-07-11,286.9204
2025-07-10,286.9204
2025-07-09,289.5223
2025-07-08,289.5223
2025-07-07,286.2004
2025-07-03,284.7057
2025-07-02,284.7057
2025-07-01,284.7057
2025-06-30,284.7057
2025-06-27,284.0255
2025-06-26,284.0255
2025-06-25,283.6679
2025-06-24,281.4979
2025-06-23,276.2295
2025-06-20,274.9037
2025-06-18,274.1042
2025-06-17,272.8976
2025-06-16,271.6562
2025-06-13,268.2796
2025-06-12,268.2201
2025-06-11,267.4057
2025-06-10,265.2804
2025-06-09,263.2942
2025-06-06,261.1689
2025-06-05,259.8481
2025-06-04,259.5949
2025-06-03,260.7270
2025-06-02,260.7270
2025-05-30,260.7270
2025-05-29,260.7270
2025-05-28,260.7270
2025-05-27,259.2820
2025-05-23,255.1954
2025-05-22,255.1954
2025-05-21,255.1954
2025-05-20,255.1954
2025-05-19,255.0300
2025-05-16,253.2382
2025-05-15,251.8257
2025-05-14,246.7398
2025-05-13,244.4801
2025-05-12,242.1077
2025-05-09,240.9880
2025-05-08,238.1519
2025-05-07,236.2136
2025-05-06,234.1025
2025-05-05,233.9102
2025-05-02,233.6833
2025-05-01,233.6833
2025-04-30,233.6833
2025-04-29,233.6833
2025-04-28,233.6833
2025-04-25,233.6833
2025-04-24,232.4896
2025-04-23,229.1078
2025-04-22,226.1286
2025-04-21,225.8013
2025-04-17,225.8013
2025-04-16,229.4069
2025-04-15,230.4822
2025-04-14,230.4822
2025-04-11,230.4822
2025-04-10,230.4822
2025-04-09,230.4822
2025-04-08,231.2368
2025-04-07,231.2368
2025-04-04,237.3430
2025-04-03,243.0744
2025-04-02,242.4450
2025-04-01,242.4450
2025-03-31,242.4450
2025-03-28,242.5979
2025-03-27,242.5979
2025-03-26,242.5979
2025-03-25,242.5979
2025-03-24,243.6189
2025-03-21,248.4279
2025-03-20,248.4279
2025-03-19,250.6257
2025-03-18,250.6257
2025-03-17,250.6257
2025-03-14,250.6257
2025-03-13,251.2965
2025-03-12,252.3532
2025-03-11,252.3532
2025-03-10,252.3532
2025-03-07,251.0683
2025-03-06,252.2238
2025-03-05,252.3520
2025-03-04,252.3520
2025-03-03,252.3520
2025-02-28,252.3520
2025-02-27,255.5630
2025-02-26,255.0549
2025-02-25,254.3447
2025-02-24,252.5148
2025-02-21,252.5148
2025-02-20,252.5148
2025-02-19,252.1547
2025-02-18,251.9599
2025-02-14,251.9533
2025-02-13,251.9533
2025-02-12,251.2116
2025-02-11,239.8056
2025-02-10,238.8453
2025-02-07,237.8997
2025-02-06,237.8997
2025-02-05,237.8997
2025-02-04,237.6694
2025-02-03,236.1065
2025-01-31,235.9791
2025-01-30,234.7738
2025-01-29,218.9337
2025-01-28,216.5869
2025-01-27,216.5869
2025-01-24,216.5869
2025-01-23,216.5869
2025-01-22,216.5869
2025-01-21,216.5869
2025-01-17,216.2248
2025-01-16,216.2248
2025-01-15,216.2248
2025-01-14,216.2248
2025-01-13,216.2934
2025-01-10,217.2978
2025-01-08,217.6898
2025-01-07,217.6898
2025-01-06,218.1668
2025-01-03,218.1668
2025-01-02,218.8284
2024-12-31,219.4248
2024-12-30,219.8315
2024-12-27,222.3413
2024-12-26,222.3977
2024-12-24,222.3977
2024-12-23,222.6427
2024-12-20,225.0728
2024-12-19,225.0728
2024-12-18,225.0728
2024-12-17,228.4290
2024-12-16,228.3261
2024-12-13,227.7577
2024-12-12,227.7577
2024-12-11,227.1502
2024-12-10,227.1502
2024-12-09,226.3565
2024-12-06,225.0189
2024-12-05,221.3541
2024-12-04,217.2985
2024-12-03,213.8873
2024-12-02,213.4856
2024-11-29,212.8486
2024-11-27,212.2753
2024-11-26,212.1724
2024-11-25,211.3003
2024-11-22,211.3003
2024-11-21,209.0613
2024-11-20,205.3216
2024-11-19,205.3216
2024-11-18,205.2651
2024-11-15,205.2651
2024-11-14,205.2651
2024-11-13,204.2637
2024-11-12,204.2637
2024-11-11,204.2637
2024-11-08,204.2637
2024-11-07,205.2116
2024-11-06,206.5095
2024-11-05,212.3524
2024-11-04,212.3524
2024-11-01,212.3524
2024-10-31,212.3524
2024-10-30,212.7170
2024-10-29,215.6968
2024-10-28,218.7787
2024-10-25,219.5977
2024-10-24,220.4606
2024-10-23,227.2708
2024-10-22,226.4590
2024-10-21,225.7494
2024-10-18,224.7674
2024-10-17,223.9167
2024-10-16,221.9723
2024-10-15,220.2846
2024-10-14,219.6770
2024-10-11,219.5360
2024-10-10,219.5360
2024-10-09,219.1082
2024-10-08,216.3837
2024-10-07,215.5694
2024-10-04,214.7965
2024-10-03,212.8580
2024-10-02,211.2198
2024-10-01,211.2198
2024-09-30,211.2198
2024-09-27,211.2198
2024-09-26,211.1469
2024-09-25,209.0786
2024-09-24,206.2179
2024-09-23,205.8581
2024-09-20,204.2929
2024-09-19,203.2745
2024-09-18,203.2745
2024-09-17,203.2745
2024-09-16,202.8176
2024-09-13,201.6437
2024-09-12,199.7479
2024-09-11,198.1389
2024-09-10,195.8591
2024-09-09,195.3390
2024-09-06,194.6050
2024-09-05,194.6050
2024-09-04,193.8734
2024-09-03,193.6959
2024-08-30,192.4394
2024-08-29,191.5134
2024-08-28,190.9689
2024-08-27,189.6419
2024-08-26,188.3902
2024-08-23,188.0815
2024-08-22,188.0815
2024-08-21,186.0364
2024-08-20,185.3474
2024-08-19,183.5399
2024-08-16,182.0868
2024-08-15,182.0382
2024-08-14,181.4743
2024-08-13,181.3662
2024-08-12,181.3662
2024-08-09,181.3662
2024-08-08,181.3662
2024-08-07,182.1903
2024-08-06,182.1903
2024-08-05,182.1903
2024-08-02,182.6963
2024-08-01,182.2578
2024-07-31,182.2578
2024-07-30,182.2578
2024-07-29,182.2578
2024-07-26,182.2578
2024-07-25,180.5952
2024-07-24,176.4172
2024-07-23,175.3715
2024-07-22,175.3715
2024-07-19,175.3715
2024-07-18,175.1305
2024-07-17,174.3932
2024-07-16,173.7475
2024-07-15,172.6536
2024-07-12,170.9236
2024-07-11,168.6249
2024-07-10,168.1816
2024-07-09,168.1816
2024-07-08,168.1816
2024-07-05,168.1189
2024-07-03,168.1189
2024-07-02,167.1406
2024-07-01,166.7166
2024-06-28,166.5865
2024-06-27,166.5865
2024-06-26,166.5865
2024-06-25,166.3841
2024-06-24,166.3841
2024-06-21,164.6975
2024-06-20,164.3650
2024-06-18,163.0012
2024-06-17,162.0856
2024-06-14,161.9169
2024-06-13,161.9169
2024-06-12,161.9169
2024-06-11,161.3555
2024-06-10,161.3555
2024-06-07,161.6953
2024-06-06,163.3578
2024-06-05,163.3578
2024-06-04,163.3578
2024-06-03,163.3578
2024-05-31,163.5072
2024-05-30,163.6951
2024-05-29,164.6493
2024-05-28,164.7794
2024-05-24,164.7794
2024-05-23,164.7023
2024-05-22,164.2638
2024-05-21,164.2541
2024-05-20,161.9362
2024-05-17,161.1245
2024-05-16,160.4279
2024-05-15,158.8183
2024-05-14,158.8183
2024-05-13,158.8183
2024-05-10,158.8183
2024-05-09,158.8183
2024-05-08,159.8631
2024-05-07,165.5120
2024-05-06,165.6981
2024-05-03,165.6981
2024-05-02,165.6981
2024-05-01,166.4996
2024-04-30,166.9579
2024-04-29,167.6399
2024-04-26,168.4844
2024-04-25,168.4844
2024-04-24,174.8490
2024-04-23,175.0565
2024-04-22,177.2058
2024-04-19,177.2058
2024-04-18,177.2058
2024-04-17,178.5131
2024-04-16,178.5131
2024-04-15,178.5131
2024-04-12,178.8972
2024-04-11,180.2784
2024-04-10,180.7269
2024-04-09,181.2708
2024-04-08,181.5952
2024-04-05,181.5952
2024-04-04,181.6381
2024-04-03,182.0532
2024-04-02,182.0532
2024-04-01,182.4826
2024-03-28,182.4826
2024-03-27,184.2803
2024-03-26,184.4483
2024-03-25,185.0828
2024-03-22,185.6840
2024-03-21,185.6840
2024-03-20,185.8128
2024-03-19,185.8128
2024-03-18,185.8319
2024-03-15,184.5342
2024-03-14,183.3796
2024-03-13,183.1458
2024-03-12,182.6019
2024-03-11,181.9435
2024-03-08,181.9435
2024-03-07,181.9435
2024-03-06,181.3280
2024-03-05,177.8118
2024-03-04,177.7917
2024-03-01,175.4310
2024-02-29,175.4310
2024-02-28,175.4310
2024-02-27,175.4310
2024-02-26,175.4310
2024-02-23,175.4310
2024-02-22,175.4310
2024-02-21,175.4310
2024-02-20,176.5023
2024-02-16,176.5023
2024-02-15,175.6578
2024-02-14,175.6578
2024-02-13,175.6578
2024-02-12,175.6578
2024-02-09,175.9389
2024-02-08,177.3242
2024-02-07,179.4569
2024-02-06,174.8585
2024-02-05,174.6599
2024-02-02,174.6221
2024-02-01,173.0995
2024-01-31,171.1419
2024-01-30,171.1419
2024-01-29,171.1419
2024-01-26,169.8723
2024-01-25,168.8959
2024-01-24,158.2143
2024-01-23,157.9117
2024-01-22,157.1433
2024-01-19,155.7858
2024-01-18,154.0083
2024-01-17,154.0083
2024-01-16,153.7388
2024-01-12,153.1383
2024-01-11,152.2872
2024-01-10,152.2872
2024-01-09,152.2872
2024-01-08,152.2872
2024-01-05,152.6584
2024-01-04,153.0650
2024-01-03,153.0650
2024-01-02,153.0650
2023-12-29,153.0650
2023-12-28,153.0225
2023-12-27,153.4363
2023-12-26,154.0864
2023-12-22,154.0864
2023-12-21,154.0864
2023-12-20,154.2944
2023-12-19,154.2944
2023-12-18,154.2944
2023-12-15,154.2944
2023-12-14,153.3629
2023-12-13,152.8380
2023-12-12,152.4267
2023-12-11,150.6062
2023-12-08,150.1476
2023-12-07,149.7551
2023-12-06,149.7551
2023-12-05,149.5612
2023-12-04,149.0127
2023-12-01,147.9725
2023-11-30,146.9275
2023-11-29,145.5940
2023-11-28,144.3055
2023-11-27,143.5017
2023-11-24,143.0620
2023-11-22,142.3196
2023-11-21,141.8349
2023-11-20,141.8349
2023-11-17,141.2770
2023-11-16,141.2060
2023-11-15,140.1698
2023-11-14,138.8461
2023-11-13,137.2028
2023-11-10,137.1981
2023-11-09,136.2401
2023-11-08,136.1794
2023-11-07,133.5377
2023-11-06,133.3811
2023-11-03,132.9322
2023-11-02,132.3034
2023-11-01,132.0275
2023-10-31,131.2093
2023-10-30,131.1812
2023-10-27,131.1812
2023-10-26,131.0456
2023-10-25,130.3537
2023-10-24,130.5454
2023-10-23,130.5804
2023-10-20,130.7861
2023-10-19,130.7861
2023-10-18,130.7861
2023-10-17,130.7861
2023-10-16,131.7025
2023-10-13,131.7025
2023-10-12,132.3291
2023-10-11,132.3291
2023-10-10,132.5184
2023-10-09,133.6172
2023-10-06,134.2063
2023-10-05,134.5196
2023-10-04,135.0572
2023-10-03,136.3102
2023-10-02,136.3102
2023-09-29,136.3102
2023-09-28,136.5884
2023-09-27,137.3155
2023-09-26,137.9046
2023-09-25,138.6714
2023-09-22,138.6714
2023-09-21,138.6714
2023-09-20,138.6714
2023-09-19,137.1986
2023-09-18,137.4885
2023-09-15,137.7083
2023-09-14,137.8345
2023-09-13,137.8089
2023-09-12,137.7503
2023-09-11,137.5586
2023-09-08,136.7591
2023-09-07,136.6282
2023-09-06,135.8614
2023-09-05,135.7305
2023-09-01,135.2209
2023-08-31,134.4155
2023-08-30,134.0380
2023-08-29,133.9538
2023-08-28,133.9538
2023-08-25,133.3600
2023-08-24,132.8925
2023-08-23,132.9439
2023-08-22,133.1122
2023-08-21,133.1122
2023-08-18,133.1122
2023-08-17,133.4863
2023-08-16,133.4863
2023-08-15,133.5382
2023-08-14,133.4735
2023-08-11,133.4735
2023-08-10,133.4735
2023-08-09,133.3488
2023-08-08,132.3558
2023-08-07,131.9677
2023-08-04,131.6573
2023-08-03,130.7844
2023-08-02,129.9456
2023-08-01,129.3124
2023-07-31,128.8964
2023-07-28,128.0437
2023-07-27,127.7064
2023-07-26,126.7219
2023-07-25,126.1743
2023-07-24,126.1234
2023-07-21,125.7167
2023-07-20,125.7167
2023-07-19,123.8611
2023-07-18,123.6300
2023-07-17,123.3435
2023-07-14,123.3435
2023-07-13,123.3435
2023-07-12,123.0477
2023-07-11,122.8721
2023-07-10,122.1696
2023-07-07,122.1095
2023-07-06,122.1095
2023-07-05,122.2759
2023-07-03,123.1263
2023-06-30,124.1611
2023-06-29,124.1611
2023-06-28,124.1611
2023-06-27,124.1611
2023-06-26,124.1611
2023-06-23,124.1611
2023-06-22,124.8543
2023-06-21,125.5522
2023-06-20,125.4089
2023-06-16,125.4089
2023-06-15,124.3603
2023-06-14,123.2649
2023-06-13,122.7658
2023-06-12,122.0494
2023-06-09,121.5087
2023-06-08,120.6213
2023-06-07,119.9096
2023-06-06,119.5121
2023-06-05,119.5121
2023-06-02,119.2995
2023-06-01,117.9246
2023-05-31,117.1781
2023-05-30,116.7067
2023-05-26,116.4664
2023-05-25,115.6345
2023-05-24,115.3757
2023-05-23,115.3757
2023-05-22,115.0060
2023-05-19,115.0060
2023-05-18,114.1833
2023-05-17,113.6753
2023-05-16,112.7616
2023-05-15,113.1628
2023-05-12,113.2996
2023-05-11,113.5275
2023-05-10,113.5275
2023-05-09,113.5275
2023-05-08,113.5275
2023-05-05,113.5275
2023-05-04,113.5275
2023-05-03,115.9137
2023-05-02,115.9183
2023-05-01,116.5064
2023-04-28,116.5064
2023-04-27,116.5064
2023-04-26,116.5064
2023-04-25,116.5064
2023-04-24,116.5634
2023-04-21,116.8871
2023-04-20,117.5824
2023-04-19,117.5869
2023-04-18,117.9061
2023-04-17,117.9061
2023-04-14,117.9061
2023-04-13,117.9061
2023-04-12,118.8954
2023-04-11,119.1827
2023-04-10,118.1204
2023-04-06,116.4836
2023-04-05,116.3559
2023-04-04,116.3559
2023-04-03,116.3559
2023-03-31,115.8407
2023-03-30,115.8407
2023-03-29,115.0155
2023-03-28,114.8765
2023-03-27,114.8765
2023-03-24,113.9350
2023-03-23,113.9350
2023-03-22,114.0900
2023-03-21,114.1857
2023-03-20,114.9517
2023-03-17,115.1523
2023-03-16,115.1523
2023-03-15,115.1523
2023-03-14,115.8316
2023-03-13,116.5839
2023-03-10,117.1720
2023-03-09,117.5596
2023-03-08,118.2731
2023-03-07,118.4030
2023-03-06,119.4950
2023-03-03,120.0398
2023-03-02,120.2163
2023-03-01,120.4478
2023-02-28,121.3209
2023-02-27,121.3893
2023-02-24,121.3893
2023-02-23,121.3893
2023-02-22,122.0413
2023-02-21,122.6659
2023-02-17,123.1909
2023-02-16,123.1909
2023-02-15,123.1909
2023-02-14,122.4478
2023-02-13,122.4478
2023-02-10,121.7092
2023-02-09,121.6910
2023-02-08,122.0808
2023-02-07,123.3238
2023-02-06,124.0985
2023-02-03,124.2043
2023-02-02,124.2043
2023-02-01,124.2043
2023-01-31,125.0478
2023-01-30,126.1747
2023-01-27,126.1747
2023-01-26,126.1747
2023-01-25,129.0480
2023-01-24,129.2236
2023-01-23,129.2236
2023-01-20,129.2236
2023-01-19,129.2236
2023-01-18,129.3407
2023-01-17,129.3407
2023-01-13,128.8543
2023-01-12,128.8543
2023-01-11,128.3454
2023-01-10,128.3184
2023-01-09,128.3184
2023-01-06,127.3951
2023-01-05,127.1092
2023-01-04,126.9831
2023-01-03,126.2309
2022-12-30,126.2309
2022-12-29,128.8836
2022-12-28,130.2032
2022-12-27,130.7887
2022-12-23,130.7887
2022-12-22,130.7887
2022-12-21,130.7887
2022-12-20,130.7887
2022-12-19,130.7887
2022-12-16,131.5881
2022-12-15,132.7635
2022-12-14,134.8847
2022-12-13,134.6055
2022-12-12,133.1643
2022-12-09,133.1643
2022-12-08,133.1643
2022-12-07,133.3670
2022-12-06,133.3670
2022-12-05,133.3670
2022-12-02,133.3670
2022-12-01,132.2771
2022-11-30,132.2771
2022-11-29,131.7142
2022-11-28,131.7142
2022-11-25,131.2458
2022-11-23,130.0433
2022-11-22,128.9354
2022-11-21,128.4670
2022-11-18,127.5438
2022-11-17,125.8858
2022-11-16,125.4455
2022-11-15,125.4455
2022-11-14,125.4091
2022-11-11,124.5309
2022-11-10,123.2879
2022-11-09,122.3365
2022-11-08,121.8203
2022-11-07,120.8101
2022-11-04,120.1648
2022-11-03,119.1591
2022-11-02,118.0732
2022-11-01,116.0835
2022-10-31,116.0090
2022-10-28,115.8354
2022-10-27,114.0324
2022-10-26,111.8821
2022-10-25,110.7415
2022-10-24,110.6569
2022-10-21,109.6489
2022-10-20,108.8101
2022-10-19,107.1813
2022-10-18,107.6975
2022-10-17,107.6975
2022-10-14,107.6975
2022-10-13,107.6975
2022-10-12,108.3183
2022-10-11,108.3183
2022-10-10,108.3628
2022-10-07,108.8212
2022-10-06,109.0615
2022-10-05,109.0838
2022-10-04,109.6756
2022-10-03,109.6756
2022-09-30,109.7735
2022-09-29,110.3076
2022-09-28,110.3076
2022-09-27,111.2911
2022-09-26,111.9893
2022-09-23,112.4704
2022-09-22,113.4005
2022-09-21,113.4005
2022-09-20,113.4005
2022-09-19,113.4005
2022-09-16,113.4005
2022-09-15,113.8766
2022-09-14,114.4908
2022-09-13,114.4908
2022-09-12,114.6821
2022-09-09,115.9104
2022-09-08,116.0194
2022-09-07,116.3243
2022-09-06,116.7737
2022-09-02,117.9708
2022-09-01,118.8564
2022-08-31,119.1502
2022-08-30,119.5462
2022-08-29,119.6708
2022-08-26,120.0135
2022-08-25,120.7433
2022-08-24,120.7433
2022-08-23,120.0135
2022-08-22,119.4706
2022-08-19,119.4706
2022-08-18,119.3727
2022-08-17,119.0589
2022-08-16,118.5939
2022-08-15,117.5114
2022-08-12,117.0219
2022-08-11,116.1097
2022-08-10,115.1573
2022-08-09,114.6583
2022-08-08,114.6583
2022-08-05,114.4439
2022-08-04,113.6222
2022-08-03,113.3673
2022-08-02,113.3313
2022-08-01,113.2961
2022-07-29,116.6401
2022-07-28,116.8027
2022-07-27,116.8027
2022-07-26,116.8027
2022-07-25,117.1850
2022-07-22,117.3256
2022-07-21,117.3256
2022-07-20,118.4637
2022-07-19,118.4637
2022-07-18,121.6715
2022-07-15,121.6715
2022-07-14,121.9307
2022-07-13,122.5070
2022-07-12,122.7854
2022-07-11,122.7854
2022-07-08,122.7854
2022-07-07,122.7854
2022-07-06,122.7854
2022-07-05,122.7854
2022-07-01,121.7220
2022-06-30,121.7220
2022-06-29,121.7220
2022-06-28,121.7220
2022-06-27,121.5792
2022-06-24,120.9377
2022-06-23,120.3532
2022-06-22,121.1266
2022-06-21,121.2057
2022-06-17,121.9747
2022-06-16,122.3746
