time,FAMA,MAMA
2025-11-07,206.8573,258.9121
2025-11-06,206.5957,258.4327
2025-11-05,206.3352,257.8873
2025-11-04,206.0761,257.3936
2025-11-03,205.8183,256.9546
2025-10-31,205.5613,256.4720
2025-10-30,205.3055,255.9575
2025-10-29,205.0509,255.4110
2025-10-28,204.7979,254.8777
2025-10-27,204.5462,254.2949
2025-10-24,204.2962,253.7010
2025-10-23,204.0479,253.1580
2025-10-22,203.8012,252.8364
2025-10-21,203.5547,252.4862
2025-10-20,203.3089,252.1875
2025-10-17,203.0632,251.8697
2025-10-16,202.8180,251.5727
2025-10-15,202.5730,251.3262
2025-10-14,202.3280,251.0290
2025-10-13,202.0833,250.7753
2025-10-10,201.8386,250.5081
2025-10-09,201.5940,250.2323
2025-10-08,201.3496,249.8484
2025-10-07,201.1059,249.4483
2025-10-06,200.8630,248.9996
2025-10-03,200.6211,248.5913
2025-10-02,200.3800,248.1895
2025-10-01,200.1398,247.8003
2025-09-30,199.9003,247.4095
2025-09-29,199.6615,247.0585
2025-09-26,199.4233,246.7278
2025-09-25,199.1856,246.3482
2025-09-24,198.9486,245.9937
2025-09-23,198.7122,245.7762
2025-09-22,198.4757,245.5089
2025-09-19,198.2394,245.2476
2025-09-18,198.0031,245.0340
2025-09-17,197.7668,244.8323
2025-09-16,197.5303,244.6884
2025-09-15,197.2933,244.5588
2025-09-12,197.0558,244.4408
2025-09-11,196.8177,244.3499
2025-09-10,196.5788,244.2220
2025-09-09,196.3394,244.0941
2025-09-08,196.0995,243.9425
2025-09-05,195.8590,243.8198
2025-09-04,195.6180,243.7722
2025-09-03,195.3760,243.7378
2025-09-02,195.1330,243.7341
2025-08-29,194.8888,243.7567
2025-08-28,194.6432,243.7594
2025-08-27,194.3964,243.7395
2025-08-26,194.1485,243.7283
2025-08-25,193.8993,243.7394
2025-08-22,193.6489,243.7830
2025-08-21,193.3969,243.8001
2025-08-20,193.1437,243.8445
2025-08-19,192.8889,243.8576
