time,VWAP
2025-11-07 19:45,306.8716
2025-11-07 19:30,306.8715
2025-11-07 19:15,306.8715
2025-11-07 19:00,306.8715
2025-11-07 18:45,306.8198
2025-11-07 18:30,306.8198
2025-11-07 18:15,306.7595
2025-11-07 18:00,306.7594
2025-11-07 17:45,306.7594
2025-11-07 17:30,306.7594
2025-11-07 17:15,306.7593
2025-11-07 17:00,306.7597
2025-11-07 16:45,306.7597
2025-11-07 16:30,306.7597
2025-11-07 16:15,306.7597
2025-11-07 16:00,306.7600
2025-11-07 15:45,305.8586
2025-11-07 15:30,305.7467
2025-11-07 15:15,305.7156
2025-11-07 15:00,305.6974
2025-11-07 14:45,305.6712
2025-11-07 14:30,305.6428
2025-11-07 14:15,305.6282
2025-11-07 14:00,305.6340
2025-11-07 13:45,305.6388
2025-11-07 13:30,305.6255
2025-11-07 13:15,305.6208
2025-11-07 13:00,305.6263
2025-11-07 12:45,305.6474
2025-11-07 12:30,305.6825
2025-11-07 12:15,305.7666
2025-11-07 12:00,305.8378
2025-11-07 11:45,305.9973
2025-11-07 11:30,306.0967
2025-11-07 11:15,306.3044
2025-11-07 11:00,306.5205
2025-11-07 10:45,306.8729
2025-11-07 10:30,307.3980
2025-11-07 10:15,307.7523
2025-11-07 10:00,307.7363
2025-11-07 09:45,307.6585
2025-11-07 09:30,307.7589
2025-11-07 09:15,310.9348
2025-11-07 09:00,311.1081
2025-11-07 08:45,311.3572
2025-11-07 08:30,311.4048
2025-11-07 08:15,311.5416
2025-11-07 08:00,311.6365
2025-11-07 07:45,311.6630
2025-11-07 07:30,312.1894
2025-11-07 07:15,312.2461
2025-11-07 07:00,312.2993
2025-11-07 06:45,312.3924
2025-11-07 06:30,312.5450
2025-11-07 06:15,312.8496
2025-11-07 06:00,312.9175
2025-11-07 05:45,312.9616
2025-11-07 05:30,312.9892
2025-11-07 05:15,312.9973
2025-11-07 05:00,313.0579
2025-11-07 04:45,313.0493
2025-11-07 04:30,313.0571
2025-11-07 04:15,313.0345
2025-11-07 04:00,312.7800
2025-11-06 19:45,310.9908
2025-11-06 19:30,310.9908
2025-11-06 19:15,310.9905
2025-11-06 19:00,310.9904
2025-11-06 18:45,310.8089
2025-11-06 18:30,310.8082
2025-11-06 18:15,310.6333
2025-11-06 18:00,310.6332
2025-11-06 17:45,310.6331
2025-11-06 17:30,310.6329
2025-11-06 17:15,310.6329
2025-11-06 17:00,310.6328
2025-11-06 16:45,310.6326
2025-11-06 16:30,310.3160
2025-11-06 16:15,310.3156
2025-11-06 16:00,310.3142
2025-11-06 15:45,309.8522
2025-11-06 15:30,309.5310
2025-11-06 15:15,309.3878
2025-11-06 15:00,308.8537
2025-11-06 14:45,308.6844
2025-11-06 14:30,308.4838
2025-11-06 14:15,308.2568
2025-11-06 14:00,308.0249
2025-11-06 13:45,307.8295
2025-11-06 13:30,307.6524
2025-11-06 13:15,307.5648
2025-11-06 13:00,307.5379
2025-11-06 12:45,307.5548
2025-11-06 12:30,307.5406
2025-11-06 12:15,307.5170
2025-11-06 12:00,307.5016
2025-11-06 11:45,307.4807
2025-11-06 11:30,307.4364
2025-11-06 11:15,307.3980
2025-11-06 11:00,307.4833
2025-11-06 10:45,307.3044
2025-11-06 10:30,307.2637
2025-11-06 10:15,307.1441
2025-11-06 10:00,306.8649
2025-11-06 09:45,306.8419
2025-11-06 09:30,306.9753
2025-11-06 09:15,307.1874
2025-11-06 09:00,307.1928
2025-11-06 08:45,307.1942
2025-11-06 08:30,307.1944
2025-11-06 08:15,307.1943
2025-11-06 08:00,307.6680
2025-11-06 07:45,307.0359
2025-11-06 07:30,307.0164
2025-11-06 07:15,307.0101
2025-11-06 07:00,307.0202
2025-11-06 06:45,307.0251
2025-11-06 06:30,307.0304
2025-11-06 06:15,307.0300
2025-11-06 06:00,307.0353
2025-11-06 05:45,307.0392
2025-11-06 05:30,307.0543
2025-11-06 05:15,307.0979
2025-11-06 05:00,307.0992
2025-11-06 04:45,307.0991
2025-11-06 04:30,307.1199
2025-11-06 04:15,307.0025
2025-11-06 04:00,306.7833
2025-11-05 19:45,304.6490
2025-11-05 19:30,304.6489
2025-11-05 19:15,304.6487
2025-11-05 19:00,304.6486
2025-11-05 18:45,304.3211
2025-11-05 18:30,304.3206
2025-11-05 18:15,303.9845
2025-11-05 18:00,303.9844
2025-11-05 17:45,303.9844
2025-11-05 17:30,303.9844
2025-11-05 17:15,303.9843
2025-11-05 17:00,303.9845
2025-11-05 16:45,303.9842
2025-11-05 16:30,303.9842
2025-11-05 16:15,303.9838
2025-11-05 16:00,303.9791
2025-11-05 15:45,303.3462
2025-11-05 15:30,302.8067
2025-11-05 15:15,302.6300
2025-11-05 15:00,302.5352
2025-11-05 14:45,302.2377
2025-11-05 14:30,302.1674
2025-11-05 14:15,302.0305
2025-11-05 14:00,301.9311
2025-11-05 13:45,301.8213
2025-11-05 13:30,301.6930
2025-11-05 13:15,301.5223
2025-11-05 13:00,301.4350
2025-11-05 12:45,301.3792
2025-11-05 12:30,301.3475
2025-11-05 12:15,301.3243
2025-11-05 12:00,301.2914
2025-11-05 11:45,301.2379
2025-11-05 11:30,301.1834
2025-11-05 11:15,301.1510
2025-11-05 11:00,301.1253
2025-11-05 10:45,301.0879
2025-11-05 10:30,301.0383
2025-11-05 10:15,300.9886
2025-11-05 10:00,300.9907
2025-11-05 09:45,300.9165
2025-11-05 09:30,300.5602
2025-11-05 09:15,300.3398
2025-11-05 09:00,300.3388
2025-11-05 08:45,300.3384
2025-11-05 08:30,300.3376
2025-11-05 08:15,300.3363
2025-11-05 08:00,300.3360
2025-11-05 07:45,300.1422
2025-11-05 07:30,300.1197
2025-11-05 07:15,300.0982
2025-11-05 07:00,300.0282
2025-11-05 06:45,300.0340
2025-11-05 06:30,300.0628
2025-11-05 06:15,300.0686
2025-11-05 06:00,300.0854
2025-11-05 05:45,300.3071
2025-11-05 05:30,300.4918
2025-11-05 05:15,300.6122
2025-11-05 05:00,300.6446
2025-11-05 04:45,300.6678
2025-11-05 04:30,300.7033
2025-11-05 04:15,300.7100
2025-11-05 04:00,300.8867
2025-11-04 19:45,300.7262
2025-11-04 19:30,300.7270
2025-11-04 19:15,300.7271
2025-11-04 19:00,300.7271
2025-11-04 18:45,300.7365
2025-11-04 18:30,300.7365
2025-11-04 18:15,300.7494
2025-11-04 18:00,300.7494
2025-11-04 17:45,300.7494
2025-11-04 17:30,300.7494
2025-11-04 17:15,300.7495
2025-11-04 17:00,300.7495
2025-11-04 16:45,300.7495
2025-11-04 16:30,300.7502
2025-11-04 16:15,300.7501
2025-11-04 16:00,300.7504
2025-11-04 15:45,300.2751
2025-11-04 15:30,300.2444
2025-11-04 15:15,300.2387
2025-11-04 15:00,300.2408
2025-11-04 14:45,300.2595
2025-11-04 14:30,300.3017
2025-11-04 14:15,300.3241
2025-11-04 14:00,300.3337
2025-11-04 13:45,300.3612
2025-11-04 13:30,300.3843
2025-11-04 13:15,300.4162
2025-11-04 13:00,300.4446
2025-11-04 12:45,300.4484
2025-11-04 12:30,300.4497
2025-11-04 12:15,300.4440
2025-11-04 12:00,300.4464
2025-11-04 11:45,300.4486
2025-11-04 11:30,300.4623
2025-11-04 11:15,300.5081
2025-11-04 11:00,300.5439
2025-11-04 10:45,300.5731
