time,ATR
2026-05-15,6.5615
2026-05-14,6.8128
2026-05-13,6.8507
2026-05-12,6.8484
2026-05-11,6.9744
2026-05-08,6.9202
2026-05-07,7.0006
2026-05-06,7.0748
2026-05-05,7.2639
2026-05-04,7.5287
2026-05-01,7.6898
2026-04-30,7.9018
2026-04-29,7.9980
2026-04-28,8.1382
2026-04-27,8.3439
2026-04-24,8.6146
2026-04-23,8.6816
2026-04-22,7.0487
2026-04-21,6.8021
2026-04-20,6.8500
2026-04-17,6.9233
2026-04-16,7.1008
2026-04-15,7.1568
2026-04-14,7.2651
2026-04-13,7.5401
2026-04-10,7.5619
2026-04-09,7.4749
2026-04-08,7.4405
2026-04-07,7.3103
2026-04-06,7.4420
2026-04-02,7.6968
2026-04-01,7.7753
2026-03-31,7.9059
2026-03-30,8.0200
2026-03-27,8.3255
2026-03-26,8.3611
2026-03-25,8.4794
2026-03-24,8.5062
2026-03-23,8.3633
2026-03-20,8.2751
2026-03-19,8.2550
2026-03-18,8.5891
2026-03-17,8.6297
2026-03-16,8.7483
2026-03-13,8.9555
2026-03-12,9.2618
2026-03-11,9.6379
2026-03-10,9.8818
2026-03-09,10.1158
2026-03-06,10.3381
2026-03-05,10.5843
2026-03-04,10.5295
2026-03-03,10.8893
2026-03-02,10.8258
2026-02-27,11.1241
2026-02-26,11.4113
2026-02-25,11.5293
2026-02-24,11.6349
2026-02-23,11.5186
2026-02-20,9.6221
2026-02-19,9.9621
2026-02-18,10.1726
2026-02-17,10.5840
2026-02-13,10.8078
2026-02-12,11.0268
2026-02-11,10.6845
2026-02-10,9.8922
2026-02-09,10.0972
2026-02-06,10.3037
2026-02-05,10.3370
2026-02-04,10.6227
2026-02-03,10.2744
2026-02-02,8.7202
2026-01-30,8.6143
2026-01-29,8.5549
2026-01-28,7.2587
2026-01-27,7.4610
2026-01-26,7.7267
2026-01-23,7.9889
2026-01-22,8.2329
2026-01-21,8.3043
2026-01-20,8.4633
2026-01-16,7.9367
2026-01-15,7.8260
2026-01-14,7.3012
2026-01-13,7.2790
2026-01-12,7.0083
2026-01-09,6.6082
2026-01-08,6.7370
2026-01-07,6.5969
2026-01-06,6.4996
2026-01-05,6.3451
2026-01-02,6.2494
2025-12-31,6.0794
2025-12-30,6.0779
2025-12-29,6.2239
2025-12-26,6.2281
2025-12-24,6.5489
2025-12-23,6.8362
2025-12-22,7.0220
2025-12-19,7.1931
2025-12-18,7.1573
2025-12-17,7.0435
2025-12-16,7.3446
2025-12-15,7.2840
2025-12-12,7.4637
2025-12-11,7.4517
2025-12-10,7.6422
2025-12-09,7.6198
2025-12-08,7.8096
2025-12-05,7.8481
2025-12-04,8.0987
2025-12-03,8.1849
2025-12-02,8.4300
2025-12-01,8.4029
2025-11-28,8.6104
2025-11-26,8.8195
2025-11-25,9.1213
2025-11-24,9.1442
2025-11-21,9.1081
2025-11-20,9.0434
2025-11-19,8.8143
2025-11-18,9.2615
2025-11-17,9.4235
2025-11-14,9.4279
2025-11-13,9.3840
2025-11-12,9.2479
2025-11-11,9.1104
2025-11-10,9.0915
2025-11-07,9.3573
2025-11-06,9.3378
2025-11-05,8.9725
2025-11-04,9.0970
2025-11-03,9.1376
2025-10-31,9.2431
2025-10-30,9.0577
2025-10-29,9.0952
2025-10-28,9.2806
2025-10-27,9.3949
2025-10-24,9.3157
2025-10-23,7.8771
2025-10-22,6.6747
2025-10-21,6.5976
2025-10-20,6.8249
2025-10-17,7.0071
2025-10-16,6.9382
2025-10-15,6.9463
2025-10-14,6.7784
2025-10-13,6.9235
2025-10-10,6.8671
2025-10-09,6.4223
2025-10-08,6.4021
2025-10-07,6.3111
2025-10-06,5.9189
2025-10-03,6.0985
2025-10-02,6.0693
2025-10-01,6.1019
2025-09-30,6.0850
2025-09-29,6.0830
2025-09-26,6.0722
2025-09-25,5.8793
2025-09-24,5.0705
2025-09-23,4.9810
2025-09-22,5.0597
2025-09-19,4.9724
2025-09-18,5.0355
2025-09-17,4.7863
2025-09-16,4.8559
2025-09-15,4.9583
2025-09-12,4.9161
2025-09-11,4.9299
2025-09-10,5.0909
2025-09-09,5.0656
2025-09-08,5.0188
2025-09-05,4.6400
2025-09-04,4.7265
2025-09-03,4.6046
2025-09-02,4.5933
2025-08-29,4.5509
2025-08-28,4.5982
2025-08-27,4.7616
2025-08-26,4.8288
2025-08-25,4.7812
2025-08-22,4.9122
2025-08-21,4.9669
2025-08-20,5.0544
2025-08-19,5.2514
2025-08-18,5.4001
2025-08-15,5.6415
2025-08-14,5.7848
2025-08-13,5.8937
2025-08-12,5.8886
2025-08-11,5.9942
2025-08-08,5.8172
2025-08-07,5.6735
2025-08-06,5.6505
2025-08-05,5.7072
2025-08-04,5.8609
2025-08-01,6.0140
2025-07-31,5.9112
2025-07-30,5.7629
2025-07-29,5.9430
2025-07-28,6.0417
2025-07-25,6.1772
2025-07-24,6.3187
2025-07-23,4.6104
2025-07-22,4.4671
2025-07-21,4.5385
2025-07-18,4.6363
2025-07-17,4.6060
2025-07-16,4.7686
2025-07-15,4.8354
2025-07-14,4.9505
2025-07-11,5.0903
2025-07-10,5.1436
2025-07-09,4.9446
2025-07-08,5.1022
2025-07-07,5.0357
2025-07-03,5.0586
2025-07-02,5.0975
2025-07-01,5.1672
2025-06-30,5.1876
2025-06-27,5.2034
2025-06-26,5.2587
2025-06-25,5.4574
2025-06-24,5.3777
2025-06-23,5.3467
2025-06-20,5.0552
2025-06-18,4.9252
2025-06-17,5.0063
2025-06-16,5.1072
2025-06-13,4.9541
2025-06-12,4.9452
2025-06-11,5.0834
2025-06-10,4.9764
2025-06-09,4.9550
2025-06-06,4.8292
2025-06-05,4.9525
2025-06-04,5.1527
2025-06-03,5.3833
2025-06-02,5.5739
2025-05-30,5.4960
2025-05-29,5.6923
2025-05-28,5.8032
2025-05-27,5.8702
2025-05-23,5.9350
2025-05-22,6.0856
2025-05-21,6.3016
2025-05-20,6.2959
2025-05-19,6.5058
2025-05-16,6.7021
2025-05-15,6.9634
2025-05-14,6.7784
2025-05-13,6.9751
2025-05-12,7.0091
2025-05-09,6.8614
2025-05-08,6.9872
2025-05-07,7.2811
2025-05-06,7.4212
2025-05-05,7.6881
2025-05-02,7.8207
2025-05-01,7.9731
2025-04-30,8.2567
2025-04-29,8.2863
2025-04-28,8.6376
2025-04-25,8.9624
2025-04-24,9.1274
2025-04-23,8.2622
2025-04-22,8.2690
2025-04-21,8.4269
2025-04-17,8.4885
2025-04-16,8.8155
2025-04-15,8.9417
2025-04-14,9.3866
2025-04-11,9.6401
2025-04-10,9.6316
2025-04-09,9.3825
2025-04-08,8.5297
2025-04-07,8.0111
2025-04-04,7.3021
2025-04-03,6.6265
2025-04-02,6.5344
2025-04-01,6.6228
2025-03-31,6.6012
2025-03-28,6.4832
2025-03-27,6.5722
2025-03-26,6.7340
2025-03-25,6.8952
2025-03-24,7.2245
2025-03-21,7.4115
2025-03-20,7.4821
2025-03-19,6.9354
2025-03-18,6.9459
2025-03-17,6.8955
2025-03-14,6.9581
2025-03-13,6.9518
2025-03-12,6.9956
2025-03-11,6.9678
2025-03-10,6.6814
2025-03-07,6.3238
2025-03-06,5.5604
2025-03-05,5.5935
2025-03-04,5.5623
2025-03-03,5.4404
2025-02-28,5.2819
2025-02-27,5.1899
2025-02-26,5.2479
2025-02-25,5.3600
2025-02-24,5.2725
2025-02-21,5.3604
2025-02-20,5.4949
