time,Real Lower Band,Real Middle Band,Real Upper Band
2025-11-07,255.4550,296.0700,336.6850
2025-10-31,254.4129,292.4680,330.5231
2025-10-24,256.6388,287.8480,319.0572
2025-10-17,257.2133,279.6360,302.0587
2025-10-10,235.9353,274.0680,312.2007
2025-10-03,220.3157,268.2100,316.1043
2025-09-26,215.2213,259.2340,303.2467
2025-09-19,224.4726,250.7900,277.1074
2025-09-12,230.6782,245.4540,260.2298
2025-09-05,234.4532,243.2200,251.9868
2025-08-29,234.6324,243.1796,251.7268
2025-08-22,226.3319,246.0679,265.8039
2025-08-15,206.3870,254.4301,302.4733
2025-08-08,211.6423,262.8135,313.9848
2025-08-01,223.7047,272.3514,320.9981
2025-07-25,245.6754,280.2268,314.7781
2025-07-18,272.5619,284.4475,296.3332
2025-07-11,266.4683,282.7294,298.9906
2025-07-03,254.7129,279.8057,304.8986
2025-06-27,242.0731,273.2690,304.4650
2025-06-20,239.8831,267.0978,294.3126
2025-06-13,243.7579,264.2754,284.7929
2025-06-06,237.9611,258.7100,279.4589
2025-05-30,229.7914,253.7515,277.7116
2025-05-23,211.4257,248.1491,284.8725
2025-05-16,207.3712,243.8948,280.4183
2025-05-09,217.4428,237.3687,257.2945
2025-05-02,214.7589,232.7520,250.7451
2025-04-25,215.8640,232.4462,249.0284
2025-04-17,216.5553,234.7072,252.8590
2025-04-11,214.5326,236.5893,258.6461
2025-04-04,209.4745,241.7308,273.9870
2025-03-28,227.2304,246.6552,266.0800
2025-03-21,229.2324,250.1039,270.9754
2025-03-14,237.0821,253.5388,269.9955
2025-03-07,239.5676,253.9946,268.4217
2025-02-28,239.0688,252.5067,265.9447
2025-02-21,205.1576,246.7584,288.3591
2025-02-14,191.7109,239.2246,286.7383
2025-02-07,185.7954,230.7425,275.6896
2025-01-31,186.0867,224.9239,263.7610
2025-01-24,213.0251,218.4722,223.9193
2025-01-17,213.3579,218.1900,223.0221
2025-01-10,208.5137,219.3718,230.2298
2025-01-03,205.0723,222.9562,240.8401
2024-12-27,207.4311,223.8891,240.3471
2024-12-20,207.5810,223.9263,240.2717
2024-12-13,187.7466,220.3262,252.9058
2024-12-06,182.5687,216.6458,250.7229
2024-11-29,184.3045,210.4869,236.6692
2024-11-22,189.0938,207.6595,226.2253
2024-11-15,182.5893,209.1108,235.6324
2024-11-08,184.2724,214.2920,244.3115
2024-11-01,187.9314,216.6797,245.4280
2024-10-25,198.7405,219.1277,239.5149
