time,NATR
2025-11-07,5.6036
2025-10-31,5.5280
2025-10-24,5.5090
2025-10-17,5.1944
2025-10-10,5.3064
2025-10-03,4.8775
2025-09-26,4.9582
2025-09-19,5.0387
2025-09-12,5.2659
2025-09-05,5.3608
2025-08-29,5.5442
2025-08-22,5.7977
2025-08-15,6.1440
2025-08-08,6.2361
2025-08-01,6.1929
2025-07-25,5.8229
2025-07-18,4.7466
2025-07-11,4.9550
2025-07-03,4.8300
2025-06-27,5.0243
2025-06-20,5.1423
2025-06-13,5.3433
2025-06-06,5.4653
2025-05-30,5.7240
2025-05-23,5.9298
2025-05-16,5.8023
2025-05-09,5.9688
2025-05-02,6.1640
2025-04-25,6.5627
2025-04-17,6.0760
2025-04-11,6.3805
2025-04-04,6.3325
2025-03-28,5.5411
2025-03-21,5.5841
2025-03-14,5.3660
2025-03-07,4.7588
2025-02-28,4.7984
2025-02-21,4.4798
2025-02-14,4.6732
2025-02-07,4.7834
2025-01-31,4.6661
2025-01-24,4.2800
2025-01-17,4.3665
2025-01-10,4.4131
2025-01-03,4.3482
2024-12-27,4.4707
2024-12-20,4.6533
2024-12-13,4.4827
2024-12-06,4.3079
2024-11-29,4.4208
2024-11-22,4.5897
2024-11-15,4.5428
2024-11-08,4.3796
2024-11-01,4.4293
2024-10-25,4.1708
2024-10-18,3.5246
2024-10-11,3.5410
2024-10-04,3.5680
2024-09-27,3.5741
2024-09-20,3.6614
2024-09-13,3.6932
2024-09-06,3.6674
2024-08-30,3.6706
2024-08-23,3.8286
2024-08-16,4.0055
2024-08-09,4.1512
2024-08-02,4.0566
2024-07-26,3.9537
2024-07-19,3.8929
2024-07-12,3.8856
2024-07-05,3.9220
2024-06-28,4.0750
2024-06-21,4.0418
2024-06-14,4.0972
2024-06-07,4.1355
2024-05-31,4.1796
2024-05-24,4.0685
2024-05-17,4.1075
2024-05-10,4.3283
2024-05-03,4.5377
2024-04-26,4.5875
2024-04-19,3.7415
2024-04-12,3.7055
2024-04-05,3.4566
2024-03-28,3.4478
2024-03-22,3.5771
2024-03-15,3.6878
2024-03-08,3.5396
2024-03-01,3.5140
2024-02-23,3.5962
2024-02-16,3.4225
2024-02-09,3.4353
2024-02-02,3.4855
2024-01-26,3.4439
2024-01-19,2.9133
2024-01-12,2.9415
2024-01-05,2.9087
2023-12-29,2.8189
2023-12-22,2.9610
2023-12-15,3.0069
2023-12-08,2.9495
2023-12-01,3.0692
2023-11-24,3.1302
2023-11-17,3.2526
2023-11-10,3.2763
2023-11-03,3.3907
2023-10-27,3.4696
2023-10-20,3.3873
2023-10-13,3.3742
2023-10-06,3.2637
2023-09-29,3.3893
2023-09-22,3.0763
2023-09-15,2.9507
2023-09-08,2.9721
2023-09-01,3.0973
2023-08-25,3.2421
2023-08-18,3.3516
2023-08-11,3.3725
2023-08-04,3.4981
2023-07-28,3.5778
2023-07-21,3.6918
2023-07-14,3.7245
2023-07-07,3.8394
2023-06-30,3.9203
2023-06-23,4.0248
2023-06-16,3.6162
2023-06-09,3.7201
2023-06-02,3.8482
2023-05-26,3.9200
2023-05-19,3.9945
2023-05-12,4.0840
2023-05-05,4.2835
2023-04-28,4.2084
2023-04-21,4.3921
2023-04-14,4.2982
2023-04-06,4.2442
2023-03-31,4.4154
2023-03-24,4.5951
2023-03-17,4.7256
2023-03-10,4.6204
2023-03-03,4.4750
2023-02-24,4.5398
2023-02-17,4.3770
2023-02-10,4.4949
2023-02-03,4.6842
2023-01-27,4.9027
2023-01-20,4.4802
2023-01-13,4.2779
2023-01-06,4.4759
2022-12-30,4.6849
2022-12-23,4.8357
2022-12-16,4.9395
2022-12-09,4.3253
2022-12-02,4.4592
2022-11-25,4.5869
2022-11-18,4.7552
2022-11-11,4.9419
2022-11-04,5.1049
2022-10-28,5.0918
2022-10-21,5.3133
2022-10-14,5.4996
2022-10-07,5.5306
2022-09-30,5.4133
2022-09-23,5.2903
2022-09-16,5.1111
2022-09-09,4.9961
2022-09-02,5.2462
2022-08-26,5.2909
2022-08-19,4.9225
2022-08-12,5.0660
2022-08-05,5.2968
2022-07-29,5.6396
2022-07-22,5.9886
2022-07-15,5.0768
2022-07-08,5.0708
2022-07-01,5.1057
2022-06-24,5.1970
2022-06-17,5.4698
2022-06-10,5.5237
2022-06-03,5.2218
2022-05-27,5.3819
2022-05-20,5.6086
2022-05-13,5.0848
2022-05-06,4.9316
2022-04-29,5.1172
2022-04-22,4.8321
2022-04-14,4.6908
2022-04-08,4.6639
2022-04-01,4.6633
2022-03-25,4.6821
2022-03-18,4.9047
2022-03-11,5.0990
2022-03-04,5.0588
2022-02-25,5.1430
2022-02-18,5.1481
2022-02-11,4.6693
2022-02-04,4.6811
2022-01-28,4.7676
2022-01-21,4.5571
2022-01-14,4.4468
2022-01-07,4.2973
2021-12-31,4.1107
2021-12-23,4.2328
2021-12-17,4.2960
2021-12-10,4.2633
2021-12-03,4.3740
2021-11-26,4.5813
2021-11-19,4.6418
2021-11-12,4.5603
2021-11-05,4.5175
2021-10-29,4.6822
2021-10-22,4.6903
2021-10-15,3.4918
2021-10-08,3.5181
2021-10-01,3.5118
2021-09-24,3.5211
2021-09-17,3.5311
2021-09-10,3.5318
2021-09-03,3.5800
2021-08-27,3.7428
2021-08-20,3.9067
2021-08-13,3.7368
2021-08-06,3.8703
2021-07-30,4.0564
2021-07-23,4.2016
2021-07-16,4.1219
2021-07-09,4.1736
2021-07-02,4.2747
2021-06-25,3.9685
2021-06-18,4.1726
2021-06-11,3.8322
2021-06-04,3.9392
2021-05-28,4.1469
2021-05-21,4.3101
2021-05-14,4.3841
2021-05-07,4.3132
2021-04-30,4.4561
2021-04-23,4.3381
2021-04-16,4.2807
2021-04-09,4.2341
2021-04-01,4.4456
2021-03-26,4.4063
2021-03-19,4.5079
2021-03-12,4.6835
2021-03-05,4.8762
2021-02-26,5.1004
2021-02-19,5.1079
2021-02-12,5.2554
2021-02-05,5.4761
2021-01-29,5.7917
2021-01-22,5.7875
2021-01-15,4.8664
2021-01-08,5.0133
2020-12-31,4.9723
2020-12-24,5.1987
2020-12-18,5.2945
2020-12-11,5.5804
2020-12-04,5.6245
2020-11-27,5.8885
2020-11-20,6.1925
2020-11-13,6.4771
2020-11-06,6.7497
2020-10-30,7.1145
2020-10-23,6.7067
2020-10-16,5.7753
2020-10-09,5.8641
2020-10-02,5.7409
2020-09-25,5.9770
2020-09-18,5.8434
2020-09-11,6.0842
2020-09-04,6.2895
2020-08-28,6.0876
2020-08-21,6.4290
2020-08-14,6.6055
2020-08-07,6.7274
2020-07-31,7.1722
2020-07-24,7.2279
2020-07-17,7.3921
2020-07-10,7.9143
2020-07-02,7.9996
2020-06-26,8.5218
2020-06-19,8.3408
2020-06-12,8.4425
2020-06-05,7.3423
2020-05-29,7.7322
2020-05-22,8.2274
2020-05-15,8.6061
2020-05-08,8.0328
2020-05-01,8.4987
2020-04-24,8.4548
2020-04-17,8.6252
2020-04-09,8.5019
2020-04-03,9.2619
2020-03-27,9.1568
