time,TRANGE
2025-11-07,9.7899
2025-11-06,14.3500
2025-11-05,7.4900
2025-11-04,8.7300
2025-11-03,7.9111
2025-10-31,11.8700
2025-10-30,8.7300
2025-10-29,6.8100
2025-10-28,7.9400
2025-10-27,10.6200
2025-10-24,28.5400
2025-10-23,23.9477
2025-10-22,7.8200
2025-10-21,3.7100
2025-10-20,4.5400
2025-10-17,8.0500
2025-10-16,6.9600
2025-10-15,9.3000
2025-10-14,4.9831
2025-10-13,7.7999
2025-10-10,12.8850
2025-10-09,6.8100
2025-10-08,7.7270
2025-10-07,11.6225
2025-10-06,3.6500
2025-10-03,6.6000
2025-10-02,5.7500
2025-10-01,6.4400
2025-09-30,6.2250
2025-09-29,6.3400
2025-09-26,8.7400
2025-09-25,16.7000
2025-09-24,6.3499
2025-09-23,4.0312
2025-09-22,6.3100
2025-09-19,4.2300
2025-09-18,8.4296
2025-09-17,3.9544
2025-09-16,3.5900
2025-09-15,5.6100
2025-09-12,4.8250
2025-09-11,2.8900
2025-09-10,5.5200
2025-09-09,5.7800
2025-09-08,10.1300
2025-09-05,3.5800
2025-09-04,6.4300
2025-09-03,4.8400
2025-09-02,5.2400
2025-08-29,4.0100
2025-08-28,2.5200
2025-08-27,3.9600
2025-08-26,5.5500
2025-08-25,3.1350
2025-08-22,4.2800
2025-08-21,3.9000
2025-08-20,2.5400
2025-08-19,3.3800
2025-08-18,2.3042
2025-08-15,3.8500
2025-08-14,4.4500
2025-08-13,6.0711
2025-08-12,4.6000
2025-08-11,8.4500
2025-08-08,7.8300
2025-08-07,6.0828
2025-08-06,5.0053
2025-08-05,3.7788
2025-08-04,3.9427
2025-08-01,7.4881
2025-07-31,7.9846
2025-07-30,3.4858
2025-07-29,4.7470
2025-07-28,4.3598
2025-07-25,4.4194
2025-07-24,29.0585
2025-07-23,6.5943
2025-07-22,3.6050
2025-07-21,3.3269
2025-07-18,5.1245
2025-07-17,2.5390
2025-07-16,3.9725
2025-07-15,3.4013
2025-07-14,3.1929
2025-07-11,4.4789
2025-07-10,7.8754
2025-07-09,2.9495
2025-07-08,6.0779
2025-07-07,4.8257
2025-07-03,4.6378
2025-07-02,4.2704
2025-07-01,4.9935
2025-06-30,5.0748
2025-06-27,4.5683
2025-06-26,2.7261
2025-06-25,6.6141
2025-06-24,5.8891
2025-06-23,9.3055
2025-06-20,6.8723
2025-06-18,3.9427
2025-06-17,3.7637
2025-06-16,7.2299
2025-06-13,5.1642
2025-06-12,3.2078
2025-06-11,6.5943
2025-06-10,5.3529
2025-06-09,6.7134
2025-06-06,3.2872
2025-06-05,2.3934
2025-06-04,2.1948
2025-06-03,2.9595
2025-06-02,6.7095
2025-05-30,2.9992
2025-05-29,4.3300
2025-05-28,5.0252
2025-05-27,5.1214
2025-05-23,4.0515
2025-05-22,3.3380
2025-05-21,6.4950
2025-05-20,3.6347
2025-05-19,4.0271
2025-05-16,3.3667
2025-05-15,9.5438
2025-05-14,4.3002
