time,ULTOSC
2025-11-07,56.3417
2025-11-06,55.5553
2025-11-05,55.5364
2025-11-04,58.8558
2025-11-03,63.1178
2025-10-31,67.2005
2025-10-30,67.4572
2025-10-29,66.4846
2025-10-28,70.1360
2025-10-27,70.8978
2025-10-24,66.5638
2025-10-23,60.0964
2025-10-22,47.5320
2025-10-21,38.6752
2025-10-20,43.2397
2025-10-17,41.9929
2025-10-16,38.1343
2025-10-15,41.6412
2025-10-14,41.5890
2025-10-13,40.6232
2025-10-10,45.3850
2025-10-09,53.2734
2025-10-08,48.1752
2025-10-07,50.5475
2025-10-06,58.2323
2025-10-03,56.0930
2025-10-02,59.1880
2025-10-01,59.4856
2025-09-30,55.9772
2025-09-29,60.6310
2025-09-26,65.7270
2025-09-25,69.5964
2025-09-24,64.3505
2025-09-23,68.6276
2025-09-22,67.9760
2025-09-19,63.4570
2025-09-18,63.4796
2025-09-17,61.7235
2025-09-16,63.5247
2025-09-15,62.1633
2025-09-12,64.7356
2025-09-11,68.4480
2025-09-10,67.4708
2025-09-09,70.9462
2025-09-08,70.4431
2025-09-05,64.4012
2025-09-04,59.8363
2025-09-03,58.4643
2025-09-02,51.7405
2025-08-29,51.3526
2025-08-28,50.8082
2025-08-27,44.8838
2025-08-26,44.1948
2025-08-25,41.6849
2025-08-22,49.8895
2025-08-21,47.7238
2025-08-20,46.2866
2025-08-19,38.8738
2025-08-18,36.7489
2025-08-15,38.9722
2025-08-14,37.3167
2025-08-13,41.2014
2025-08-12,37.2690
2025-08-11,34.7986
2025-08-08,36.9117
2025-08-07,40.3732
2025-08-06,45.5514
2025-08-05,46.1719
2025-08-04,40.1750
2025-08-01,36.0557
2025-07-31,34.0202
2025-07-30,35.4541
2025-07-29,37.9029
2025-07-28,38.7530
2025-07-25,36.2537
2025-07-24,34.5488
2025-07-23,42.0257
2025-07-22,45.0067
2025-07-21,49.6280
2025-07-18,54.0395
2025-07-17,47.1708
2025-07-16,47.4738
2025-07-15,49.6613
2025-07-14,48.2429
2025-07-11,47.4530
2025-07-10,54.1415
2025-07-09,49.4286
2025-07-08,49.7608
2025-07-07,51.9370
2025-07-03,55.7663
2025-07-02,57.3003
2025-07-01,60.6026
2025-06-30,61.5176
2025-06-27,58.2534
2025-06-26,61.3726
2025-06-25,59.5805
2025-06-24,62.5178
2025-06-23,62.9119
2025-06-20,59.5160
2025-06-18,61.9917
2025-06-17,65.6678
2025-06-16,65.5196
2025-06-13,65.3858
2025-06-12,71.4313
2025-06-11,75.8516
2025-06-10,70.1793
2025-06-09,66.8611
2025-06-06,59.2881
2025-06-05,62.1332
2025-06-04,63.6672
2025-06-03,61.0600
2025-06-02,54.8139
2025-05-30,48.8606
2025-05-29,49.5371
2025-05-28,50.4117
2025-05-27,61.4007
2025-05-23,57.2999
2025-05-22,59.7772
2025-05-21,67.7329
2025-05-20,71.3407
2025-05-19,72.7259
2025-05-16,72.3380
2025-05-15,73.0982
2025-05-14,71.0221
2025-05-13,71.8012
2025-05-12,68.1137
2025-05-09,66.1655
2025-05-08,70.2222
2025-05-07,73.0906
2025-05-06,72.5463
2025-05-05,60.8661
2025-05-02,57.9943
2025-05-01,56.6033
2025-04-30,56.6081
2025-04-29,53.9770
2025-04-28,50.5717
2025-04-25,49.3915
2025-04-24,45.4859
2025-04-23,54.6325
2025-04-22,54.7124
2025-04-21,60.4956
2025-04-17,57.5417
2025-04-16,58.3898
2025-04-15,54.4472
2025-04-14,51.7182
2025-04-11,51.5158
2025-04-10,51.4837
2025-04-09,52.2497
2025-04-08,42.5711
2025-04-07,45.0735
2025-04-04,38.9116
2025-04-03,48.9555
2025-04-02,57.6977
2025-04-01,59.9143
2025-03-31,52.6852
2025-03-28,51.5889
2025-03-27,49.5369
2025-03-26,55.6659
2025-03-25,60.5897
2025-03-24,59.5334
2025-03-21,57.4285
2025-03-20,52.3754
2025-03-19,51.4801
2025-03-18,54.5528
2025-03-17,56.3228
2025-03-14,55.2224
2025-03-13,53.2344
2025-03-12,51.9348
2025-03-11,54.7089
2025-03-10,57.0527
2025-03-07,62.9088
2025-03-06,49.8721
2025-03-05,52.2062
2025-03-04,48.9020
2025-03-03,47.9875
2025-02-28,54.5571
2025-02-27,50.1168
2025-02-26,55.1831
2025-02-25,60.0311
2025-02-24,69.9057
2025-02-21,72.1650
2025-02-20,74.3512
2025-02-19,70.6288
2025-02-18,60.2772
2025-02-14,58.7240
2025-02-13,60.3873
2025-02-12,60.8824
2025-02-11,59.7066
2025-02-10,66.8820
2025-02-07,68.1406
2025-02-06,72.1613
2025-02-05,81.0888
2025-02-04,81.4101
2025-02-03,81.0600
2025-01-31,79.5019
2025-01-30,77.8719
2025-01-29,69.0832
2025-01-28,68.9598
2025-01-27,64.9847
2025-01-24,64.1197
2025-01-23,64.6517
2025-01-22,60.1502
2025-01-21,58.2277
2025-01-17,59.1562
2025-01-16,58.6671
2025-01-15,55.4228
2025-01-14,54.3599
2025-01-13,50.7421
2025-01-10,50.6630
2025-01-08,48.5696
2025-01-07,49.7063
2025-01-06,54.7760
2025-01-03,52.9824
2025-01-02,48.6102
2024-12-31,49.9318
2024-12-30,43.5471
2024-12-27,41.7785
2024-12-26,43.8275
2024-12-24,40.0854
2024-12-23,38.7840
2024-12-20,39.0450
2024-12-19,42.7222
2024-12-18,35.9242
2024-12-17,45.9349
2024-12-16,46.5366
2024-12-13,49.7261
2024-12-12,53.1183
2024-12-11,54.8188
2024-12-10,55.8731
2024-12-09,55.5244
2024-12-06,70.3291
2024-12-05,68.1498
2024-12-04,65.4487
2024-12-03,65.8895
2024-12-02,66.0698
2024-11-29,67.4040
2024-11-27,71.4782
2024-11-26,69.3234
2024-11-25,67.3286
2024-11-22,66.0763
2024-11-21,68.5823
2024-11-20,60.5561
2024-11-19,53.6974
2024-11-18,47.6037
2024-11-15,48.8781
2024-11-14,53.6864
2024-11-13,50.6869
2024-11-12,46.8677
2024-11-11,49.7035
2024-11-08,46.6432
2024-11-07,47.1500
2024-11-06,43.8293
2024-11-05,33.5967
2024-11-04,28.9366
2024-11-01,30.8886
2024-10-31,31.6595
2024-10-30,30.3316
2024-10-29,35.2094
