time,ADOSC
2025-11-07,4213579.7677
2025-11-06,4291024.6559
2025-11-05,3981053.1467
2025-11-04,4067256.4530
2025-11-03,4912604.2041
2025-10-31,6473035.1014
2025-10-30,7411474.2504
2025-10-29,8252607.2508
2025-10-28,9079372.1722
2025-10-27,8670225.8482
2025-10-24,5768282.5002
2025-10-23,2336633.6875
2025-10-22,-599180.8696
2025-10-21,-1526285.3582
2025-10-20,-1371850.0165
2025-10-17,-1794897.8908
2025-10-16,-2191461.1371
2025-10-15,-1976949.6727
2025-10-14,-2098055.7767
2025-10-13,-2191483.5955
2025-10-10,-1740290.4113
2025-10-09,-1127181.7620
2025-10-08,-1068064.5397
2025-10-07,-237882.6491
2025-10-06,976737.6647
2025-10-03,1398987.8441
2025-10-02,1927746.3144
2025-10-01,1899659.3938
2025-09-30,2025887.1366
2025-09-29,3211448.2062
2025-09-26,4362723.5866
2025-09-25,4389713.7069
2025-09-24,3853504.7079
2025-09-23,4275159.2402
2025-09-22,3759004.7131
2025-09-19,3108257.8579
2025-09-18,2550899.4248
2025-09-17,2080746.4119
2025-09-16,2297662.0653
2025-09-15,2491866.3034
2025-09-12,3124529.5306
2025-09-11,3810940.2929
2025-09-10,4093471.2348
2025-09-09,4094745.1484
2025-09-08,3412480.8739
2025-09-05,2417608.1361
2025-09-04,1849444.6238
2025-09-03,1232399.3934
2025-09-02,423268.8974
2025-08-29,-284763.7637
2025-08-28,-616637.5004
2025-08-27,-1200617.9164
2025-08-26,-1447567.3961
2025-08-25,-1293255.1770
2025-08-22,-899182.0915
2025-08-21,-1052729.8134
2025-08-20,-1146794.5819
2025-08-19,-1699110.0083
2025-08-18,-1856743.3986
2025-08-15,-1872999.8919
2025-08-14,-2398617.3058
2025-08-13,-2453177.7486
2025-08-12,-2430423.6428
2025-08-11,-1068214.5593
2025-08-08,601901.3769
2025-08-07,1977728.1064
2025-08-06,2683937.8124
2025-08-05,2672580.0597
2025-08-04,2550153.6440
2025-08-01,1848934.4366
2025-07-31,1750863.0121
2025-07-30,2756433.8301
2025-07-29,2869856.2750
2025-07-28,2632316.0637
2025-07-25,1366557.8246
2025-07-24,-182593.3270
2025-07-23,-1893344.7522
2025-07-22,-610218.7296
2025-07-21,-55082.6536
2025-07-18,152937.4054
2025-07-17,-163391.8158
2025-07-16,-130905.6654
2025-07-15,-186101.3388
2025-07-14,-247137.4872
2025-07-11,-211968.9987
2025-07-10,109361.2443
2025-07-09,-53796.1897
2025-07-08,196324.6482
2025-07-07,646960.6783
2025-07-03,835614.8742
2025-07-02,924281.4001
2025-07-01,1417411.4565
2025-06-30,1671680.3452
2025-06-27,1447992.7111
2025-06-26,1835839.6670
2025-06-25,1861026.0411
2025-06-24,1988071.8109
2025-06-23,1429831.3492
2025-06-20,1202135.0789
2025-06-18,1613038.3047
2025-06-17,2378195.5999
2025-06-16,2668573.4013
2025-06-13,2974170.4128
2025-06-12,3290699.2854
2025-06-11,3228983.2954
2025-06-10,2513086.0042
2025-06-09,2125119.5886
2025-06-06,1893416.5798
2025-06-05,1966631.8512
2025-06-04,1892848.3257
2025-06-03,1887513.3831
2025-06-02,1423972.2754
2025-05-30,941517.2288
2025-05-29,721338.8039
2025-05-28,1037937.1353
2025-05-27,1427001.3977
2025-05-23,1414084.7451
2025-05-22,1901128.9647
2025-05-21,2879502.7533
2025-05-20,3729600.0882
2025-05-19,4014042.6813
2025-05-16,3904469.6994
2025-05-15,3840597.3024
2025-05-14,3593965.8043
2025-05-13,3862028.1687
2025-05-12,3660845.4219
2025-05-09,3574344.1484
2025-05-08,4265483.1723
2025-05-07,4721822.4730
2025-05-06,4573455.4253
2025-05-05,4369201.0711
2025-05-02,3892375.1753
2025-05-01,3503808.2790
2025-04-30,3372201.3112
2025-04-29,2491193.4428
2025-04-28,1799382.5458
2025-04-25,990456.3535
2025-04-24,203022.9805
2025-04-23,95673.4130
2025-04-22,628151.9241
2025-04-21,741607.7580
2025-04-17,1157326.5093
2025-04-16,1566650.9646
2025-04-15,1685372.3766
2025-04-14,1341504.6678
2025-04-11,1020607.6917
2025-04-10,249327.1264
2025-04-09,-491932.2509
2025-04-08,-1124604.4275
2025-04-07,-321019.3233
2025-04-04,190047.1846
2025-04-03,1686673.2186
2025-04-02,2371473.8965
2025-04-01,2239018.9584
2025-03-31,1735172.3110
2025-03-28,1748246.8112
2025-03-27,2463290.8152
2025-03-26,3241618.2592
2025-03-25,3675947.8474
2025-03-24,3245319.3463
2025-03-21,2320928.5558
2025-03-20,1346468.4457
2025-03-19,1011793.9621
2025-03-18,819024.9999
2025-03-17,1027247.7636
2025-03-14,705261.5274
2025-03-13,405195.9395
2025-03-12,748293.8817
2025-03-11,1171891.0582
2025-03-10,1903098.7743
2025-03-07,2359823.6706
2025-03-06,1507264.0817
2025-03-05,1544744.8052
2025-03-04,1182146.9597
2025-03-03,959041.7657
2025-02-28,1014502.5441
2025-02-27,591757.7654
2025-02-26,1708250.0729
2025-02-25,2694566.6580
2025-02-24,3944286.7402
2025-02-21,4559840.8344
2025-02-20,5271938.4923
2025-02-19,4738061.6775
2025-02-18,4266657.3837
2025-02-14,3941956.2517
2025-02-13,3580198.8896
2025-02-12,3252393.3852
2025-02-11,3502275.1091
2025-02-10,4195361.1367
2025-02-07,5447337.8354
2025-02-06,7082795.6368
2025-02-05,8479996.4855
2025-02-04,8623979.7467
2025-02-03,7816566.5320
2025-01-31,6781753.6636
2025-01-30,5858847.2520
2025-01-29,4367548.0532
2025-01-28,3381369.6185
2025-01-27,2588686.4873
2025-01-24,2025227.3607
2025-01-23,2024120.8671
2025-01-22,1495742.4720
2025-01-21,1366313.7507
2025-01-17,1555013.2915
2025-01-16,1306719.9210
2025-01-15,696412.7923
2025-01-14,417896.9180
2025-01-13,-55522.9058
2025-01-10,-155608.5783
2025-01-08,-223683.8283
2025-01-07,-276070.3474
2025-01-06,-228794.2289
2025-01-03,-499534.6089
2025-01-02,-887663.5342
2024-12-31,-1123487.1197
2024-12-30,-1461769.5655
2024-12-27,-1878275.0582
2024-12-26,-2248066.5649
2024-12-24,-2720514.7300
2024-12-23,-2698070.0569
2024-12-20,-2035489.2637
2024-12-19,-894154.9423
2024-12-18,-222261.8534
2024-12-17,522129.4848
2024-12-16,711221.6303
2024-12-13,1026040.9511
2024-12-12,1670442.9571
2024-12-11,2144300.1210
2024-12-10,2864125.4565
2024-12-09,3340205.5106
2024-12-06,4093188.0555
2024-12-05,3926480.0739
2024-12-04,4120666.7200
2024-12-03,3810060.4890
2024-12-02,3827483.1285
2024-11-29,4233746.7845
2024-11-27,4736950.9997
2024-11-26,4501557.9077
2024-11-25,3634089.2726
2024-11-22,2769022.9451
2024-11-21,2565182.1286
2024-11-20,1402861.9431
2024-11-19,479721.5060
2024-11-18,-174451.5930
2024-11-15,-590444.9397
2024-11-14,-543341.4262
2024-11-13,-1042985.4348
2024-11-12,-1361041.5829
2024-11-11,-1268592.8003
2024-11-08,-1031108.3020
2024-11-07,-1240036.6414
2024-11-06,-1948335.6256
2024-11-05,-2663713.4011
2024-11-04,-2989318.5157
2024-11-01,-2866379.1395
2024-10-31,-2648664.8729
2024-10-30,-2241089.1225
2024-10-29,-603596.1884
2024-10-28,893708.4805
2024-10-25,2564299.5283
2024-10-24,4119188.3648
2024-10-23,4470847.3581
2024-10-22,4196991.9386
2024-10-21,4220916.6108
2024-10-18,4126161.4492
2024-10-17,3782218.8623
2024-10-16,3566038.9453
2024-10-15,3875510.6962
2024-10-14,4682674.4506
2024-10-11,4811329.0940
2024-10-10,4804976.5558
2024-10-09,5106724.3061
2024-10-08,4745137.0360
2024-10-07,4682481.6207
2024-10-04,4381702.9223
2024-10-03,3905246.0111
2024-10-02,3528921.6545
2024-10-01,3434157.5769
2024-09-30,3609253.6807
2024-09-27,3851469.8360
2024-09-26,4646644.8926
2024-09-25,4568260.2663
2024-09-24,4339484.9320
2024-09-23,3625601.9696
2024-09-20,2670009.2113
2024-09-19,1672208.2013
2024-09-18,2221562.9810
2024-09-17,2788383.2816
2024-09-16,3349098.1063
2024-09-13,3045380.7939
2024-09-12,2588872.5355
2024-09-11,1900482.6576
2024-09-10,1101342.2797
2024-09-09,956501.2825
2024-09-06,1143713.9439
2024-09-05,1524752.1143
2024-09-04,1677300.3237
2024-09-03,1459607.4065
2024-08-30,1650633.3797
2024-08-29,1251847.0168
2024-08-28,1670675.3082
2024-08-27,1789596.9311
2024-08-26,1641911.1416
2024-08-23,1514825.7836
2024-08-22,1613723.8881
2024-08-21,1708492.0650
2024-08-20,1326903.7862
2024-08-19,1142890.0890
2024-08-16,1103089.8254
2024-08-15,987284.4504
2024-08-14,828040.1570
2024-08-13,706010.6331
2024-08-12,586753.0506
2024-08-09,723704.8844
2024-08-08,495197.7635
2024-08-07,285224.5873
2024-08-06,805175.4598
2024-08-05,679490.3853
2024-08-02,576909.9673
2024-08-01,146235.1737
2024-07-31,504597.2901
2024-07-30,552449.0832
2024-07-29,490790.9019
2024-07-26,374116.4640
2024-07-25,238170.8644
2024-07-24,55546.3832
2024-07-23,294417.1502
2024-07-22,522546.3113
2024-07-19,834170.7468
2024-07-18,1466773.2388
2024-07-17,1949306.9882
2024-07-16,1701735.3347
2024-07-15,1831693.3635
2024-07-12,2091757.1912
2024-07-11,1721282.6414
2024-07-10,1555414.1598
2024-07-09,1233344.6018
2024-07-08,1273688.6499
2024-07-05,1100752.1123
2024-07-03,844650.2926
2024-07-02,822809.3330
2024-07-01,415850.7588
2024-06-28,330834.8651
2024-06-27,246036.3731
2024-06-26,822573.9937
2024-06-25,1278767.4055
2024-06-24,2194079.3599
2024-06-21,3107400.4866
2024-06-20,3624525.0563
2024-06-18,3025814.0083
2024-06-17,2595243.7332
2024-06-14,2299418.5383
2024-06-13,2223161.8168
2024-06-12,2428809.2476
2024-06-11,2781778.7655
2024-06-10,2543974.8000
2024-06-07,2295625.1653
2024-06-06,2155290.3084
2024-06-05,1853401.1433
2024-06-04,1527680.5484
2024-06-03,1262270.6613
2024-05-31,1018616.1144
2024-05-30,518054.0222
2024-05-29,800822.9647
2024-05-28,1358684.4631
2024-05-24,1873157.7245
2024-05-23,2483737.4055
2024-05-22,3151445.8807
2024-05-21,3184080.7305
2024-05-20,2738266.9173
2024-05-17,2340866.5414
2024-05-16,1905283.3183
2024-05-15,1642417.1373
2024-05-14,1252156.4074
2024-05-13,1417660.7736
2024-05-10,1611733.6370
2024-05-09,1943251.0250
2024-05-08,2302896.5511
2024-05-07,2074751.1507
2024-05-06,2105817.5581
2024-05-03,1623654.5968
2024-05-02,1670675.2922
2024-05-01,1509769.2745
2024-04-30,1931993.7161
2024-04-29,1519473.9108
2024-04-26,1016982.3199
2024-04-25,286883.2196
2024-04-24,-313867.8666
2024-04-23,-1578522.4875
2024-04-22,-1884123.8248
2024-04-19,-2031350.6099
2024-04-18,-2065120.9897
2024-04-17,-1977044.5604
2024-04-16,-1764072.8906
2024-04-15,-1249777.2696
2024-04-12,-634588.4843
2024-04-11,-306388.2869
2024-04-10,-325200.8933
2024-04-09,-171031.8066
2024-04-08,-353726.7266
2024-04-05,-529455.3520
2024-04-04,-519816.6363
2024-04-03,-458971.0651
2024-04-02,-944658.0786
2024-04-01,-1193069.8907
2024-03-28,-1393668.6341
2024-03-27,-1376546.7800
2024-03-26,-1420974.9420
2024-03-25,-457729.9453
2024-03-22,184207.2650
2024-03-21,347683.8405
2024-03-20,-203692.0866
2024-03-19,-983111.2976
2024-03-18,-1416666.3725
2024-03-15,-791912.8624
2024-03-14,353658.6294
2024-03-13,732118.1774
2024-03-12,735584.7811
2024-03-11,652293.4369
2024-03-08,1406980.6831
2024-03-07,1819704.1142
2024-03-06,2293399.3796
2024-03-05,2023065.3265
2024-03-04,1761691.9375
2024-03-01,802497.3563
2024-02-29,573075.5290
2024-02-28,1079429.6688
2024-02-27,658700.9487
2024-02-26,638879.8136
2024-02-23,1333495.7901
2024-02-22,1262253.4906
2024-02-21,1201387.3575
2024-02-20,2000850.9914
2024-02-16,2513832.9549
2024-02-15,2152240.1284
2024-02-14,1422455.1132
2024-02-13,1150250.4977
2024-02-12,484797.3618
2024-02-09,-655546.1059
2024-02-08,-1703895.3892
2024-02-07,-2739462.1427
2024-02-06,-3077990.5278
2024-02-05,-2551690.2784
2024-02-02,-1812156.6871
2024-02-01,-1312555.0192
2024-01-31,-1155154.8738
2024-01-30,229158.9852
2024-01-29,844592.1379
2024-01-26,2095357.4794
2024-01-25,3543624.8575
2024-01-24,4168148.0000
2024-01-23,4257400.8792
2024-01-22,4058972.4008
2024-01-19,4235744.0686
2024-01-18,3294892.2216
2024-01-17,2969630.7813
2024-01-16,2931113.2250
2024-01-12,1943021.8484
2024-01-11,857545.6943
2024-01-10,12738.3321
2024-01-09,-563677.3912
2024-01-08,-846760.8545
2024-01-05,-1147497.6717
2024-01-04,-690759.1876
2024-01-03,-268537.3908
2024-01-02,393923.3505
2023-12-29,457162.9821
2023-12-28,240721.9086
2023-12-27,-136052.6976
2023-12-26,-667847.9952
2023-12-22,-1046619.4580
2023-12-21,-1210547.5220
2023-12-20,-957908.3791
2023-12-19,119543.1310
2023-12-18,790385.2150
2023-12-15,1416132.2061
2023-12-14,2740051.8366
2023-12-13,2369982.6949
2023-12-12,2532165.8420
2023-12-11,2262126.8448
2023-12-08,1584483.6212
2023-12-07,1576154.8809
2023-12-06,2553421.0053
2023-12-05,3383701.3059
2023-12-04,3812269.9660
2023-12-01,3877848.5640
2023-11-30,3002144.4910
2023-11-29,2374609.2576
2023-11-28,2745080.0964
2023-11-27,2646875.9058
2023-11-24,2754343.4957
2023-11-22,2852617.3943
2023-11-21,3067016.3027
2023-11-20,3335556.4931
2023-11-17,3215516.9419
2023-11-16,3366636.7693
2023-11-15,3056659.3617
2023-11-14,2661550.5788
2023-11-13,2344183.1182
2023-11-10,2160626.1052
2023-11-09,1816253.5931
2023-11-08,1752096.2152
2023-11-07,1977537.6758
2023-11-06,1592971.7734
2023-11-03,987037.0997
2023-11-02,569843.7293
2023-11-01,-195549.6609
2023-10-31,-579313.7161
2023-10-30,-1320995.8295
2023-10-27,-905367.0171
2023-10-26,-1149790.5734
2023-10-25,-2166247.8312
2023-10-24,-2117566.6394
2023-10-23,-2342400.1903
2023-10-20,-1669362.7083
2023-10-19,-669166.5709
2023-10-18,-62390.9392
2023-10-17,-259066.5805
2023-10-16,-667029.5415
2023-10-13,-343092.0472
2023-10-12,377842.4225
2023-10-11,645888.0040
2023-10-10,295393.8343
2023-10-09,189728.7779
2023-10-06,-477290.7990
2023-10-05,-1145221.5882
2023-10-04,-1894412.7909
2023-10-03,-2375413.1038
2023-10-02,-2418471.2738
2023-09-29,-2707113.9799
2023-09-28,-2769554.2973
2023-09-27,-3293070.3078
2023-09-26,-3366404.7587
2023-09-25,-2671880.1787
2023-09-22,-2254770.3782
