time,Chaikin A/D
2025-11-07,797264610.7867
2025-11-06,797175234.6198
2025-11-05,793226669.4971
2025-11-04,789125456.8336
2025-11-03,787122159.0791
2025-10-31,791453408.0247
2025-10-30,791654437.9059
2025-10-29,790928519.0915
2025-10-28,794226345.4703
2025-10-27,798504885.4451
2025-10-24,789398682.0741
2025-10-23,776384078.8408
2025-10-22,760584951.2705
2025-10-21,754520608.5595
2025-10-20,757611594.1687
2025-10-17,756965065.0410
2025-10-16,754452090.7987
2025-10-15,757094628.3073
2025-10-14,757470890.4789
2025-10-13,756106564.8499
2025-10-10,757573364.8931
2025-10-09,761857932.6827
2025-10-08,759686677.3597
2025-10-07,760888397.7673
2025-10-06,766994096.1270
2025-10-03,767317821.6804
2025-10-02,770137641.9728
2025-10-01,768737984.6650
2025-09-30,764492713.0625
2025-09-29,766888245.4694
2025-09-26,772644409.1129
2025-09-25,772997010.8200
2025-09-24,766398673.2276
2025-09-23,769329685.7424
2025-09-22,766762152.6567
2025-09-19,763230410.6282
2025-09-18,760224036.0466
2025-09-17,755507831.2443
2025-09-16,755321274.4731
2025-09-15,753328688.3060
2025-09-12,753783375.0486
2025-09-11,755772198.5719
2025-09-10,755994928.2051
2025-09-09,756821589.3645
2025-09-08,754535194.6587
2025-09-05,749047379.9795
2025-09-04,746779085.7784
2025-09-03,745126497.2854
2025-09-02,742165846.0333
2025-08-29,738801481.4272
2025-08-28,738960099.2631
2025-08-27,736475093.8107
2025-08-26,734868730.2147
2025-08-25,734985829.8234
2025-08-22,738499156.8234
2025-08-21,738245466.9506
2025-08-20,740071692.8467
2025-08-19,737673535.2404
2025-08-18,737434375.5997
2025-08-15,739968505.3910
2025-08-14,737655294.9754
2025-08-13,738194552.3719
2025-08-12,734412946.2264
2025-08-11,737818394.6307
2025-08-08,743647423.0331
2025-08-07,749394433.2630
2025-08-06,753022730.1079
2025-08-05,752319472.0127
2025-08-04,753015785.3582
2025-08-01,748001221.9426
2025-07-31,743033550.3910
2025-07-30,748159423.4567
2025-07-29,748615213.8437
2025-07-28,750551251.6842
2025-07-25,747227568.3220
2025-07-24,743234913.1827
2025-07-23,728082037.9963
2025-07-22,734796267.3638
2025-07-21,737733326.3142
2025-07-18,740183868.9381
2025-07-17,738044502.6628
2025-07-16,738509977.9459
2025-07-15,738439857.1709
2025-07-14,738009267.0283
2025-07-11,737169377.7763
2025-07-10,739833779.6455
2025-07-09,737878024.0401
2025-07-08,737828002.0031
2025-07-07,739864260.4247
2025-07-03,740455932.6749
2025-07-02,738896150.9826
2025-07-01,740668476.7729
2025-06-30,742483254.7836
2025-06-27,739031470.2722
2025-06-26,740766253.3678
2025-06-25,739730708.2494
2025-06-24,741783647.2674
2025-06-23,738347034.2534
2025-06-20,734884133.2256
2025-06-18,734196312.9308
2025-06-17,737249712.7545
2025-06-16,736998627.6418
2025-06-13,736686395.8111
2025-06-12,737681384.2200
2025-06-11,738559695.6163
2025-06-10,734226218.1886
2025-06-09,731649722.8424
2025-06-06,729099541.3749
2025-06-05,729061730.1173
2025-06-04,727836825.3124
2025-06-03,728715357.3259
2025-06-02,726823235.2723
2025-05-30,724055067.4031
2025-05-29,721173600.2839
2025-05-28,721447343.0729
2025-05-27,723490866.5946
2025-05-23,721086623.5987
2025-05-22,720018518.2236
2025-05-21,722263633.7210
2025-05-20,725358442.7612
2025-05-19,726024609.5379
2025-05-16,723969580.6069
2025-05-15,722899657.2588
2025-05-14,718869278.5377
2025-05-13,719817936.7641
2025-05-12,717337197.0506
2025-05-09,712848450.5004
2025-05-08,714060953.3064
2025-05-07,715718185.0740
2025-05-06,713644896.0640
2025-05-05,712265710.1229
2025-05-02,708960549.9670
2025-05-01,705468270.2239
2025-04-30,706422412.0386
2025-04-29,702101801.9584
2025-04-28,699728231.3126
2025-04-25,696827896.0450
2025-04-24,691936085.0337
2025-04-23,689272385.8831
2025-04-22,692127042.2846
2025-04-21,691082620.1807
2025-04-17,691889865.2962
2025-04-16,693537349.2322
2025-04-15,694884685.3528
2025-04-14,693233785.7209
2025-04-11,693484232.6376
2025-04-10,690962583.8143
2025-04-09,688544664.6598
2025-04-08,681925963.6904
2025-04-07,685518193.6790
2025-04-04,683427360.0348
2025-04-03,690165140.1312
2025-04-02,694213072.8242
2025-04-01,694257110.5796
2025-03-31,690190585.5824
2025-03-28,687003420.1443
2025-03-27,687935415.4462
2025-03-26,690212142.7554
2025-03-25,693158601.5028
2025-03-24,692346132.5028
2025-03-21,688824838.2594
2025-03-20,683059642.2952
2025-03-19,681140041.3829
2025-03-18,678790554.2832
2025-03-17,680913075.8684
2025-03-14,679586098.2148
2025-03-13,676208434.3668
2025-03-12,676648613.3973
2025-03-11,676343250.5612
2025-03-10,678763772.3509
2025-03-07,683903441.7184
2025-03-06,677538712.1943
2025-03-05,678473539.2909
2025-03-04,676410713.4254
2025-03-03,674354943.6368
2025-02-28,675837064.9596
2025-02-27,668790874.0074
2025-02-26,671925683.5009
2025-02-25,672858554.0035
2025-02-24,677312997.1108
2025-02-21,676988166.2304
2025-02-20,681501191.9086
2025-02-19,677779435.7182
2025-02-18,674130428.5004
2025-02-14,671712945.0324
2025-02-13,669073366.7024
2025-02-12,664709318.8133
2025-02-11,662462518.4480
2025-02-10,660851625.6603
2025-02-07,661048088.6524
2025-02-06,663979068.8316
2025-02-05,669290256.0983
2025-02-04,669697641.2966
