time,MFI
2025-11-07,73.7696
2025-10-31,83.4937
2025-10-24,82.0310
2025-10-17,67.1846
2025-10-10,65.5533
2025-10-03,65.0629
2025-09-26,49.8739
2025-09-19,38.7807
2025-09-12,29.0325
2025-09-05,25.8525
2025-08-29,28.1388
2025-08-22,28.7863
2025-08-15,30.7627
2025-08-08,38.8256
2025-08-01,40.3954
2025-07-25,50.4928
2025-07-18,69.4655
2025-07-11,79.2041
2025-07-03,90.0908
2025-06-27,73.4966
2025-06-20,72.6250
2025-06-13,59.9078
2025-06-06,48.2063
2025-05-30,49.1898
2025-05-23,47.2595
2025-05-16,38.5745
2025-05-09,38.9490
2025-05-02,30.6703
2025-04-25,30.6575
2025-04-17,41.6890
2025-04-11,45.2979
2025-04-04,58.6705
2025-03-28,67.4216
2025-03-21,67.2347
2025-03-14,72.1701
2025-03-07,77.7837
2025-02-28,71.8703
2025-02-21,72.1415
2025-02-14,62.1226
2025-02-07,61.5236
2025-01-31,58.1846
2025-01-24,52.9170
2025-01-17,43.3746
2025-01-10,42.0905
2025-01-03,39.2828
2024-12-27,35.4569
2024-12-20,42.7033
2024-12-13,53.8449
2024-12-06,63.6558
2024-11-29,62.9871
2024-11-22,64.7270
2024-11-15,64.5950
2024-11-08,72.5167
2024-11-01,72.3678
2024-10-25,83.4022
2024-10-18,100.0000
2024-10-11,90.1923
2024-10-04,79.2822
2024-09-27,79.7590
2024-09-20,79.5752
2024-09-13,77.5526
2024-09-06,75.4753
2024-08-30,75.8887
2024-08-23,76.3105
2024-08-16,76.7307
2024-08-09,76.8560
2024-08-02,79.2476
2024-07-26,91.4910
2024-07-19,90.8455
2024-07-12,90.7183
2024-07-05,78.1914
2024-06-28,60.6399
2024-06-21,51.4160
2024-06-14,41.7669
2024-06-07,33.8350
2024-05-31,26.1942
2024-05-24,24.7570
2024-05-17,14.9272
2024-05-10,21.0551
2024-05-03,23.2347
2024-04-26,23.5182
2024-04-19,36.1385
2024-04-12,45.8404
2024-04-05,55.6513
2024-03-28,67.6224
2024-03-22,73.7410
2024-03-15,82.3064
2024-03-08,87.6870
2024-03-01,86.4532
2024-02-23,78.9308
