time,OBV
2025-11-07,1461779394.0000
2025-10-31,1488937171.0000
2025-10-24,1521377814.0000
2025-10-17,1469673380.0000
2025-10-10,1450668154.0000
2025-10-03,1475458138.0000
2025-09-26,1450938437.0000
2025-09-19,1416783722.0000
2025-09-12,1391214121.0000
2025-09-05,1367147978.0000
2025-08-29,1352609623.0000
2025-08-22,1334222967.0000
2025-08-15,1317958220.0000
2025-08-08,1350705386.0000
2025-08-01,1378580770.0000
2025-07-25,1408541337.0000
2025-07-18,1454929626.0000
2025-07-11,1438587955.0000
2025-07-03,1456252404.0000
2025-06-27,1444373417.0000
2025-06-20,1425322218.0000
2025-06-13,1407356269.0000
2025-06-06,1386543433.0000
2025-05-30,1373472868.0000
2025-05-23,1355906064.0000
2025-05-16,1371110705.0000
2025-05-09,1350670459.0000
2025-05-02,1333693376.0000
2025-04-25,1313495174.0000
2025-04-17,1352713226.0000
2025-04-11,1336522298.0000
2025-04-04,1304589602.0000
2025-03-28,1332595267.0000
2025-03-21,1314240985.0000
2025-03-14,1342107851.0000
2025-03-07,1367621561.0000
2025-02-28,1345337401.0000
2025-02-21,1370879162.0000
2025-02-14,1352344993.0000
2025-02-07,1332446920.0000
2025-01-31,1362596768.0000
2025-01-24,1323547771.0000
2025-01-17,1307953134.0000
2025-01-10,1288962767.0000
2025-01-03,1301299861.0000
2024-12-27,1312119014.0000
2024-12-20,1321391365.0000
2024-12-13,1349658805.0000
2024-12-06,1370544889.0000
2024-11-29,1351801152.0000
2024-11-22,1334526975.0000
2024-11-15,1313140109.0000
2024-11-08,1332578455.0000
2024-11-01,1316731565.0000
2024-10-25,1343199456.0000
2024-10-18,1374580276.0000
2024-10-11,1393057670.0000
2024-10-04,1374659457.0000
2024-09-27,1356880827.0000
2024-09-20,1340580662.0000
2024-09-13,1312047892.0000
2024-09-06,1290529145.0000
2024-08-30,1304049010.0000
2024-08-23,1288478727.0000
2024-08-16,1277456178.0000
2024-08-09,1266125324.0000
2024-08-02,1247229459.0000
2024-07-26,1267823826.0000
2024-07-19,1242365328.0000
2024-07-12,1224535859.0000
2024-07-05,1208464624.0000
2024-06-28,1198525369.0000
2024-06-21,1179674891.0000
2024-06-14,1158143531.0000
2024-06-07,1174365598.0000
2024-05-31,1160263202.0000
2024-05-24,1175857388.0000
2024-05-17,1157447263.0000
2024-05-10,1141513960.0000
2024-05-03,1124092437.0000
2024-04-26,1146628631.0000
2024-04-19,1188957900.0000
2024-04-12,1205887450.0000
2024-04-05,1220842763.0000
2024-03-28,1233650836.0000
2024-03-22,1218267538.0000
2024-03-15,1242236043.0000
2024-03-08,1269702366.0000
2024-03-01,1240617070.0000
2024-02-23,1218661691.0000
2024-02-16,1236149543.0000
2024-02-09,1214404537.0000
2024-02-02,1191619725.0000
2024-01-26,1219903601.0000
2024-01-19,1163670839.0000
2024-01-12,1143806531.0000
2024-01-05,1126163139.0000
2023-12-29,1140985213.0000
2023-12-22,1131608676.0000
2023-12-15,1149295074.0000
2023-12-08,1115790524.0000
2023-12-01,1093871567.0000
2023-11-24,1071970923.0000
2023-11-17,1060608227.0000
2023-11-10,1041060632.0000
2023-11-03,1022702688.0000
2023-10-27,999743224.0000
2023-10-20,969515776.0000
2023-10-13,990559825.0000
2023-10-06,1006946159.0000
2023-09-29,991013241.0000
2023-09-22,1014458666.0000
2023-09-15,990861498.0000
2023-09-08,1010178145.0000
2023-09-01,1023897596.0000
2023-08-25,1008698989.0000
2023-08-18,993084000.0000
2023-08-11,1011910007.0000
2023-08-04,992481537.0000
2023-07-28,968408707.0000
2023-07-21,944097821.0000
2023-07-14,914802281.0000
2023-07-07,899692511.0000
2023-06-30,910616351.0000
2023-06-23,891920501.0000
2023-06-16,919032010.0000
2023-06-09,894803413.0000
2023-06-02,873629235.0000
2023-05-26,849289990.0000
2023-05-19,828260011.0000
2023-05-12,809975487.0000
2023-05-05,789571123.0000
2023-04-28,810735783.0000
2023-04-21,790091559.0000
2023-04-14,820432687.0000
2023-04-06,839939187.0000
2023-03-31,853111449.0000
2023-03-24,832331927.0000
2023-03-17,811873674.0000
2023-03-10,878006364.0000
2023-03-03,898767765.0000
2023-02-24,916633442.0000
2023-02-17,930832392.0000
2023-02-10,947376262.0000
2023-02-03,925235273.0000
2023-01-27,897360702.0000
2023-01-20,940705842.0000
2023-01-13,962125210.0000
2023-01-06,947544614.0000
2022-12-30,933895859.0000
2022-12-23,944373278.0000
2022-12-16,924709702.0000
2022-12-09,958282084.0000
2022-12-02,973599014.0000
2022-11-25,953532073.0000
2022-11-18,937260190.0000
2022-11-11,915225260.0000
2022-11-04,890159146.0000
2022-10-28,912650702.0000
2022-10-21,885983517.0000
2022-10-14,848673649.0000
2022-10-07,825700137.0000
2022-09-30,804085185.0000
2022-09-23,826350426.0000
2022-09-16,845793090.0000
2022-09-09,872900277.0000
2022-09-02,860895443.0000
2022-08-26,875982051.0000
2022-08-19,892964158.0000
2022-08-12,875858181.0000
2022-08-05,858604071.0000
2022-07-29,841203499.0000
2022-07-22,818979714.0000
2022-07-15,885226525.0000
2022-07-08,906315753.0000
2022-07-01,922544884.0000
2022-06-24,943597671.0000
2022-06-17,919675827.0000
2022-06-10,953731448.0000
2022-06-03,972645532.0000
2022-05-27,952783966.0000
2022-05-20,933165876.0000
2022-05-13,960526317.0000
2022-05-06,991697806.0000
2022-04-29,964618220.0000
2022-04-22,989178684.0000
2022-04-14,942121919.0000
2022-04-08,957464560.0000
2022-04-01,974017581.0000
2022-03-25,993201367.0000
2022-03-18,977760415.0000
2022-03-11,955084783.0000
2022-03-04,978869670.0000
2022-02-25,952738012.0000
2022-02-18,973155173.0000
2022-02-11,999177997.0000
2022-02-04,1022667141.0000
2022-01-28,995001591.0000
2022-01-21,942201190.0000
2022-01-14,962721677.0000
2022-01-07,994766362.0000
2021-12-31,958752596.0000
2021-12-23,940297659.0000
2021-12-17,922928034.0000
2021-12-10,887711184.0000
2021-12-03,862679672.0000
2021-11-26,826620021.0000
2021-11-19,844495048.0000
2021-11-12,868767845.0000
2021-11-05,897877757.0000
2021-10-29,867359520.0000
2021-10-22,903224906.0000
2021-10-15,965704138.0000
2021-10-08,948693370.0000
2021-10-01,977156376.0000
2021-09-24,952236276.0000
2021-09-17,932963488.0000
2021-09-10,954019688.0000
2021-09-03,968406631.0000
2021-08-27,954447716.0000
2021-08-20,941501794.0000
2021-08-13,958435492.0000
2021-08-06,939123977.0000
2021-07-30,921939699.0000
2021-07-23,938801861.0000
2021-07-16,902415431.0000
2021-07-09,921933453.0000
2021-07-02,899397492.0000
2021-06-25,929812069.0000
2021-06-18,911894747.0000
2021-06-11,936138344.0000
2021-06-04,913081572.0000
2021-05-28,900055718.0000
2021-05-21,919389810.0000
2021-05-14,897898565.0000
2021-05-07,926575348.0000
2021-04-30,893531377.0000
2021-04-23,920297458.0000
2021-04-16,870877900.0000
2021-04-09,898943384.0000
2021-04-01,878881252.0000
2021-03-26,898161651.0000
2021-03-19,873425993.0000
2021-03-12,844089396.0000
2021-03-05,813490693.0000
2021-02-26,779326147.0000
2021-02-19,811471615.0000
2021-02-12,835077273.0000
2021-02-05,809309837.0000
2021-01-29,779597576.0000
2021-01-22,720564282.0000
2021-01-15,785290160.0000
2021-01-08,816061343.0000
2020-12-31,786318974.0000
2020-12-24,771648387.0000
2020-12-18,787242611.0000
2020-12-11,760799182.0000
2020-12-04,791668344.0000
2020-11-27,765676311.0000
2020-11-20,745364930.0000
2020-11-13,721831074.0000
2020-11-06,690358172.0000
2020-10-30,663719450.0000
2020-10-23,702683905.0000
2020-10-16,755492924.0000
2020-10-09,778374133.0000
2020-10-02,732997079.0000
2020-09-25,717267058.0000
2020-09-18,736836141.0000
2020-09-11,717056912.0000
2020-09-04,734324139.0000
2020-08-28,761845358.0000
2020-08-21,744105415.0000
2020-08-14,760746204.0000
2020-08-07,741254353.0000
2020-07-31,722738380.0000
2020-07-24,743669442.0000
2020-07-17,700741171.0000
2020-07-10,677772152.0000
2020-07-02,701369943.0000
2020-06-26,684133225.0000
2020-06-19,720760153.0000
2020-06-12,694748553.0000
2020-06-05,729744195.0000
2020-05-29,709331646.0000
2020-05-22,685234184.0000
2020-05-15,664853727.0000
2020-05-08,690197335.0000
2020-05-01,668032712.0000
2020-04-24,695754835.0000
2020-04-17,652605027.0000
2020-04-09,681098452.0000
2020-04-03,656673185.0000
2020-03-27,686883975.0000
2020-03-20,645140699.0000
2020-03-13,694447093.0000
2020-03-06,752583819.0000
2020-02-28,789251096.0000
2020-02-21,829501858.0000
2020-02-14,842569708.0000
2020-02-07,867070955.0000
2020-01-31,821366243.0000
2020-01-24,785110305.0000
2020-01-17,748678789.0000
2020-01-10,726889001.0000
2020-01-03,709085436.0000
2019-12-27,723121043.0000
2019-12-20,732416932.0000
2019-12-13,711458754.0000
2019-12-06,693149323.0000
2019-11-29,711284548.0000
2019-11-22,699252455.0000
2019-11-15,716995863.0000
2019-11-08,733908815.0000
2019-11-01,715943829.0000
2019-10-25,699065078.0000
2019-10-18,678785022.0000
2019-10-11,714566599.0000
2019-10-04,729311649.0000
2019-09-27,745954991.0000
2019-09-20,733009527.0000
2019-09-13,748974615.0000
2019-09-06,730380197.0000
2019-08-30,717133747.0000
2019-08-23,700176085.0000
2019-08-16,717440220.0000
2019-08-09,739336274.0000
2019-08-02,769276392.0000
2019-07-26,793205614.0000
2019-07-19,775638585.0000
2019-07-12,742278167.0000
2019-07-05,728476986.0000
2019-06-28,718160581.0000
2019-06-21,734452884.0000
2019-06-14,717872613.0000
2019-06-07,703519195.0000
2019-05-31,686580436.0000
2019-05-24,702133744.0000
2019-05-17,718406920.0000
2019-05-10,735588525.0000
2019-05-03,755995944.0000
2019-04-26,738452193.0000
2019-04-18,756193802.0000
2019-04-12,784844301.0000
2019-04-05,770539330.0000
2019-03-29,755294654.0000
2019-03-22,740381788.0000
2019-03-15,721675820.0000
2019-03-08,699751844.0000
2019-03-01,719164185.0000
2019-02-22,735140099.0000
2019-02-15,721292295.0000
2019-02-08,703197363.0000
2019-02-01,680316443.0000
2019-01-25,655645634.0000
2019-01-18,609467374.0000
2019-01-11,584764927.0000
2019-01-04,564074166.0000
2018-12-28,545196909.0000
2018-12-21,522571624.0000
2018-12-14,563873232.0000
2018-12-07,539081802.0000
2018-11-30,566070143.0000
2018-11-23,537335350.0000
2018-11-16,556200571.0000
2018-11-09,580792092.0000
2018-11-02,530078879.0000
2018-10-26,621889885.0000
2018-10-19,660555036.0000
2018-10-12,713826074.0000
2018-10-05,742803863.0000
2018-09-28,762618486.0000
2018-09-21,786517224.0000
2018-09-14,747472179.0000
2018-09-07,726240112.0000
2018-08-31,742342915.0000
2018-08-24,725680575.0000
2018-08-17,739271154.0000
2018-08-10,720558137.0000
2018-08-03,738445686.0000
2018-07-27,712958684.0000
2018-07-20,733816302.0000
2018-07-13,695561342.0000
2018-07-06,677365808.0000
2018-06-29,664788675.0000
2018-06-22,691410918.0000
2018-06-15,713381796.0000
2018-06-08,735673175.0000
2018-06-01,716198368.0000
2018-05-25,737478142.0000
2018-05-18,755209367.0000
2018-05-11,772263370.0000
2018-05-04,751320512.0000
2018-04-27,775864487.0000
2018-04-20,749685150.0000
2018-04-13,803164703.0000
2018-04-06,780809415.0000
2018-03-29,802722799.0000
2018-03-23,787101456.0000
2018-03-16,810070854.0000
2018-03-09,783841133.0000
2018-03-02,759947556.0000
2018-02-23,779645577.0000
2018-02-16,795322083.0000
2018-02-09,768437884.0000
2018-02-02,809081505.0000
2018-01-26,831928749.0000
2018-01-19,802462814.0000
2018-01-12,856066446.0000
2018-01-05,832661000.0000
2017-12-29,805297427.0000
2017-12-22,794237304.0000
2017-12-15,794237304.0000
2017-12-08,826769368.0000
2017-12-01,805601641.0000
2017-11-24,780093255.0000
2017-11-17,765733019.0000
2017-11-10,790556603.0000
2017-11-03,813455623.0000
2017-10-27,833818837.0000
2017-10-20,863660835.0000
2017-10-13,804929042.0000
2017-10-06,788058491.0000
2017-09-29,775242596.0000
2017-09-22,794207795.0000
2017-09-15,776540711.0000
2017-09-08,750513146.0000
2017-09-01,764951571.0000
2017-08-25,746368867.0000
2017-08-18,729709113.0000
2017-08-11,749149528.0000
2017-08-04,768146232.0000
2017-07-28,750883969.0000
2017-07-21,773066101.0000
2017-07-14,814093815.0000
2017-07-07,798387399.0000
2017-06-30,810377251.0000
2017-06-23,824462339.0000
2017-06-16,843598904.0000
2017-06-09,818744264.0000
2017-06-02,797141122.0000
2017-05-26,811349521.0000
2017-05-19,796115971.0000
2017-05-12,771423647.0000
2017-05-05,801164263.0000
2017-04-28,831233619.0000
2017-04-21,854858001.0000
2017-04-13,898208996.0000
2017-04-07,914068961.0000
2017-03-31,935677176.0000
2017-03-24,918993544.0000
2017-03-17,936583104.0000
2017-03-10,958212329.0000
2017-03-03,977336991.0000
2017-02-24,992727110.0000
2017-02-17,979043043.0000
2017-02-10,962738693.0000
2017-02-03,946569327.0000
2017-01-27,964301906.0000
2017-01-20,938258433.0000
2017-01-13,910129912.0000
2017-01-06,927609450.0000
2016-12-30,915116815.0000
2016-12-23,923244962.0000
2016-12-16,937062099.0000
2016-12-09,912006487.0000
2016-12-02,894063060.0000
2016-11-25,914324967.0000
2016-11-18,902537374.0000
2016-11-11,919450059.0000
2016-11-04,892994512.0000
2016-10-28,908860776.0000
2016-10-21,892114988.0000
2016-10-14,925305707.0000
2016-10-07,941638421.0000
2016-09-30,953581401.0000
2016-09-23,937052885.0000
2016-09-16,924002821.0000
2016-09-09,947004973.0000
2016-09-02,962704823.0000
2016-08-26,950899047.0000
2016-08-19,965095111.0000
2016-08-12,980653040.0000
2016-08-05,1001107515.0000
2016-07-29,985347139.0000
2016-07-22,999727535.0000
2016-07-15,973811869.0000
2016-07-08,954423784.0000
2016-07-01,943740750.0000
2016-06-24,923703772.0000
2016-06-17,946940043.0000
2016-06-10,963518701.0000
2016-06-03,979125899.0000
2016-05-27,965036031.0000
2016-05-20,949439259.0000
2016-05-13,966600396.0000
2016-05-06,948782518.0000
2016-04-29,926753852.0000
2016-04-22,944490402.0000
2016-04-15,983912721.0000
2016-04-08,965667133.0000
2016-04-01,984931894.0000
2016-03-24,963551883.0000
2016-03-18,945130037.0000
2016-03-11,913868847.0000
2016-03-04,889229106.0000
2016-02-26,865634292.0000
2016-02-19,887352807.0000
2016-02-12,862291943.0000
2016-02-05,895790697.0000
2016-01-29,869088525.0000
2016-01-22,840554956.0000
2016-01-15,886791807.0000
2016-01-08,917617510.0000
2015-12-31,944030967.0000
2015-12-24,958192242.0000
2015-12-18,940891081.0000
2015-12-11,911787820.0000
2015-12-04,934124690.0000
2015-11-27,910133803.0000
2015-11-20,923940458.0000
2015-11-13,901886813.0000
2015-11-06,928109774.0000
2015-10-30,950626367.0000
2015-10-23,986921270.0000
2015-10-16,1030924727.0000
2015-10-09,1049183166.0000
2015-10-02,1028822651.0000
2015-09-25,1049653185.0000
2015-09-18,1032064087.0000
2015-09-11,1053739114.0000
2015-09-04,1039182580.0000
2015-08-28,1061589088.0000
