timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-07,309.68,310.0,302.6301,306.38,306.38,5070773,0.0000,1.0
2025-11-06,306.75,315.44,301.09,312.42,312.42,6818521,0.0000,1.0
2025-11-05,301.38,307.2,299.71,306.77,306.77,4633195,0.0000,1.0
2025-11-04,300.0,303.17,296.0,300.85,300.85,5677330,0.0000,1.0
2025-11-03,308.0,312.1411,304.23,304.73,304.73,4957958,0.0000,1.0
2025-10-31,312.0,313.5,301.63,307.41,307.41,7697499,0.0000,1.0
2025-10-30,306.65,313.75,305.02,310.06,310.06,4694275,0.0000,1.0
2025-10-29,312.79,314.33,307.52,308.21,308.21,4135948,0.0000,1.0
2025-10-28,312.6,319.35,311.41,312.57,312.57,6044770,0.0000,1.0
2025-10-27,307.8,313.5,302.88,313.09,313.09,9868151,0.0000,1.0
2025-10-24,283.77,310.75,282.21,307.46,307.46,16914243,0.0000,1.0
2025-10-23,264.95,285.5791,263.5623,285.0,285.0,16676394,0.0000,1.0
2025-10-22,281.99,289.17,281.35,287.51,287.51,10538480,0.0000,1.0
2025-10-21,283.31,285.31,281.6,282.05,282.05,4080981,0.0000,1.0
2025-10-20,281.25,285.5,280.96,283.65,283.65,3494336,0.0000,1.0
2025-10-17,276.15,283.4,275.35,281.28,281.28,5309565,0.0000,1.0
2025-10-16,281.11,282.56,275.6,275.97,275.97,2956923,0.0000,1.0
2025-10-15,278.38,285.45,277.0,280.75,280.75,3346753,0.0000,1.0
2025-10-14,275.52,277.53,272.5469,276.15,276.15,3058149,0.0000,1.0
2025-10-13,279.79,282.4399,274.64,277.22,277.22,4333836,0.0000,1.0
2025-10-10,288.97,290.385,277.5,277.82,277.82,4508506,0.0000,1.0
2025-10-09,289.82,290.13,283.32,288.23,288.23,4912375,0.0000,1.0
2025-10-08,294.16,294.2,286.473,289.46,289.46,5297030,0.0000,1.0
2025-10-07,295.55,301.0425,293.285,293.87,293.87,7190126,0.0000,1.0
2025-10-06,288.61,291.45,287.8,289.42,289.42,2881947,0.0000,1.0
2025-10-03,287.5,293.32,287.3,288.37,288.37,4375082,0.0000,1.0
2025-10-02,285.79,288.54,282.79,286.72,286.72,3814232,0.0000,1.0
2025-10-01,280.2,286.59,280.15,286.49,286.49,4381338,0.0000,1.0
2025-09-30,280.88,286.025,280.52,282.16,282.16,5926924,0.0000,1.0
2025-09-29,286.0,286.0,279.66,279.8,279.8,6022125,0.0000,1.0
2025-09-26,280.51,288.85,280.11,284.31,284.31,9063938,0.0000,1.0
2025-09-25,272.935,284.23,271.148,281.44,281.44,11506192,0.0000,1.0
2025-09-24,272.62,273.6499,267.3,267.53,267.53,3159924,0.0000,1.0
2025-09-23,272.7,273.2962,269.265,272.24,272.24,5394121,0.0000,1.0
2025-09-22,266.62,272.31,266.0,271.37,271.37,5030540,0.0000,1.0
2025-09-19,266.05,267.87,263.64,266.4,266.4,9858112,0.0000,1.0
2025-09-18,258.86,265.23,256.8004,265.0,265.0,4988421,0.0000,1.0
2025-09-17,257.495,260.9644,257.01,259.08,259.08,3974785,0.0000,1.0
2025-09-16,256.26,258.0,254.41,257.52,257.52,2719918,0.0000,1.0
2025-09-15,254.02,259.05,254.0,256.24,256.24,4028365,0.0000,1.0
2025-09-12,256.95,257.25,252.425,253.44,253.44,3433300,0.0000,1.0
2025-09-11,257.56,258.545,255.655,257.01,257.01,3576048,0.0000,1.0
2025-09-10,259.65,260.08,254.56,256.88,256.88,5185420,0.0000,1.0
2025-09-09,256.12,260.66,254.88,259.11,259.11,4931105,0.0000,1.0
2025-09-08,248.63,257.15,247.02,256.09,256.09,6940270,0.0000,1.0
2025-09-05,248.23,249.03,245.45,248.53,248.53,3147478,0.0000,1.0
2025-09-04,245.42,249.28,242.85,247.18,247.18,4765087,0.0000,1.0
2025-09-03,240.02,244.25,239.41,244.1,244.1,3156289,0.0000,1.0
2025-09-02,240.9,241.55,238.25,241.5,241.5,3469501,0.0000,1.0
2025-08-29,245.23,245.4599,241.72,243.49,243.49,2967558,0.0000,1.0
2025-08-28,245.43,245.88,243.36,245.73,245.73,2820817,0.0000,1.0
2025-08-27,242.87,245.96,242.0,244.84,244.84,3698372,0.0000,1.0
2025-08-26,241.02,244.98,240.38,242.63,242.63,5386582,0.0000,1.0
2025-08-25,242.565,242.565,239.43,239.43,239.43,3513327,0.0000,1.0
2025-08-22,240.74,243.68,240.22,242.09,242.09,3134882,0.0000,1.0
2025-08-21,242.21,242.5,238.65,239.4,239.4,2991902,0.0000,1.0
2025-08-20,242.11,242.88,240.34,242.55,242.55,3240064,0.0000,1.0
2025-08-19,240.0,242.83,239.49,241.28,241.28,3328305,0.0000,1.0
2025-08-18,239.57,241.42,239.1158,239.45,239.45,3569594,0.0000,1.0
2025-08-15,237.61,240.62,236.77,239.72,239.72,4344322,0.0000,1.0
2025-08-14,238.25,239.0,235.62,237.11,237.11,4556725,0.0000,1.0
2025-08-13,236.2,240.8411,236.2,240.07,240.07,5663562,0.0000,1.0
2025-08-12,236.53,237.96,233.36,234.77,234.77,8800597,0.0000,1.0
2025-08-11,242.24,243.15,234.7,236.3,236.3,9381960,0.0000,1.0
2025-08-08,248.88,249.48,241.65,242.27,242.27,6828390,1.6800,1.0
2025-08-07,252.81,255.0,248.875,250.16,248.437233859397,6251285,0.0000,1.0
2025-08-06,251.53,254.32,249.28,252.28,250.542634146341,3692105,0.0000,1.0
2025-08-05,252.0,252.8,248.995,250.67,248.943721664275,5823016,0.0000,1.0
2025-08-04,251.05,252.08,248.11,251.98,250.244700143472,5280588,0.0000,1.0
2025-08-01,251.405,251.4791,245.61,250.05,248.327991391679,9683404,0.0000,1.0
2025-07-31,259.57,259.99,252.22,253.15,251.406642754663,6739092,0.0000,1.0
2025-07-30,261.6,262.0,258.9,260.26,258.467678622669,3718290,0.0000,1.0
2025-07-29,264.3,265.7999,261.02,262.41,260.6028723099,4627265,0.0000,1.0
2025-07-28,260.3,264.0,259.61,263.21,261.397362984218,5192516,0.0000,1.0
2025-07-25,260.02,260.8,256.35,259.72,257.931397417504,7758653,0.0000,1.0
2025-07-24,261.25,262.0486,252.75,260.51,258.715956958393,22647720,0.0000,1.0
2025-07-23,284.3,288.08,281.44,282.01,280.067893830703,8105906,0.0000,1.0
2025-07-22,284.74,284.88,281.25,281.96,280.018238163558,4824219,0.0000,1.0
2025-07-21,286.29,287.73,284.38,284.71,282.749299856528,3051791,0.0000,1.0
2025-07-18,283.38,287.16,282.22,285.87,283.90131133429,4478165,0.0000,1.0
2025-07-17,281.5,283.4566,280.9,282.0,280.057962697274,3337168,0.0000,1.0
2025-07-16,282.75,283.87,279.87,281.92,279.978513629842,2804831,0.0000,1.0
2025-07-15,283.77,284.155,280.7301,282.7,280.753142037303,2864106,0.0000,1.0
2025-07-14,282.83,284.925,281.71,283.79,281.835635581062,2857401,0.0000,1.0
2025-07-11,285.01,287.43,282.92,283.59,281.637012912482,3790679,0.0000,1.0
2025-07-10,288.9,288.9,282.21,287.43,285.450568149211,3489068,0.0000,1.0
2025-07-09,291.39,291.6,288.63,290.14,288.141905308465,2971309,0.0000,1.0
2025-07-08,293.1,295.61,289.49,290.42,288.419977044476,2925329,0.0000,1.0
2025-07-07,292.5,295.2199,290.3607,292.47,290.455859397418,4488064,0.0000,1.0
2025-07-03,287.94,292.32,287.9,291.97,289.959302725968,1853289,0.0000,1.0
2025-07-02,290.0,290.19,286.9,287.65,285.669053084648,3257515,0.0000,1.0
2025-07-01,294.55,295.1081,290.08,291.2,289.194605451937,3272797,0.0000,1.0
2025-06-30,290.93,294.81,290.0,294.78,292.749951219512,3495386,0.0000,1.0
2025-06-27,292.97,293.12,288.52,289.7,287.70493543759,3562501,0.0000,1.0
2025-06-26,291.8,292.91,290.165,291.93,289.919578192253,3621110,0.0000,1.0
2025-06-25,294.49,296.16,289.5,291.06,289.055569583931,3862309,0.0000,1.0
2025-06-24,290.46,294.3399,288.41,293.79,291.766769010043,4219120,0.0000,1.0
2025-06-23,281.65,289.58,280.21,289.18,287.188516499283,3786159,0.0000,1.0
2025-06-20,279.28,284.12,277.2,280.97,279.035055954089,7676962,0.0000,1.0
2025-06-18,285.0,286.91,282.94,283.21,281.259629842181,3534110,0.0000,1.0
